alias	approved_symbol	hgnc_id	source
0808Y08Y	NFYC_AS1	HGNC:49451	alias_symbol
101F10_1	KNOP1	HGNC:34404	alias_symbol
101F6	CYB561D2	HGNC:30253	alias_symbol
103AS	KIR2DL4	HGNC:6332	alias_symbol
10C	ARHGAP9	HGNC:14130	alias_symbol
10_FTHF	ALDH1L1	HGNC:3978	alias_symbol
11B6	MAGED2	HGNC:16353	alias_symbol
123F2	RASSF1	HGNC:9882	alias_symbol
12CC4	FOXP1	HGNC:3823	alias_symbol
12R_LOX	ALOX12B	HGNC:430	alias_symbol
12S	MT_RNR1	HGNC:7470	alias_symbol
12S_LOX	ALOX12	HGNC:429	alias_symbol
12_HETER	GPR31	HGNC:4486	alias_symbol
133K02	FAM114A2	HGNC:1333	alias_symbol
13CDNA73	FRY	HGNC:20367	alias_symbol
14Q_0	SNORD112	HGNC:32777	alias_symbol
14Q_II_1	SNORD114_1	HGNC:32989	alias_symbol
14Q_II_10	SNORD114_10	HGNC:32998	alias_symbol
14Q_II_11	SNORD114_11	HGNC:32999	alias_symbol
14Q_II_12	SNORD114_12	HGNC:33000	alias_symbol
14Q_II_13	SNORD114_13	HGNC:33001	alias_symbol
14Q_II_14	SNORD114_14	HGNC:33002	alias_symbol
14Q_II_15	SNORD114_15	HGNC:33003	alias_symbol
14Q_II_16	SNORD114_16	HGNC:33004	alias_symbol
14Q_II_17	SNORD114_17	HGNC:33005	alias_symbol
14Q_II_18	SNORD114_18	HGNC:33006	alias_symbol
14Q_II_19	SNORD114_19	HGNC:33007	alias_symbol
14Q_II_2	SNORD114_2	HGNC:32990	alias_symbol
14Q_II_20	SNORD114_20	HGNC:33008	alias_symbol
14Q_II_21	SNORD114_21	HGNC:33009	alias_symbol
14Q_II_22	SNORD114_22	HGNC:33010	alias_symbol
14Q_II_23	SNORD114_23	HGNC:33011	alias_symbol
14Q_II_24	SNORD114_24	HGNC:33012	alias_symbol
14Q_II_25	SNORD114_25	HGNC:33013	alias_symbol
14Q_II_26	SNORD114_26	HGNC:33014	alias_symbol
14Q_II_27	SNORD114_27	HGNC:33015	alias_symbol
14Q_II_28	SNORD114_28	HGNC:33016	alias_symbol
