hugo_symbol	entrez_gene_id	oncogene	tsg	source_url
A1CF	29974	True	False	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
AAMP	14	True	False	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
ABCB1	5243	True	False	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
ABCC3	8714	True	False	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
ABI1	10006	True	True	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
ABL1	25	True	False	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
ABL2	27	True	False	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
ABRAXAS1	84142	False	True	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
ACACA	31	True	False	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
ACKR3	57007	True	True	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
ACP3	55	False	True	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
ACSL3	2181	False	False	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
ACSL4	2182	True	False	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
ACSL6	23305	False	False	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
ACTB	60	False	False	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
ACTG1	71	False	True	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
ACVR1	90	True	False	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
ACVR1B	91	False	True	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
ACVR2A	92	True	True	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
ADAR	103	False	False	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
ADARB2	105	True	False	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
ADGRA2	25960	True	False	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
ADGRG4	139378	False	False	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
ADHFE1	137872	True	False	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
AFDN	4301	False	True	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
AFF1	4299	False	False	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
AFF3	3899	False	False	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
AFF4	27125	True	False	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
AGGF1	55109	True	False	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
AGK	55750	True	False	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
AGO1	26523	True	False	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
