path,bytes,sha256,category,purpose,source_or_url,restore_instructions
data/grch37/assembly_data_report.jsonl,3195,7d08930a59c79ff6c1303b50211e339d264c268b88eb7ce801f3cebca1db3047,reference/resource/input,Bundled input/resource,Bundled local export,Place the file at data/grch37/assembly_data_report.jsonl inside the repository root.
data/grch37/data_summary.tsv,465,5d03c3f3807d8e4f5e0e05f5d7154cfbd29cc46bf372098e7884e4e793675e99,reference/resource/input,Bundled input/resource,Bundled local export,Place the file at data/grch37/data_summary.tsv inside the repository root.
data/grch37/dataset_catalog.json,550,648bfc72d23262ad57abd2360bb8d9ccec1c5a8e759ef321d874793ffbc637a5,reference/resource/input,Bundled input/resource,Bundled local export,Place the file at data/grch37/dataset_catalog.json inside the repository root.
data/grch37/gcf_000001405.13/chr_mapping.json,624,fa2d111a0167b7b4fdcaa7a05163292faa282dfc77f109f92e5ce066fba365c2,reference/resource/input,Bundled input/resource,Bundled local export,Place the file at data/grch37/gcf_000001405.13/chr_mapping.json inside the repository root.
data/grch37/gcf_000001405.13/gcf_000001405.13_grch37_genomic.fna.fai,3441,c0521ba61da0e316f82309ff3796b57b26bc80ad4a823c72b6b90393503dab0d,reference/resource/input,Bundled input/resource,Bundled local export,Place the file at data/grch37/gcf_000001405.13/gcf_000001405.13_grch37_genomic.fna.fai inside the repository root.
data/processed/readme.md,273,d0f46f1864e5f2eb5bdba2ddfb4e1869ecb1d08eb2d7cebf98665afa3fac78f0,reference/resource/input,Bundled input/resource,Bundled local export,Place the file at data/processed/readme.md inside the repository root.
data/raw/.gitignore,26,229be9e65dd57718113d7934a5f01904faf34e5fcecf35fe416523398b786835,reference/resource/input,Bundled input/resource,Bundled local export,Place the file at data/raw/.gitignore inside the repository root.
data/raw/readme.md,630,e9c465ae48f3e68115e4df854a0e2d0b74f68adc867e9bd1df4146c45ed98388,reference/resource/input,Bundled input/resource,Bundled local export,Place the file at data/raw/readme.md inside the repository root.
config/feature_resources/clinical_bio_v4_sources/2024-06-18_intogen-drivers/compendium_cancer_genes.tsv,790207,7c1982aa1fae1ff8200f4c2811cdb1707ea3f778b5e95782798d09e792ddb5e8,reference/resource/input,Bio MAF v4 fixed external feature resource,Bundled OncoKB/IntOGen/Cancer Hotspots resources; see resource manifest,Place the file at config/feature_resources/clinical_bio_v4_sources/2024-06-18_intogen-drivers/compendium_cancer_genes.tsv inside the repository root.
config/feature_resources/clinical_bio_v4_sources/2024-06-18_intogen-drivers/license.txt,6934,83fa0385a6da1bb58d3eb712b20f3021a5f7cb7f9ef8c68e5dc7308d5a2bc8d0,reference/resource/input,Bio MAF v4 fixed external feature resource,Bundled OncoKB/IntOGen/Cancer Hotspots resources; see resource manifest,Place the file at config/feature_resources/clinical_bio_v4_sources/2024-06-18_intogen-drivers/license.txt inside the repository root.
config/feature_resources/clinical_bio_v4_sources/2024-06-18_intogen-drivers/readme.txt,4798,f19bdf7545b39a5ae9633dc5b38fcf525e0464e007444124fe4618582235301b,reference/resource/input,Bio MAF v4 fixed external feature resource,Bundled OncoKB/IntOGen/Cancer Hotspots resources; see resource manifest,Place the file at config/feature_resources/clinical_bio_v4_sources/2024-06-18_intogen-drivers/readme.txt inside the repository root.
