inside_repro_root,kind,name,note,path,refresh_cache,status,value
,python_module,yaml,,,,ok,
,python_module,numpy,,,,ok,
,python_module,pandas,,,,ok,
,python_module,sklearn,,,,ok,
,python_module,xgboost,,,,missing,
,python_module,optuna,,,,missing,
,python_module,sksurv,,,,missing,
,python_module,torch,,,,ok,
,optional_python_module,pysam,Optional; active strict manuscript runners do not require pysam.,,,optional_missing,
,python_executable,<external>/python.exe,,,,ok,
,cpu_count,os.cpu_count,,,,ok,24
False,path,raw_data.mc3_source_dir,,${DATASETS_ROOT}/datasets/tcga_mc3,,ok,
False,path,raw_data.hrd_assets_dir,,${DATASETS_ROOT}/datasets/tcga_brca_hrd,,ok,
False,path,raw_data.kucab_raw_dir,,${DATASETS_ROOT}/datasets/kucab_mendeley/raw_mutation_tables,,missing,
False,path,raw_data.pcawg_dir,,${DATASETS_ROOT}/datasets/pcawg_pancan/cgr_validation_results/research/data/pancan_pcawg_2020,,missing,
False,path,raw_data.grch37_dir,,${DATASETS_ROOT}/references/grch37,,ok,
,path,processed_helpers.mc3_standard_features_dir,,,,optional_null,
True,path,workspace.work_dir,,${BUNDLE_ROOT}/w,,ok,
True,path,workspace.results_tables_dir,,${BUNDLE_ROOT}/results/tables,,ok,
True,path,workspace.results_figures_dir,,${BUNDLE_ROOT}/results/figures,,ok,
True,path,workspace.results_logs_dir,,${BUNDLE_ROOT}/results/logs,,ok,
,fasta,GRCh37,,,,missing,
,feature_cache,dir,,${BUNDLE_ROOT}/results/cache/features,False,ok,
,renderer,node,,<external>/node.exe,,ok,
,renderer,manuscript_renderer,,${BUNDLE_ROOT}/src/visualization/render_manuscript_figures.mjs,,ok,
