figure_id,comparison_name,comparison_display,endpoint,endpoint_display,model_family,model_display,candidate_representation,candidate_representation_display,baseline_representation,baseline_representation_display
figure_2,signatures_vs_burden,Signatures vs burden,damage_class,Kucab damage class,elastic_net,Elastic net,signatures_only,Mutational signatures,burden_only,Mutational burden
figure_2,signatures_vs_burden,Signatures vs burden,damage_class,Kucab damage class,XGBoost,XGBoost,signatures_only,Mutational signatures,burden_only,Mutational burden
figure_2,signatures_vs_burden,Signatures vs burden,HRD_Score,HRD score,elastic_net,Elastic net,signatures_only,Mutational signatures,burden_only,Mutational burden
figure_2,signatures_vs_burden,Signatures vs burden,HRD_Score,HRD score,XGBoost,XGBoost,signatures_only,Mutational signatures,burden_only,Mutational burden
figure_2,signatures_vs_burden,Signatures vs burden,hrd_binary_24,HRD24 high/low,elastic_net,Elastic net,signatures_only,Mutational signatures,burden_only,Mutational burden
figure_2,signatures_vs_burden,Signatures vs burden,hrd_binary_24,HRD24 high/low,XGBoost,XGBoost,signatures_only,Mutational signatures,burden_only,Mutational burden
figure_2,signatures_vs_burden,Signatures vs burden,hrd_binary_33,HRD33 high/low,elastic_net,Elastic net,signatures_only,Mutational signatures,burden_only,Mutational burden
figure_2,signatures_vs_burden,Signatures vs burden,hrd_binary_33,HRD33 high/low,XGBoost,XGBoost,signatures_only,Mutational signatures,burden_only,Mutational burden
figure_2,signatures_vs_burden,Signatures vs burden,hrd_binary_42,HRD42 high/low,elastic_net,Elastic net,signatures_only,Mutational signatures,burden_only,Mutational burden
figure_2,signatures_vs_burden,Signatures vs burden,hrd_binary_42,HRD42 high/low,XGBoost,XGBoost,signatures_only,Mutational signatures,burden_only,Mutational burden
figure_2,signatures_vs_burden,Signatures vs burden,cancer_type_top20,Cancer type (top 20),elastic_net,Elastic net,signatures_only,Mutational signatures,burden_only,Mutational burden
figure_2,signatures_vs_burden,Signatures vs burden,cancer_type_top20,Cancer type (top 20),XGBoost,XGBoost,signatures_only,Mutational signatures,burden_only,Mutational burden
figure_4,maf_stack_vs_signatures,MAF stack vs signatures,damage_class,Kucab damage class,elastic_net,Elastic net,MAF_stack_only,Bio MAF v4,signatures_only,Mutational signatures
figure_4,maf_stack_vs_signatures,MAF stack vs signatures,damage_class,Kucab damage class,XGBoost,XGBoost,MAF_stack_only,Bio MAF v4,signatures_only,Mutational signatures
figure_4,maf_stack_vs_signatures,MAF stack vs signatures,HRD_Score,HRD score,elastic_net,Elastic net,MAF_stack_only,Bio MAF v4,signatures_only,Mutational signatures
figure_4,maf_stack_vs_signatures,MAF stack vs signatures,HRD_Score,HRD score,XGBoost,XGBoost,MAF_stack_only,Bio MAF v4,signatures_only,Mutational signatures
figure_4,maf_stack_vs_signatures,MAF stack vs signatures,hrd_binary_24,HRD24 high/low,elastic_net,Elastic net,MAF_stack_only,Bio MAF v4,signatures_only,Mutational signatures
figure_4,maf_stack_vs_signatures,MAF stack vs signatures,hrd_binary_24,HRD24 high/low,XGBoost,XGBoost,MAF_stack_only,Bio MAF v4,signatures_only,Mutational signatures
figure_4,maf_stack_vs_signatures,MAF stack vs signatures,hrd_binary_33,HRD33 high/low,elastic_net,Elastic net,MAF_stack_only,Bio MAF v4,signatures_only,Mutational signatures
figure_4,maf_stack_vs_signatures,MAF stack vs signatures,hrd_binary_33,HRD33 high/low,XGBoost,XGBoost,MAF_stack_only,Bio MAF v4,signatures_only,Mutational signatures
figure_4,maf_stack_vs_signatures,MAF stack vs signatures,hrd_binary_42,HRD42 high/low,elastic_net,Elastic net,MAF_stack_only,Bio MAF v4,signatures_only,Mutational signatures
figure_4,maf_stack_vs_signatures,MAF stack vs signatures,hrd_binary_42,HRD42 high/low,XGBoost,XGBoost,MAF_stack_only,Bio MAF v4,signatures_only,Mutational signatures
figure_4,maf_stack_vs_signatures,MAF stack vs signatures,cancer_type_top20,Cancer type (top 20),elastic_net,Elastic net,MAF_stack_only,Bio MAF v4,signatures_only,Mutational signatures
figure_4,maf_stack_vs_signatures,MAF stack vs signatures,cancer_type_top20,Cancer type (top 20),XGBoost,XGBoost,MAF_stack_only,Bio MAF v4,signatures_only,Mutational signatures
figure_4,sig_maf_vs_signatures,Signatures + MAF vs signatures,damage_class,Kucab damage class,elastic_net,Elastic net,signatures_plus_MAF_stack,Signatures + Bio MAF v4,signatures_only,Mutational signatures
figure_4,sig_maf_vs_signatures,Signatures + MAF vs signatures,damage_class,Kucab damage class,XGBoost,XGBoost,signatures_plus_MAF_stack,Signatures + Bio MAF v4,signatures_only,Mutational signatures
figure_4,sig_maf_vs_signatures,Signatures + MAF vs signatures,HRD_Score,HRD score,elastic_net,Elastic net,signatures_plus_MAF_stack,Signatures + Bio MAF v4,signatures_only,Mutational signatures
figure_4,sig_maf_vs_signatures,Signatures + MAF vs signatures,HRD_Score,HRD score,XGBoost,XGBoost,signatures_plus_MAF_stack,Signatures + Bio MAF v4,signatures_only,Mutational signatures
figure_4,sig_maf_vs_signatures,Signatures + MAF vs signatures,hrd_binary_24,HRD24 high/low,elastic_net,Elastic net,signatures_plus_MAF_stack,Signatures + Bio MAF v4,signatures_only,Mutational signatures
figure_4,sig_maf_vs_signatures,Signatures + MAF vs signatures,hrd_binary_24,HRD24 high/low,XGBoost,XGBoost,signatures_plus_MAF_stack,Signatures + Bio MAF v4,signatures_only,Mutational signatures
figure_4,sig_maf_vs_signatures,Signatures + MAF vs signatures,hrd_binary_33,HRD33 high/low,elastic_net,Elastic net,signatures_plus_MAF_stack,Signatures + Bio MAF v4,signatures_only,Mutational signatures
figure_4,sig_maf_vs_signatures,Signatures + MAF vs signatures,hrd_binary_33,HRD33 high/low,XGBoost,XGBoost,signatures_plus_MAF_stack,Signatures + Bio MAF v4,signatures_only,Mutational signatures
figure_4,sig_maf_vs_signatures,Signatures + MAF vs signatures,hrd_binary_42,HRD42 high/low,elastic_net,Elastic net,signatures_plus_MAF_stack,Signatures + Bio MAF v4,signatures_only,Mutational signatures
figure_4,sig_maf_vs_signatures,Signatures + MAF vs signatures,hrd_binary_42,HRD42 high/low,XGBoost,XGBoost,signatures_plus_MAF_stack,Signatures + Bio MAF v4,signatures_only,Mutational signatures
figure_4,sig_maf_vs_signatures,Signatures + MAF vs signatures,cancer_type_top20,Cancer type (top 20),elastic_net,Elastic net,signatures_plus_MAF_stack,Signatures + Bio MAF v4,signatures_only,Mutational signatures
figure_4,sig_maf_vs_signatures,Signatures + MAF vs signatures,cancer_type_top20,Cancer type (top 20),XGBoost,XGBoost,signatures_plus_MAF_stack,Signatures + Bio MAF v4,signatures_only,Mutational signatures
figure_4,sig_maf_vs_maf_stack,Signatures + MAF vs MAF stack,damage_class,Kucab damage class,elastic_net,Elastic net,signatures_plus_MAF_stack,Signatures + Bio MAF v4,MAF_stack_only,Bio MAF v4
figure_4,sig_maf_vs_maf_stack,Signatures + MAF vs MAF stack,damage_class,Kucab damage class,XGBoost,XGBoost,signatures_plus_MAF_stack,Signatures + Bio MAF v4,MAF_stack_only,Bio MAF v4
figure_4,sig_maf_vs_maf_stack,Signatures + MAF vs MAF stack,HRD_Score,HRD score,elastic_net,Elastic net,signatures_plus_MAF_stack,Signatures + Bio MAF v4,MAF_stack_only,Bio MAF v4
figure_4,sig_maf_vs_maf_stack,Signatures + MAF vs MAF stack,HRD_Score,HRD score,XGBoost,XGBoost,signatures_plus_MAF_stack,Signatures + Bio MAF v4,MAF_stack_only,Bio MAF v4
figure_4,sig_maf_vs_maf_stack,Signatures + MAF vs MAF stack,hrd_binary_24,HRD24 high/low,elastic_net,Elastic net,signatures_plus_MAF_stack,Signatures + Bio MAF v4,MAF_stack_only,Bio MAF v4
figure_4,sig_maf_vs_maf_stack,Signatures + MAF vs MAF stack,hrd_binary_24,HRD24 high/low,XGBoost,XGBoost,signatures_plus_MAF_stack,Signatures + Bio MAF v4,MAF_stack_only,Bio MAF v4
figure_4,sig_maf_vs_maf_stack,Signatures + MAF vs MAF stack,hrd_binary_33,HRD33 high/low,elastic_net,Elastic net,signatures_plus_MAF_stack,Signatures + Bio MAF v4,MAF_stack_only,Bio MAF v4
figure_4,sig_maf_vs_maf_stack,Signatures + MAF vs MAF stack,hrd_binary_33,HRD33 high/low,XGBoost,XGBoost,signatures_plus_MAF_stack,Signatures + Bio MAF v4,MAF_stack_only,Bio MAF v4
figure_4,sig_maf_vs_maf_stack,Signatures + MAF vs MAF stack,hrd_binary_42,HRD42 high/low,elastic_net,Elastic net,signatures_plus_MAF_stack,Signatures + Bio MAF v4,MAF_stack_only,Bio MAF v4
figure_4,sig_maf_vs_maf_stack,Signatures + MAF vs MAF stack,hrd_binary_42,HRD42 high/low,XGBoost,XGBoost,signatures_plus_MAF_stack,Signatures + Bio MAF v4,MAF_stack_only,Bio MAF v4
figure_4,sig_maf_vs_maf_stack,Signatures + MAF vs MAF stack,cancer_type_top20,Cancer type (top 20),elastic_net,Elastic net,signatures_plus_MAF_stack,Signatures + Bio MAF v4,MAF_stack_only,Bio MAF v4
figure_4,sig_maf_vs_maf_stack,Signatures + MAF vs MAF stack,cancer_type_top20,Cancer type (top 20),XGBoost,XGBoost,signatures_plus_MAF_stack,Signatures + Bio MAF v4,MAF_stack_only,Bio MAF v4
figure_5,signatures_vs_burden,Signatures vs burden,damage_class,Kucab damage class,elastic_net,Elastic net,signatures_only,Mutational signatures,burden_only,Mutational burden
figure_5,signatures_vs_burden,Signatures vs burden,damage_class,Kucab damage class,XGBoost,XGBoost,signatures_only,Mutational signatures,burden_only,Mutational burden
figure_5,signatures_vs_burden,Signatures vs burden,HRD_Score,HRD score,elastic_net,Elastic net,signatures_only,Mutational signatures,burden_only,Mutational burden
figure_5,signatures_vs_burden,Signatures vs burden,HRD_Score,HRD score,XGBoost,XGBoost,signatures_only,Mutational signatures,burden_only,Mutational burden
figure_5,signatures_vs_burden,Signatures vs burden,hrd_binary_24,HRD24 high/low,elastic_net,Elastic net,signatures_only,Mutational signatures,burden_only,Mutational burden
figure_5,signatures_vs_burden,Signatures vs burden,hrd_binary_24,HRD24 high/low,XGBoost,XGBoost,signatures_only,Mutational signatures,burden_only,Mutational burden
figure_5,signatures_vs_burden,Signatures vs burden,hrd_binary_33,HRD33 high/low,elastic_net,Elastic net,signatures_only,Mutational signatures,burden_only,Mutational burden
figure_5,signatures_vs_burden,Signatures vs burden,hrd_binary_33,HRD33 high/low,XGBoost,XGBoost,signatures_only,Mutational signatures,burden_only,Mutational burden
figure_5,signatures_vs_burden,Signatures vs burden,hrd_binary_42,HRD42 high/low,elastic_net,Elastic net,signatures_only,Mutational signatures,burden_only,Mutational burden
figure_5,signatures_vs_burden,Signatures vs burden,hrd_binary_42,HRD42 high/low,XGBoost,XGBoost,signatures_only,Mutational signatures,burden_only,Mutational burden
figure_5,signatures_vs_burden,Signatures vs burden,cancer_type_top20,Cancer type (top 20),elastic_net,Elastic net,signatures_only,Mutational signatures,burden_only,Mutational burden
