endpoint,representation,learner,folds,selected_blocks,median_selected_features,min_selected_features,max_selected_features
HRD_LOH,MAF_stack_only,linear,5,Compact + exact driver genes (5/5),923.0,923.0,923.0
HRD_LOH,MAF_stack_only,xgboost,5,Full core + optional controls (3/5); Compact + exact driver genes (2/5),948.0,923.0,948.0
HRD_LOH,signatures_plus_MAF_stack,linear,5,Signatures + exact driver genes (3/5); Signatures + full core biology (1/5); Signatures + full core + optional controls (1/5),1105.0,1105.0,1130.0
HRD_LOH,signatures_plus_MAF_stack,xgboost,5,Signatures + full core biology (4/5); Signatures + exact driver genes (1/5),1125.0,1105.0,1125.0
HRD_LST,MAF_stack_only,linear,5,Compact + exact driver genes (3/5); Full core biology (1/5); Full core + optional controls (1/5),923.0,923.0,948.0
HRD_LST,MAF_stack_only,xgboost,5,Compact + exact driver genes (2/5); Full core + optional controls (2/5); Full core biology (1/5),943.0,923.0,948.0
HRD_LST,signatures_plus_MAF_stack,linear,5,Signatures + full core biology (3/5); Signatures + exact driver genes (2/5),1125.0,1105.0,1125.0
HRD_LST,signatures_plus_MAF_stack,xgboost,5,Signatures + exact driver genes (3/5); Signatures + full core biology (2/5),1105.0,1105.0,1125.0
HRD_Score,MAF_stack_only,linear,5,Compact + exact driver genes (2/5); Full core + optional controls (2/5); Compact biology only (1/5),923.0,121.0,948.0
HRD_Score,MAF_stack_only,xgboost,5,Compact + exact driver genes (3/5); Full core + optional controls (2/5),923.0,923.0,948.0
HRD_Score,signatures_plus_MAF_stack,linear,5,Signatures + exact driver genes (3/5); Signatures + full core biology (2/5),1105.0,1105.0,1125.0
HRD_Score,signatures_plus_MAF_stack,xgboost,5,Signatures + full core + optional controls (3/5); Signatures + full core biology (2/5),1130.0,1125.0,1130.0
HRD_TAI,MAF_stack_only,linear,5,Compact + exact driver genes (4/5); Full core + optional controls (1/5),923.0,923.0,948.0
HRD_TAI,MAF_stack_only,xgboost,5,Compact + exact driver genes (2/5); Full core + optional controls (2/5); Full core biology (1/5),943.0,923.0,948.0
HRD_TAI,signatures_plus_MAF_stack,linear,5,Signatures + full core biology (3/5); Signatures + exact driver genes (2/5),1125.0,1105.0,1125.0
HRD_TAI,signatures_plus_MAF_stack,xgboost,5,Signatures + full core biology (3/5); Signatures + exact driver genes (2/5),1125.0,1105.0,1125.0
OS,MAF_stack_only,cox_ph,5,Compact + exact driver genes (3/5); Full core + optional controls (2/5),923.0,923.0,948.0
