cancer_type,rank,feature,feature_family,mean_abs_shap,plain_english_meaning
BLCA,1,vep_consequence_fraction__3_prime_utr_variant,VEP consequence composition,0.39044177698167915,Composition of mutation consequence types assigned by VEP.
BLCA,2,vep_impact_fraction__modifier,VEP impact composition,0.23259437844557396,"Composition of VEP impact levels such as high, moderate, low, or modifier."
BLCA,3,vep_consequence_fraction__splice_region_variant,VEP consequence composition,0.19371835761601688,Composition of mutation consequence types assigned by VEP.
BLCA,4,oncokb_role_vep_high_impact_log_count__tumor_suppressor,OncoKB role aggregate,0.15312495803111234,Aggregate burden in OncoKB-curated oncogene/tumor-suppressor role groups.
BLCA,5,vep_consequence_fraction__stop_gained,VEP consequence composition,0.1530154000679977,Composition of mutation consequence types assigned by VEP.
BLCA,6,vep_polyphen_fraction__possibly_damaging,Predicted functional damage,0.12238490828836802,Composition of predicted protein-damaging versus tolerated variants.
BLCA,7,oncokb_role_unique_high_or_moderate_impact_genes_log_count__tumor_suppressor,OncoKB role aggregate,0.11700299839227228,Aggregate burden in OncoKB-curated oncogene/tumor-suppressor role groups.
BLCA,8,oncokb_role_vep_high_or_moderate_impact_log_count__tumor_suppressor,OncoKB role aggregate,0.11587810774690296,Aggregate burden in OncoKB-curated oncogene/tumor-suppressor role groups.
BLCA,9,vep_impact_count__low,VEP impact composition,0.11273317779205172,"Composition of VEP impact levels such as high, moderate, low, or modifier."
BLCA,10,vep_impact_fraction__low,VEP impact composition,0.11256497972994112,"Composition of VEP impact levels such as high, moderate, low, or modifier."
BLCA,11,driver_evidence_max_vaf_high_or_moderate_impact__source_count_2,External driver-evidence tier,0.10741344169968216,Aggregate burden among genes supported by 2 external driver-evidence source(s).
BLCA,12,driver_gene_functional_event_log_count__KDM6A,"Exact cancer gene, functional event",0.10298372258082963,How many protein-affecting or high/moderate-impact mutations hit KDM6A.
BLCA,13,driver_gene_role_matched_event_log_count__ARID1A,"Exact cancer gene, role-matched event",0.08542295330087654,How many mutations affect ARID1A in a way consistent with that gene's curated cancer role.
BLCA,14,vep_biotype_fraction__protein_coding,Transcript annotation composition,0.08480038542569673,Transcript-level annotation composition from VEP.
BLCA,15,vep_consequence_count__frameshift_variant,VEP consequence composition,0.08106194934674932,Composition of mutation consequence types assigned by VEP.
BRCA,1,driver_gene_functional_event_log_count__PIK3CA,"Exact cancer gene, functional event",0.2658444897388108,How many protein-affecting or high/moderate-impact mutations hit PIK3CA.
BRCA,2,vep_consequence_count__synonymous_variant,VEP consequence composition,0.2106365456710523,Composition of mutation consequence types assigned by VEP.
BRCA,3,vaf_median,Variant allele fraction summary,0.14441604903328426,A sample-level summary of tumor variant allele fractions; useful but should be checked as a purity/proxy sensitivity.
BRCA,4,vep_consequence_fraction__3_prime_utr_variant,VEP consequence composition,0.12197813458163181,Composition of mutation consequence types assigned by VEP.
BRCA,5,residual_non_oncokb_positive_role_unique_high_or_moderate_impact_genes_log_count,Non-OncoKB cancer-gene aggregate,0.10949225285357897,Aggregate burden in externally supported cancer genes not covered by the OncoKB role group.
BRCA,6,driver_gene_functional_event_log_count__TP53,"Exact cancer gene, functional event",0.09922096154932661,How many protein-affecting or high/moderate-impact mutations hit TP53.
BRCA,7,vep_consequence_fraction__synonymous_variant,VEP consequence composition,0.09571252354631725,Composition of mutation consequence types assigned by VEP.
BRCA,8,cancer_hotspot_unique_gene_log_count,Cancer hotspot summary,0.08488319042720832,Burden or maximum VAF of mutations at known cancer hotspot residues or exact hotspot variants.
BRCA,9,driver_gene_role_matched_event_log_count__GATA3,"Exact cancer gene, role-matched event",0.08399984783842228,How many mutations affect GATA3 in a way consistent with that gene's curated cancer role.
BRCA,10,vep_impact_count__low,VEP impact composition,0.082888604614418,"Composition of VEP impact levels such as high, moderate, low, or modifier."
BRCA,11,driver_gene_role_matched_event_log_count__CDH1,"Exact cancer gene, role-matched event",0.06918709499645047,How many mutations affect CDH1 in a way consistent with that gene's curated cancer role.
BRCA,12,vep_consequence_fraction__intron_variant,VEP consequence composition,0.0679617844085442,Composition of mutation consequence types assigned by VEP.
BRCA,13,driver_gene_functional_event_log_count__LRP1B,"Exact cancer gene, functional event",0.06720205222605728,How many protein-affecting or high/moderate-impact mutations hit LRP1B.
BRCA,14,residual_non_oncokb_positive_role_max_vaf_high_or_moderate_impact,Non-OncoKB cancer-gene aggregate,0.06589444034672852,Aggregate burden in externally supported cancer genes not covered by the OncoKB role group.
BRCA,15,vep_impact_fraction__modifier,VEP impact composition,0.06092867726874829,"Composition of VEP impact levels such as high, moderate, low, or modifier."
CESC,1,vep_consequence_fraction__3_prime_utr_variant,VEP consequence composition,0.7264445063135281,Composition of mutation consequence types assigned by VEP.
CESC,2,driver_gene_functional_event_log_count__TP53,"Exact cancer gene, functional event",0.6044665968324989,How many protein-affecting or high/moderate-impact mutations hit TP53.
CESC,3,vep_impact_fraction__modifier,VEP impact composition,0.5390050256340327,"Composition of VEP impact levels such as high, moderate, low, or modifier."
CESC,4,vep_consequence_fraction__frameshift_variant,VEP consequence composition,0.3696518750859832,Composition of mutation consequence types assigned by VEP.
CESC,5,vep_consequence_count__frameshift_variant,VEP consequence composition,0.2508691784739494,Composition of mutation consequence types assigned by VEP.
CESC,6,vep_consequence_fraction__splice_region_variant,VEP consequence composition,0.20530805079062703,Composition of mutation consequence types assigned by VEP.
CESC,7,vep_sift_fraction__unknown,Predicted functional damage,0.12194566812846461,Composition of predicted protein-damaging versus tolerated variants.
CESC,8,vep_polyphen_fraction__benign,Predicted functional damage,0.11698075642823824,Composition of predicted protein-damaging versus tolerated variants.
CESC,9,vep_consequence_fraction__splice_donor_variant,VEP consequence composition,0.09925824985002692,Composition of mutation consequence types assigned by VEP.
CESC,10,vep_consequence_fraction__downstream_gene_variant,VEP consequence composition,0.0917890014450677,Composition of mutation consequence types assigned by VEP.
CESC,11,vep_polyphen_count__unknown,Predicted functional damage,0.0895399525234825,Composition of predicted protein-damaging versus tolerated variants.
CESC,12,vep_sift_fraction__deleterious,Predicted functional damage,0.08800513000438513,Composition of predicted protein-damaging versus tolerated variants.
CESC,13,vaf_median,Variant allele fraction summary,0.07878183136819644,A sample-level summary of tumor variant allele fractions; useful but should be checked as a purity/proxy sensitivity.
CESC,14,vep_sift_count__unknown,Predicted functional damage,0.06598969998769462,Composition of predicted protein-damaging versus tolerated variants.
CESC,15,vep_consequence_fraction__stop_gained,VEP consequence composition,0.06304536885734706,Composition of mutation consequence types assigned by VEP.
COAD,1,driver_gene_role_matched_event_log_count__APC,"Exact cancer gene, role-matched event",0.8374410575442016,How many mutations affect APC in a way consistent with that gene's curated cancer role.
COAD,2,vep_consequence_fraction__3_prime_utr_variant,VEP consequence composition,0.25505034614630856,Composition of mutation consequence types assigned by VEP.
COAD,3,vep_impact_fraction__modifier,VEP impact composition,0.18930421464163374,"Composition of VEP impact levels such as high, moderate, low, or modifier."
COAD,4,driver_gene_functional_event_log_count__APC,"Exact cancer gene, functional event",0.1676510971679818,How many protein-affecting or high/moderate-impact mutations hit APC.
COAD,5,residual_non_oncokb_positive_role_unique_high_or_moderate_impact_genes_log_count,Non-OncoKB cancer-gene aggregate,0.14614023588183045,Aggregate burden in externally supported cancer genes not covered by the OncoKB role group.
COAD,6,vep_consequence_fraction__splice_region_variant,VEP consequence composition,0.13016769519308583,Composition of mutation consequence types assigned by VEP.
COAD,7,cancer_hotspot_unique_gene_log_count,Cancer hotspot summary,0.12330346487528004,Burden or maximum VAF of mutations at known cancer hotspot residues or exact hotspot variants.
COAD,8,driver_gene_role_matched_event_log_count__KRAS,"Exact cancer gene, role-matched event",0.12260060723870993,How many mutations affect KRAS in a way consistent with that gene's curated cancer role.
COAD,9,vep_consequence_count__frameshift_variant,VEP consequence composition,0.11673824231547769,Composition of mutation consequence types assigned by VEP.
COAD,10,driver_gene_functional_event_log_count__BRAF,"Exact cancer gene, functional event",0.11582730693859049,How many protein-affecting or high/moderate-impact mutations hit BRAF.
COAD,11,vaf_mean,Variant allele fraction summary,0.11105576162215584,A sample-level summary of tumor variant allele fractions; useful but should be checked as a purity/proxy sensitivity.
COAD,12,vep_consequence_fraction__splice_acceptor_variant,VEP consequence composition,0.10697253292986715,Composition of mutation consequence types assigned by VEP.
COAD,13,driver_gene_functional_event_log_count__KRAS,"Exact cancer gene, functional event",0.09772139336913824,How many protein-affecting or high/moderate-impact mutations hit KRAS.
COAD,14,vep_consequence_count__synonymous_variant,VEP consequence composition,0.09656377378647449,Composition of mutation consequence types assigned by VEP.
COAD,15,oncokb_role_max_vaf_high_or_moderate_impact__oncogene_and_tumor_suppressor,OncoKB role aggregate,0.0909195594843186,Aggregate burden in OncoKB-curated oncogene/tumor-suppressor role groups.
ESCA,1,vep_consequence_fraction__3_prime_utr_variant,VEP consequence composition,1.3434689662829624,Composition of mutation consequence types assigned by VEP.
ESCA,2,vep_impact_fraction__modifier,VEP impact composition,0.9865073557849974,"Composition of VEP impact levels such as high, moderate, low, or modifier."
ESCA,3,vep_consequence_fraction__downstream_gene_variant,VEP consequence composition,0.3157965138059808,Composition of mutation consequence types assigned by VEP.
ESCA,4,driver_gene_functional_event_log_count__TP53,"Exact cancer gene, functional event",0.17103756631258876,How many protein-affecting or high/moderate-impact mutations hit TP53.
ESCA,5,vep_biotype_fraction__lncrna,Transcript annotation composition,0.13239096234348835,Transcript-level annotation composition from VEP.
ESCA,6,vep_polyphen_fraction__possibly_damaging,Predicted functional damage,0.1142978464422049,Composition of predicted protein-damaging versus tolerated variants.
ESCA,7,vep_impact_fraction__low,VEP impact composition,0.0983945227402728,"Composition of VEP impact levels such as high, moderate, low, or modifier."
ESCA,8,vep_consequence_count__3_prime_utr_variant,VEP consequence composition,0.09277933857818425,Composition of mutation consequence types assigned by VEP.
ESCA,9,vep_consequence_fraction__splice_acceptor_variant,VEP consequence composition,0.09206576227225013,Composition of mutation consequence types assigned by VEP.
ESCA,10,vep_consequence_fraction__stop_gained,VEP consequence composition,0.0819296588484758,Composition of mutation consequence types assigned by VEP.
ESCA,11,vep_polyphen_fraction__probably_damaging,Predicted functional damage,0.0813885115398807,Composition of predicted protein-damaging versus tolerated variants.
ESCA,12,vep_impact_count__modifier,VEP impact composition,0.07991828216865543,"Composition of VEP impact levels such as high, moderate, low, or modifier."
ESCA,13,vep_consequence_fraction__5_prime_utr_variant,VEP consequence composition,0.0778439334407085,Composition of mutation consequence types assigned by VEP.
ESCA,14,vep_consequence_fraction__splice_region_variant,VEP consequence composition,0.07249454344819242,Composition of mutation consequence types assigned by VEP.
ESCA,15,residual_non_oncokb_positive_role_unique_high_or_moderate_impact_genes_log_count,Non-OncoKB cancer-gene aggregate,0.05958153694784414,Aggregate burden in externally supported cancer genes not covered by the OncoKB role group.
GBM,1,driver_gene_functional_event_log_count__PTEN,"Exact cancer gene, functional event",0.3078361663967371,How many protein-affecting or high/moderate-impact mutations hit PTEN.
GBM,2,vep_impact_count__modifier,VEP impact composition,0.2574447860318469,"Composition of VEP impact levels such as high, moderate, low, or modifier."
GBM,3,vaf_median,Variant allele fraction summary,0.2454835623697727,A sample-level summary of tumor variant allele fractions; useful but should be checked as a purity/proxy sensitivity.
GBM,4,driver_gene_role_matched_event_log_count__EGFR,"Exact cancer gene, role-matched event",0.1633755412651226,How many mutations affect EGFR in a way consistent with that gene's curated cancer role.
GBM,5,vep_consequence_fraction__3_prime_utr_variant,VEP consequence composition,0.15922877596049148,Composition of mutation consequence types assigned by VEP.
GBM,6,vaf_std,Variant allele fraction summary,0.15220441888144706,A sample-level summary of tumor variant allele fractions; useful but should be checked as a purity/proxy sensitivity.
GBM,7,vep_consequence_count__frameshift_variant,VEP consequence composition,0.1442387529053667,Composition of mutation consequence types assigned by VEP.
GBM,8,vaf_max,Variant allele fraction summary,0.08790533159302867,A sample-level summary of tumor variant allele fractions; useful but should be checked as a purity/proxy sensitivity.
GBM,9,residual_non_oncokb_positive_role_max_vaf_high_or_moderate_impact,Non-OncoKB cancer-gene aggregate,0.08512511930795881,Aggregate burden in externally supported cancer genes not covered by the OncoKB role group.
GBM,10,vep_sift_fraction__tolerated,Predicted functional damage,0.08175177009099571,Composition of predicted protein-damaging versus tolerated variants.
GBM,11,driver_gene_functional_event_log_count__NF1,"Exact cancer gene, functional event",0.07644118213967886,How many protein-affecting or high/moderate-impact mutations hit NF1.
GBM,12,driver_evidence_max_vaf_high_or_moderate_impact__source_count_3,External driver-evidence tier,0.07607720780186356,Aggregate burden among genes supported by 3 external driver-evidence source(s).
GBM,13,driver_gene_role_matched_event_log_count__IDH1,"Exact cancer gene, role-matched event",0.07395358584006317,How many mutations affect IDH1 in a way consistent with that gene's curated cancer role.
GBM,14,driver_evidence_max_vaf_high_or_moderate_impact__source_count_4,External driver-evidence tier,0.07248123802413829,Aggregate burden among genes supported by 4 external driver-evidence source(s).
GBM,15,vep_polyphen_count__possibly_damaging,Predicted functional damage,0.07021277668116455,Composition of predicted protein-damaging versus tolerated variants.
HNSC,1,vep_impact_fraction__modifier,VEP impact composition,0.2864167709473986,"Composition of VEP impact levels such as high, moderate, low, or modifier."
HNSC,2,vep_consequence_fraction__3_prime_utr_variant,VEP consequence composition,0.2666071476820798,Composition of mutation consequence types assigned by VEP.
HNSC,3,driver_gene_functional_event_log_count__TP53,"Exact cancer gene, functional event",0.26181217426077635,How many protein-affecting or high/moderate-impact mutations hit TP53.
HNSC,4,vaf_std,Variant allele fraction summary,0.1492596941073498,A sample-level summary of tumor variant allele fractions; useful but should be checked as a purity/proxy sensitivity.
HNSC,5,vep_impact_fraction__low,VEP impact composition,0.11905478149281407,"Composition of VEP impact levels such as high, moderate, low, or modifier."
HNSC,6,driver_gene_functional_event_log_count__NOTCH1,"Exact cancer gene, functional event",0.11536960192141123,How many protein-affecting or high/moderate-impact mutations hit NOTCH1.
HNSC,7,vep_consequence_fraction__stop_gained,VEP consequence composition,0.10881669640686596,Composition of mutation consequence types assigned by VEP.
HNSC,8,vep_impact_count__low,VEP impact composition,0.10126011899250444,"Composition of VEP impact levels such as high, moderate, low, or modifier."
HNSC,9,driver_gene_role_matched_event_log_count__FAT1,"Exact cancer gene, role-matched event",0.08243083382578334,How many mutations affect FAT1 in a way consistent with that gene's curated cancer role.
HNSC,10,driver_gene_functional_event_log_count__CDKN2A,"Exact cancer gene, functional event",0.0732941089331871,How many protein-affecting or high/moderate-impact mutations hit CDKN2A.
HNSC,11,residual_non_oncokb_positive_role_unique_high_or_moderate_impact_genes_log_count,Non-OncoKB cancer-gene aggregate,0.06522514850192238,Aggregate burden in externally supported cancer genes not covered by the OncoKB role group.
HNSC,12,vep_consequence_count__stop_gained,VEP consequence composition,0.06487752708988409,Composition of mutation consequence types assigned by VEP.
HNSC,13,oncokb_role_max_vaf_high_or_moderate_impact__oncogene,OncoKB role aggregate,0.0594984903333534,Aggregate burden in OncoKB-curated oncogene/tumor-suppressor role groups.
HNSC,14,vep_sift_fraction__tolerated,Predicted functional damage,0.057225871256214304,Composition of predicted protein-damaging versus tolerated variants.
HNSC,15,vep_sift_fraction__deleterious_low_confidence,Predicted functional damage,0.05606616333423517,Composition of predicted protein-damaging versus tolerated variants.
KIRC,1,vep_consequence_fraction__frameshift_variant,VEP consequence composition,0.5712208745210228,Composition of mutation consequence types assigned by VEP.
KIRC,2,driver_gene_functional_event_log_count__VHL,"Exact cancer gene, functional event",0.44916929489932955,How many protein-affecting or high/moderate-impact mutations hit VHL.
KIRC,3,cancer_hotspot_max_vaf,Cancer hotspot summary,0.3146005014026014,Burden or maximum VAF of mutations at known cancer hotspot residues or exact hotspot variants.
KIRC,4,driver_gene_functional_event_log_count__TP53,"Exact cancer gene, functional event",0.25581303295097313,How many protein-affecting or high/moderate-impact mutations hit TP53.
KIRC,5,vaf_std,Variant allele fraction summary,0.19301210197816546,A sample-level summary of tumor variant allele fractions; useful but should be checked as a purity/proxy sensitivity.
KIRC,6,vaf_q90,Variant allele fraction summary,0.19108513613671677,A sample-level summary of tumor variant allele fractions; useful but should be checked as a purity/proxy sensitivity.
KIRC,7,driver_gene_functional_event_log_count__PBRM1,"Exact cancer gene, functional event",0.17571001479635015,How many protein-affecting or high/moderate-impact mutations hit PBRM1.
KIRC,8,vaf_median,Variant allele fraction summary,0.17103708903065126,A sample-level summary of tumor variant allele fractions; useful but should be checked as a purity/proxy sensitivity.
KIRC,9,vep_consequence_fraction__3_prime_utr_variant,VEP consequence composition,0.12415663603896973,Composition of mutation consequence types assigned by VEP.
KIRC,10,vep_impact_fraction__high,VEP impact composition,0.12412888332718013,"Composition of VEP impact levels such as high, moderate, low, or modifier."
