feature_family,total_mean_abs_shap,mean_abs_shap,features,share_of_total
VEP consequence composition,1.2406584416393214,0.023858816185371563,52,0.2623859894371023
"Exact cancer gene, functional event",0.6985811873923495,0.0017420977241704477,401,0.1477424486096996
VEP impact composition,0.5697525176325686,0.056975251763256865,10,0.12049656299905477
Predicted functional damage,0.47303562707175195,0.026279757059541775,18,0.10004197519844449
Variant allele fraction summary,0.3673413038636281,0.07346826077272563,5,0.07768875642196613
Non-OncoKB cancer-gene aggregate,0.2569425892049327,0.06423564730123317,4,0.05434060917522591
External driver-evidence tier,0.2447054784597542,0.015294092403734638,16,0.05175259114950526
"Exact cancer gene, role-matched event",0.24416517245547584,0.0006088907043777452,401,0.05163832220909966
Transcript annotation composition,0.2363797688888451,0.011818988444442255,20,0.049991792632999445
Cancer hotspot summary,0.20062006918394718,0.050155017295986794,4,0.04242899865672548
OncoKB role aggregate,0.19618937159313146,0.016349114299427623,12,0.04149195351017681
