rank,feature,feature_family,mean_abs_shap,plain_english_meaning
1,vep_consequence_fraction__3_prime_utr_variant,VEP consequence composition,0.3162498233258975,Composition of mutation consequence types assigned by VEP.
2,vep_impact_fraction__modifier,VEP impact composition,0.3079439899018171,"Composition of VEP impact levels such as high, moderate, low, or modifier."
3,driver_gene_functional_event_log_count__TP53,"Exact cancer gene, functional event",0.20047959823482928,How many protein-affecting or high/moderate-impact mutations hit TP53.
4,residual_non_oncokb_positive_role_unique_high_or_moderate_impact_genes_log_count,Non-OncoKB cancer-gene aggregate,0.1553772661628909,Aggregate burden in externally supported cancer genes not covered by the OncoKB role group.
5,vep_consequence_fraction__frameshift_variant,VEP consequence composition,0.1421382238241033,Composition of mutation consequence types assigned by VEP.
6,cancer_hotspot_max_vaf,Cancer hotspot summary,0.10436931513795639,Burden or maximum VAF of mutations at known cancer hotspot residues or exact hotspot variants.
7,vaf_std,Variant allele fraction summary,0.09967947675561845,A sample-level summary of tumor variant allele fractions; useful but should be checked as a purity/proxy sensitivity.
8,vaf_median,Variant allele fraction summary,0.08193787901889868,A sample-level summary of tumor variant allele fractions; useful but should be checked as a purity/proxy sensitivity.
9,vep_consequence_count__frameshift_variant,VEP consequence composition,0.07535279332853247,Composition of mutation consequence types assigned by VEP.
10,vaf_max,Variant allele fraction summary,0.07095743882855117,A sample-level summary of tumor variant allele fractions; useful but should be checked as a purity/proxy sensitivity.
11,vep_impact_count__modifier,VEP impact composition,0.06714905815909537,"Composition of VEP impact levels such as high, moderate, low, or modifier."
12,driver_gene_functional_event_log_count__BRAF,"Exact cancer gene, functional event",0.06309853166048925,How many protein-affecting or high/moderate-impact mutations hit BRAF.
13,vaf_mean,Variant allele fraction summary,0.06272557481979493,A sample-level summary of tumor variant allele fractions; useful but should be checked as a purity/proxy sensitivity.
14,vep_consequence_fraction__stop_gained,VEP consequence composition,0.05831791178303729,Composition of mutation consequence types assigned by VEP.
15,driver_evidence_max_vaf_high_or_moderate_impact__source_count_4,External driver-evidence tier,0.05526117377771402,Aggregate burden among genes supported by 4 external driver-evidence source(s).
16,vep_biotype_fraction__protein_coding,Transcript annotation composition,0.05486944558203027,Transcript-level annotation composition from VEP.
17,vep_impact_fraction__low,VEP impact composition,0.05439901795960077,"Composition of VEP impact levels such as high, moderate, low, or modifier."
18,vep_consequence_fraction__synonymous_variant,VEP consequence composition,0.054077442758579765,Composition of mutation consequence types assigned by VEP.
19,vep_consequence_fraction__splice_region_variant,VEP consequence composition,0.054067605235780095,Composition of mutation consequence types assigned by VEP.
20,vaf_q90,Variant allele fraction summary,0.05204093444076489,A sample-level summary of tumor variant allele fractions; useful but should be checked as a purity/proxy sensitivity.
21,vep_consequence_fraction__splice_acceptor_variant,VEP consequence composition,0.05199700904399856,Composition of mutation consequence types assigned by VEP.
22,vep_consequence_count__synonymous_variant,VEP consequence composition,0.05180034523054076,Composition of mutation consequence types assigned by VEP.
23,driver_gene_functional_event_log_count__PTEN,"Exact cancer gene, functional event",0.05006242940556831,How many protein-affecting or high/moderate-impact mutations hit PTEN.
24,vep_consequence_fraction__5_prime_utr_variant,VEP consequence composition,0.04946278448659132,Composition of mutation consequence types assigned by VEP.
25,driver_gene_role_matched_event_log_count__IDH1,"Exact cancer gene, role-matched event",0.0484202238795408,How many mutations affect IDH1 in a way consistent with that gene's curated cancer role.
26,vep_impact_fraction__high,VEP impact composition,0.048144676926591044,"Composition of VEP impact levels such as high, moderate, low, or modifier."
27,vep_consequence_count__3_prime_utr_variant,VEP consequence composition,0.047616735562018904,Composition of mutation consequence types assigned by VEP.
28,oncokb_role_max_vaf_high_or_moderate_impact__oncogene,OncoKB role aggregate,0.04641202946064732,Aggregate burden in OncoKB-curated oncogene/tumor-suppressor role groups.
29,driver_gene_functional_event_log_count__PIK3CA,"Exact cancer gene, functional event",0.045078016859483566,How many protein-affecting or high/moderate-impact mutations hit PIK3CA.
30,driver_gene_role_matched_event_log_count__APC,"Exact cancer gene, role-matched event",0.04503922310999633,How many mutations affect APC in a way consistent with that gene's curated cancer role.
31,vep_consequence_fraction__downstream_gene_variant,VEP consequence composition,0.04198150788601879,Composition of mutation consequence types assigned by VEP.
32,oncokb_role_max_vaf_high_or_moderate_impact__tumor_suppressor,OncoKB role aggregate,0.041830382101510626,Aggregate burden in OncoKB-curated oncogene/tumor-suppressor role groups.
33,vep_consequence_fraction__inframe_deletion,VEP consequence composition,0.03977027360971169,Composition of mutation consequence types assigned by VEP.
