endpoint,endpoint_display,representation_family,representation_family_display,model_family,model_display,calibration_mode,calibration_mode_display,calibration_y_label,bin,bin_left,bin_right,mean_predicted,observed_frequency,n_samples,n_total,n_classes,endpoint_ece
damage_class,Kucab damage class,signatures_plus_MAF_stack,Signatures + Bio MAF v4,XGBoost,XGBoost,multiclass_confidence_accuracy,Confidence versus correctness,Observed accuracy,2,0.1,0.2,0.18054475200562473,0.16666666666666666,30,259,8,0.08314795748004443
damage_class,Kucab damage class,signatures_plus_MAF_stack,Signatures + Bio MAF v4,XGBoost,XGBoost,multiclass_confidence_accuracy,Confidence versus correctness,Observed accuracy,3,0.2,0.30000000000000004,0.25262606542191196,0.20754716981132076,106,259,8,0.08314795748004443
damage_class,Kucab damage class,signatures_plus_MAF_stack,Signatures + Bio MAF v4,XGBoost,XGBoost,multiclass_confidence_accuracy,Confidence versus correctness,Observed accuracy,4,0.30000000000000004,0.4,0.3494714826908909,0.23076923076923078,52,259,8,0.08314795748004443
damage_class,Kucab damage class,signatures_plus_MAF_stack,Signatures + Bio MAF v4,XGBoost,XGBoost,multiclass_confidence_accuracy,Confidence versus correctness,Observed accuracy,5,0.4,0.5,0.45495922507000924,0.25,24,259,8,0.08314795748004443
damage_class,Kucab damage class,signatures_plus_MAF_stack,Signatures + Bio MAF v4,XGBoost,XGBoost,multiclass_confidence_accuracy,Confidence versus correctness,Observed accuracy,6,0.5,0.6000000000000001,0.5343648227941331,0.48,25,259,8,0.08314795748004443
damage_class,Kucab damage class,signatures_plus_MAF_stack,Signatures + Bio MAF v4,XGBoost,XGBoost,multiclass_confidence_accuracy,Confidence versus correctness,Observed accuracy,7,0.6000000000000001,0.7000000000000001,0.637805469416844,0.5,10,259,8,0.08314795748004443
damage_class,Kucab damage class,signatures_plus_MAF_stack,Signatures + Bio MAF v4,XGBoost,XGBoost,multiclass_confidence_accuracy,Confidence versus correctness,Observed accuracy,8,0.7000000000000001,0.8,0.7514787495315554,1.0,8,259,8,0.08314795748004443
damage_class,Kucab damage class,signatures_plus_MAF_stack,Signatures + Bio MAF v4,XGBoost,XGBoost,multiclass_confidence_accuracy,Confidence versus correctness,Observed accuracy,9,0.8,0.9,0.8690670692339441,1.0,4,259,8,0.08314795748004443
hrd_binary_24,HRD24 high/low,signatures_plus_MAF_stack,Signatures + Bio MAF v4,XGBoost,XGBoost,binary_positive_probability,Positive-class probability,Observed positive fraction,1,0.0,0.1,0.06272760663346749,0.0625,48,772,2,0.07773060712942778
hrd_binary_24,HRD24 high/low,signatures_plus_MAF_stack,Signatures + Bio MAF v4,XGBoost,XGBoost,binary_positive_probability,Positive-class probability,Observed positive fraction,2,0.1,0.2,0.15219558974772718,0.16393442622950818,122,772,2,0.07773060712942778
hrd_binary_24,HRD24 high/low,signatures_plus_MAF_stack,Signatures + Bio MAF v4,XGBoost,XGBoost,binary_positive_probability,Positive-class probability,Observed positive fraction,3,0.2,0.30000000000000004,0.2512715065886608,0.21518987341772153,79,772,2,0.07773060712942778
hrd_binary_24,HRD24 high/low,signatures_plus_MAF_stack,Signatures + Bio MAF v4,XGBoost,XGBoost,binary_positive_probability,Positive-class probability,Observed positive fraction,4,0.30000000000000004,0.4,0.3467004640142638,0.2558139534883721,43,772,2,0.07773060712942778
