Endpoint tier,Endpoint,Representation,Model,Primary metric,Selected feature-set label,Selected total features,Selected Bio MAF features,Selected Bio MAF blocks,Includes mutational signatures,Includes exact driver genes,Includes optional burden controls,Outer folds selected,Outer folds evaluated,Fold selection fraction,Mean inner-validation score,Mean outer-fold score,Selection interpretation
Main,HRD score,Bio MAF v4,Elastic net,Spearman r,Compact biology + exact driver genes,923,923,Compact biological annotation core; exact consensus driver-gene identity,No,Yes,No,1,5,0.2,0.7655623764082107,0.7380459935149531,Selected in 1 of 5 outer folds.
Main,HRD score,Bio MAF v4,Elastic net,Spearman r,Full core + optional burden/composition controls,948,948,Compact biological annotation core; external evidence-confidence controls; exact consensus driver-gene identity; cancer hotspot summaries; optional burden and event-composition controls,No,Yes,Yes,2,5,0.4,0.722046850283306,0.7134402688460354,Selected in 2 of 5 outer folds.
Main,HRD score,Bio MAF v4,Elastic net,Spearman r,Full strict Bio MAF core,943,943,Compact biological annotation core; external evidence-confidence controls; exact consensus driver-gene identity; cancer hotspot summaries,No,Yes,No,2,5,0.4,0.7310829066423037,0.7117042237478178,Selected in 2 of 5 outer folds.
Main,HRD score,Bio MAF v4,XGBoost,Spearman r,Compact biology + exact driver genes,923,923,Compact biological annotation core; exact consensus driver-gene identity,No,Yes,No,2,5,0.4,0.7603963026591518,0.7309372346252978,Selected in 2 of 5 outer folds.
Main,HRD score,Bio MAF v4,XGBoost,Spearman r,Full core + optional burden/composition controls,948,948,Compact biological annotation core; external evidence-confidence controls; exact consensus driver-gene identity; cancer hotspot summaries; optional burden and event-composition controls,No,Yes,Yes,3,5,0.6,0.7670200452493825,0.7446283269086188,Selected in 3 of 5 outer folds.
Main,HRD score,Signatures + Bio MAF v4,Elastic net,Spearman r,Signatures + Compact biology + exact driver genes,1105,923,Compact biological annotation core; exact consensus driver-gene identity,Yes,Yes,No,2,5,0.4,0.7564177493894587,0.7022494544267472,Selected in 2 of 5 outer folds.
Main,HRD score,Signatures + Bio MAF v4,Elastic net,Spearman r,Signatures + Full core + optional burden/composition controls,1130,948,Compact biological annotation core; external evidence-confidence controls; exact consensus driver-gene identity; cancer hotspot summaries; optional burden and event-composition controls,Yes,Yes,Yes,1,5,0.2,0.7079713761867175,0.7976303974358551,Selected in 1 of 5 outer folds.
Main,HRD score,Signatures + Bio MAF v4,Elastic net,Spearman r,Signatures + Full strict Bio MAF core,1125,943,Compact biological annotation core; external evidence-confidence controls; exact consensus driver-gene identity; cancer hotspot summaries,Yes,Yes,No,2,5,0.4,0.6907103752808221,0.7110480829597149,Selected in 2 of 5 outer folds.
Main,HRD score,Signatures + Bio MAF v4,XGBoost,Spearman r,Signatures + Compact biology + exact driver genes,1105,923,Compact biological annotation core; exact consensus driver-gene identity,Yes,Yes,No,1,5,0.2,0.7771194513175027,0.7574765508639203,Selected in 1 of 5 outer folds.
Main,HRD score,Signatures + Bio MAF v4,XGBoost,Spearman r,Signatures + Full core + optional burden/composition controls,1130,948,Compact biological annotation core; external evidence-confidence controls; exact consensus driver-gene identity; cancer hotspot summaries; optional burden and event-composition controls,Yes,Yes,Yes,3,5,0.6,0.7745494922613839,0.7857073943784787,Selected in 3 of 5 outer folds.
Main,HRD score,Signatures + Bio MAF v4,XGBoost,Spearman r,Signatures + Full strict Bio MAF core,1125,943,Compact biological annotation core; external evidence-confidence controls; exact consensus driver-gene identity; cancer hotspot summaries,Yes,Yes,No,1,5,0.2,0.7759858013457291,0.7679176219158758,Selected in 1 of 5 outer folds.
Main,HRD24 high/low,Bio MAF v4,Elastic net,AUROC,Compact biology + evidence-confidence controls,137,137,Compact biological annotation core; external evidence-confidence controls,No,No,No,1,5,0.2,0.834758551307847,0.7374245472837022,Selected in 1 of 5 outer folds.
Main,HRD24 high/low,Bio MAF v4,Elastic net,AUROC,Compact biology + exact driver genes,923,923,Compact biological annotation core; exact consensus driver-gene identity,No,Yes,No,3,5,0.6,0.8363514419852448,0.8507361630098048,Selected in 3 of 5 outer folds.
Main,HRD24 high/low,Bio MAF v4,Elastic net,AUROC,Compact biology + hotspot summaries,125,125,Compact biological annotation core; cancer hotspot summaries,No,No,No,1,5,0.2,0.7966130114017438,0.7768538944510437,Selected in 1 of 5 outer folds.
Main,HRD24 high/low,Bio MAF v4,XGBoost,AUROC,Compact biology + exact driver genes,923,923,Compact biological annotation core; exact consensus driver-gene identity,No,Yes,No,2,5,0.4,0.8674966465459423,0.8676319968000776,Selected in 2 of 5 outer folds.
Main,HRD24 high/low,Bio MAF v4,XGBoost,AUROC,Full core + optional burden/composition controls,948,948,Compact biological annotation core; external evidence-confidence controls; exact consensus driver-gene identity; cancer hotspot summaries; optional burden and event-composition controls,No,Yes,Yes,2,5,0.4,0.8897551978537894,0.8171768707482994,Selected in 2 of 5 outer folds.
Main,HRD24 high/low,Bio MAF v4,XGBoost,AUROC,Full strict Bio MAF core,943,943,Compact biological annotation core; external evidence-confidence controls; exact consensus driver-gene identity; cancer hotspot summaries,No,Yes,No,1,5,0.2,0.8869047619047619,0.8848088531187122,Selected in 1 of 5 outer folds.
Main,HRD24 high/low,Signatures + Bio MAF v4,Elastic net,AUROC,Signatures + Compact biology + exact driver genes,1105,923,Compact biological annotation core; exact consensus driver-gene identity,Yes,Yes,No,2,5,0.4,0.8392018779342723,0.8337585034013605,Selected in 2 of 5 outer folds.
Main,HRD24 high/low,Signatures + Bio MAF v4,Elastic net,AUROC,Signatures + Full core + optional burden/composition controls,1130,948,Compact biological annotation core; external evidence-confidence controls; exact consensus driver-gene identity; cancer hotspot summaries; optional burden and event-composition controls,Yes,Yes,Yes,1,5,0.2,0.8781019450033535,0.8043259557344064,Selected in 1 of 5 outer folds.
Main,HRD24 high/low,Signatures + Bio MAF v4,Elastic net,AUROC,Signatures + Full strict Bio MAF core,1125,943,Compact biological annotation core; external evidence-confidence controls; exact consensus driver-gene identity; cancer hotspot summaries,Yes,Yes,No,2,5,0.4,0.8503521126760564,0.8659931476408653,Selected in 2 of 5 outer folds.
Main,HRD24 high/low,Signatures + Bio MAF v4,XGBoost,AUROC,Signatures + Compact biology + exact driver genes,1105,923,Compact biological annotation core; exact consensus driver-gene identity,Yes,Yes,No,2,5,0.4,0.903420523138833,0.8560799319727892,Selected in 2 of 5 outer folds.
Main,HRD24 high/low,Signatures + Bio MAF v4,XGBoost,AUROC,Signatures + Full strict Bio MAF core,1125,943,Compact biological annotation core; external evidence-confidence controls; exact consensus driver-gene identity; cancer hotspot summaries,Yes,Yes,No,2,5,0.4,0.8991029510395707,0.8576655717437153,Selected in 2 of 5 outer folds.
Main,HRD24 high/low,Signatures + Bio MAF v4,XGBoost,AUROC,Signatures only; no Bio MAF block,182,0,None,Yes,No,No,1,5,0.2,0.8905097250167673,0.8715627095908786,Selected in 1 of 5 outer folds.
Main,HRD33 high/low,Bio MAF v4,Elastic net,AUROC,Compact biology + exact driver genes,923,923,Compact biological annotation core; exact consensus driver-gene identity,No,Yes,No,1,5,0.2,0.8307722616233254,0.8745074862096139,Selected in 1 of 5 outer folds.
Main,HRD33 high/low,Bio MAF v4,Elastic net,AUROC,Compact biology + hotspot summaries,125,125,Compact biological annotation core; cancer hotspot summaries,No,No,No,2,5,0.4,0.8595350669818755,0.7854057577163562,Selected in 2 of 5 outer folds.
