Endpoint tier,Endpoint,Representation,Model,Primary metric,Selected feature-set label,Selected total features,Selected Bio MAF features,Selected Bio MAF blocks,Includes mutational signatures,Includes exact driver genes,Includes optional burden controls,Outer folds selected,Outer folds evaluated,Fold selection fraction,Mean inner-validation score,Mean outer-fold score,Selection interpretation
Main,HRD score,Bio MAF v4,Elastic net,Spearman r,Compact biology + exact driver genes,923,923,Compact biological annotation core; exact consensus driver-gene identity,No,Yes,No,2,5,0.4,0.6628769166850785,0.7431979881131598,Selected in 2 of 5 outer folds.
Main,HRD score,Bio MAF v4,Elastic net,Spearman r,Compact biology only,121,121,Compact biological annotation core,No,No,No,1,5,0.2,0.6381482536962592,0.622645950185392,Selected in 1 of 5 outer folds.
Main,HRD score,Bio MAF v4,Elastic net,Spearman r,Full core + optional burden/composition controls,948,948,Compact biological annotation core; external evidence-confidence controls; exact consensus driver-gene identity; cancer hotspot summaries; optional burden and event-composition controls,No,Yes,Yes,2,5,0.4,0.7117358138697669,0.7278359608706488,Selected in 2 of 5 outer folds.
Main,HRD score,Bio MAF v4,XGBoost,Spearman r,Compact biology + exact driver genes,923,923,Compact biological annotation core; exact consensus driver-gene identity,No,Yes,No,3,5,0.6,0.7377045582121852,0.7219672485960933,Selected in 3 of 5 outer folds.
Main,HRD score,Bio MAF v4,XGBoost,Spearman r,Full core + optional burden/composition controls,948,948,Compact biological annotation core; external evidence-confidence controls; exact consensus driver-gene identity; cancer hotspot summaries; optional burden and event-composition controls,No,Yes,Yes,2,5,0.4,0.716895893838573,0.7414663874134487,Selected in 2 of 5 outer folds.
Main,HRD score,Signatures + Bio MAF v4,Elastic net,Spearman r,Signatures + Compact biology + exact driver genes,1105,923,Compact biological annotation core; exact consensus driver-gene identity,Yes,Yes,No,3,5,0.6,0.678240606774788,0.7394860433859168,Selected in 3 of 5 outer folds.
Main,HRD score,Signatures + Bio MAF v4,Elastic net,Spearman r,Signatures + Full strict Bio MAF core,1125,943,Compact biological annotation core; external evidence-confidence controls; exact consensus driver-gene identity; cancer hotspot summaries,Yes,Yes,No,2,5,0.4,0.7304547629510315,0.7239648436734452,Selected in 2 of 5 outer folds.
Main,HRD score,Signatures + Bio MAF v4,XGBoost,Spearman r,Signatures + Full core + optional burden/composition controls,1130,948,Compact biological annotation core; external evidence-confidence controls; exact consensus driver-gene identity; cancer hotspot summaries; optional burden and event-composition controls,Yes,Yes,Yes,3,5,0.6,0.7851097119784467,0.7881491376272297,Selected in 3 of 5 outer folds.
Main,HRD score,Signatures + Bio MAF v4,XGBoost,Spearman r,Signatures + Full strict Bio MAF core,1125,943,Compact biological annotation core; external evidence-confidence controls; exact consensus driver-gene identity; cancer hotspot summaries,Yes,Yes,No,2,5,0.4,0.7847848877497996,0.7779043174149092,Selected in 2 of 5 outer folds.
Main,HRD24 high/low,Bio MAF v4,Elastic net,AUROC,Compact biology + exact driver genes,923,923,Compact biological annotation core; exact consensus driver-gene identity,No,Yes,No,1,5,0.2,0.834842387659289,0.7771629778672032,Selected in 1 of 5 outer folds.
