run_id,endpoint_tier,endpoint_tier_display,endpoint,endpoint_display,task,task_display,representation_family,representation_family_display,representation,representation_display,atlas_status,atlas_status_display,model_family,model_display,metric,metric_display,primary_score,macro_auroc,auroc,micro_auroc,auprc,accuracy,macro_f1,f1,balanced_accuracy,cohen_kappa,top3_accuracy,top5_accuracy,delta_vs_signatures,ci_low,ci_high,p_value,q_value,n_samples,n_features,folds,repeats,xgb_estimators,optuna_trials_completed,cache_key,oof_prediction_file,fold_metrics_file,na_reason,split_strategy,experiment_id,source_file
20260607T133931Z,main,Main,HRD_Score,HRD score,regression,Regression,MAF_stack_only,Bio MAF v4,MAF_stack_only,Bio MAF v4,no UGA atlas,No UGA atlas,XGBoost,XGBoost,spearman,Spearman r,0.7312465589900982,,,,,,,,,,,,,,,,,772.0,948.0,5.0,1.0,,0.0,main_complete_panel_mc3_maf_stack_bio_v4_nested_fs_1a8fbb418519277c0e47e210,main_manuscript_complete_panel_oof_predictions.csv,main_manuscript_complete_panel_fold_metrics.csv,,5 outer KFold; inner 60/20 validation split,main_manuscript_complete_panel,main_manuscript_complete_panel_endpoint_results.csv
20260607T133931Z,main,Main,HRD_Score,HRD score,regression,Regression,MAF_stack_only,Bio MAF v4,MAF_stack_only,Bio MAF v4,no UGA atlas,No UGA atlas,elastic_net,Elastic net,spearman,Spearman r,0.7098422629709749,,,,,,,,,,,,,,,,,772.0,948.0,5.0,1.0,,0.0,main_complete_panel_mc3_maf_stack_bio_v4_nested_fs_1a8fbb418519277c0e47e210,main_manuscript_complete_panel_oof_predictions.csv,main_manuscript_complete_panel_fold_metrics.csv,,5 outer KFold; inner 60/20 validation split,main_manuscript_complete_panel,main_manuscript_complete_panel_endpoint_results.csv
20260607T133931Z,main,Main,HRD_Score,HRD score,regression,Regression,burden_only,Mutational burden,burden_only,Mutational burden,no UGA atlas,No UGA atlas,XGBoost,XGBoost,spearman,Spearman r,0.5959593538275412,,,,,,,,,,,,,,,,,772.0,3.0,5.0,1.0,,0.0,main_complete_panel_mc3_standard_features_31b1037b9abab190e15c34de,main_manuscript_complete_panel_oof_predictions.csv,main_manuscript_complete_panel_fold_metrics.csv,,5 outer KFold; inner 60/20 validation split,main_manuscript_complete_panel,main_manuscript_complete_panel_endpoint_results.csv
20260607T133931Z,main,Main,HRD_Score,HRD score,regression,Regression,burden_only,Mutational burden,burden_only,Mutational burden,no UGA atlas,No UGA atlas,elastic_net,Elastic net,spearman,Spearman r,0.4973007995395391,,,,,,,,,,,,,,,,,772.0,3.0,5.0,1.0,,0.0,main_complete_panel_mc3_standard_features_31b1037b9abab190e15c34de,main_manuscript_complete_panel_oof_predictions.csv,main_manuscript_complete_panel_fold_metrics.csv,,5 outer KFold; inner 60/20 validation split,main_manuscript_complete_panel,main_manuscript_complete_panel_endpoint_results.csv
20260607T133931Z,main,Main,HRD_Score,HRD score,regression,Regression,signatures_only,Mutational signatures,standard_sbs96_id83,SBS96 + ID83 spectra,no UGA atlas,No UGA atlas,XGBoost,XGBoost,spearman,Spearman r,0.7041263728795075,,,,,,,,,,,,,,,,,772.0,182.0,5.0,1.0,,0.0,main_complete_panel_mc3_standard_features_28d6404e244a73722d16aa63,main_manuscript_complete_panel_oof_predictions.csv,main_manuscript_complete_panel_fold_metrics.csv,,5 outer KFold; inner 60/20 validation split,main_manuscript_complete_panel,main_manuscript_complete_panel_endpoint_results.csv
20260607T133931Z,main,Main,HRD_Score,HRD score,regression,Regression,signatures_only,Mutational signatures,standard_sbs96_id83,SBS96 + ID83 spectra,no UGA atlas,No UGA atlas,elastic_net,Elastic net,spearman,Spearman r,0.4305840299522571,,,,,,,,,,,,,,,,,772.0,182.0,5.0,1.0,,0.0,main_complete_panel_mc3_standard_features_28d6404e244a73722d16aa63,main_manuscript_complete_panel_oof_predictions.csv,main_manuscript_complete_panel_fold_metrics.csv,,5 outer KFold; inner 60/20 validation split,main_manuscript_complete_panel,main_manuscript_complete_panel_endpoint_results.csv
20260607T133931Z,main,Main,HRD_Score,HRD score,regression,Regression,signatures_plus_MAF_stack,Signatures + Bio MAF v4,signatures_plus_MAF_stack,Signatures + Bio MAF v4,no UGA atlas,No UGA atlas,XGBoost,XGBoost,spearman,Spearman r,0.7809855446598942,,,,,,,,,,,,,,,,,772.0,1130.0,5.0,1.0,,0.0,main_complete_panel_mc3_signatures_plus_maf_stack_bio_v4_nested_fs_8b5fd6dea3414b126012c153,main_manuscript_complete_panel_oof_predictions.csv,main_manuscript_complete_panel_fold_metrics.csv,,5 outer KFold; inner 60/20 validation split,main_manuscript_complete_panel,main_manuscript_complete_panel_endpoint_results.csv
20260607T133931Z,main,Main,HRD_Score,HRD score,regression,Regression,signatures_plus_MAF_stack,Signatures + Bio MAF v4,signatures_plus_MAF_stack,Signatures + Bio MAF v4,no UGA atlas,No UGA atlas,elastic_net,Elastic net,spearman,Spearman r,0.7325519412628615,,,,,,,,,,,,,,,,,772.0,1130.0,5.0,1.0,,0.0,main_complete_panel_mc3_signatures_plus_maf_stack_bio_v4_nested_fs_8b5fd6dea3414b126012c153,main_manuscript_complete_panel_oof_predictions.csv,main_manuscript_complete_panel_fold_metrics.csv,,5 outer KFold; inner 60/20 validation split,main_manuscript_complete_panel,main_manuscript_complete_panel_endpoint_results.csv
20260607T133931Z,main,Main,OS,Overall survival,survival,Survival,MAF_stack_only,Bio MAF v4,MAF_stack_only,Bio MAF v4,no UGA atlas,No UGA atlas,cox_ph,Cox PH,c_index,Harrell C-index,0.6155057455775251,,,,,,,,,,,,,,,,,9986.0,948.0,5.0,1.0,,0.0,main_complete_panel_mc3_maf_stack_bio_v4_nested_fs_ac0575b1470e540a835db4f7,main_manuscript_complete_panel_oof_predictions.csv,main_manuscript_complete_panel_fold_metrics.csv,,5 outer event-stratified folds; inner 60/20 event-stratified validation split,main_manuscript_complete_panel,main_manuscript_complete_panel_endpoint_results.csv
20260607T133931Z,main,Main,OS,Overall survival,survival,Survival,burden_only,Mutational burden,burden_only,Mutational burden,no UGA atlas,No UGA atlas,cox_ph,Cox PH,c_index,Harrell C-index,0.5816893480061318,,,,,,,,,,,,,,,,,9986.0,3.0,5.0,1.0,,0.0,main_complete_panel_mc3_standard_features_059c6ad7664bed3ad37c6ddc,main_manuscript_complete_panel_oof_predictions.csv,main_manuscript_complete_panel_fold_metrics.csv,,5 outer event-stratified folds; inner 60/20 event-stratified validation split,main_manuscript_complete_panel,main_manuscript_complete_panel_endpoint_results.csv
