source_table,rows,columns
main_manuscript_complete_panel_endpoint_audit.csv,12,9
main_manuscript_complete_panel_feature_manifest.csv,12,8
main_manuscript_complete_panel_fold_metrics.csv,480,28
main_manuscript_complete_panel_oof_predictions.csv,207428,53
main_manuscript_complete_panel_summary.csv,1,5
muat_style_tcga_comparator_main_endpoints_comparable_attention_summary.csv,1544,6
muat_style_tcga_comparator_main_endpoints_comparable_calibration_summary.csv,2,5
muat_style_tcga_comparator_main_endpoints_comparable_dictionary_summary.csv,3,6
muat_style_tcga_comparator_main_endpoints_comparable_fold_metrics.csv,10,31
muat_style_tcga_comparator_main_endpoints_comparable_main_panel_comparison.csv,18,24
muat_style_tcga_comparator_main_endpoints_comparable_oof_predictions.csv,1544,14
muat_style_tcga_comparator_main_endpoints_comparable_split_manifest.csv,13896,4
muat_style_tcga_comparator_main_endpoints_comparable_summary.csv,1,9
muat_style_tcga_comparator_main_endpoints_comparable_task_audit.csv,85,7
muat_style_tcga_comparator_main_endpoints_comparable_tumour_level_features.csv,1544,26
proposed_clinical_bio_v4_core_feature_table_exact.csv,943,13
proposed_clinical_bio_v4_driver_gene_evidence_all_sources.csv,1396,11
proposed_clinical_bio_v4_driver_gene_panel.csv,401,12
proposed_clinical_bio_v4_feature_summary.csv,5,4
proposed_clinical_bio_v4_feature_table_exact.csv,948,13
proposed_clinical_bio_v4_optional_controls_feature_table_exact.csv,5,13
quick_bio_v4_one_endpoint_smoke_folds.csv,2,15
quick_bio_v4_one_endpoint_smoke_summary.csv,1,12
quick_bio_v4_one_endpoint_smoke_wide_comparison.csv,1,4
