endpoint_tier,endpoint_tier_display,endpoint,endpoint_display,n_samples_max,metrics_seen,representations,naive_baseline_context
main,Main,HRD_Score,HRD score,772.0,spearman,MAF_stack_only; burden_only; signatures_only; signatures_plus_MAF_stack,Endpoint-level sample size and metric coverage; model rows use OOF predictions where available
main,Main,OS,Overall survival,9986.0,c_index,MAF_stack_only; burden_only; signatures_only; signatures_plus_MAF_stack,Endpoint-level sample size and metric coverage; model rows use OOF predictions where available
main,Main,cancer_type_top20,Cancer type (top 20),8800.0,macro_auroc,MAF_stack_only; MuAt_style_attention_MIL; burden_only; signatures_only; signatures_plus_MAF_stack,Endpoint-level sample size and metric coverage; model rows use OOF predictions where available
main,Main,damage_class,Kucab damage class,259.0,macro_auroc,MAF_stack_only; burden_only; signatures_only; signatures_plus_MAF_stack,Endpoint-level sample size and metric coverage; model rows use OOF predictions where available
main,Main,hrd_binary_24,HRD24 high/low,772.0,auroc,MAF_stack_only; burden_only; signatures_only; signatures_plus_MAF_stack,Endpoint-level sample size and metric coverage; model rows use OOF predictions where available
main,Main,hrd_binary_33,HRD33 high/low,772.0,auroc,MAF_stack_only; burden_only; signatures_only; signatures_plus_MAF_stack,Endpoint-level sample size and metric coverage; model rows use OOF predictions where available
main,Main,hrd_binary_42,HRD42 high/low,772.0,auroc,MAF_stack_only; burden_only; signatures_only; signatures_plus_MAF_stack,Endpoint-level sample size and metric coverage; model rows use OOF predictions where available
supplement,Supplement,HRD_LOH,HRD LOH,772.0,spearman,MAF_stack_only; burden_only; signatures_only; signatures_plus_MAF_stack,Endpoint-level sample size and metric coverage; model rows use OOF predictions where available
supplement,Supplement,HRD_LST,HRD LST,772.0,spearman,MAF_stack_only; burden_only; signatures_only; signatures_plus_MAF_stack,Endpoint-level sample size and metric coverage; model rows use OOF predictions where available
supplement,Supplement,HRD_TAI,HRD TAI,772.0,spearman,MAF_stack_only; burden_only; signatures_only; signatures_plus_MAF_stack,Endpoint-level sample size and metric coverage; model rows use OOF predictions where available
supplement,Supplement,PARPi7,PARPi7,772.0,spearman,MAF_stack_only; burden_only; signatures_only; signatures_plus_MAF_stack,Endpoint-level sample size and metric coverage; model rows use OOF predictions where available
supplement,Supplement,PFI,PFI survival,9857.0,c_index,MAF_stack_only; burden_only; signatures_only; signatures_plus_MAF_stack,Endpoint-level sample size and metric coverage; model rows use OOF predictions where available
supplement,Supplement,eCARD,eCARD,772.0,spearman,MAF_stack_only; burden_only; signatures_only; signatures_plus_MAF_stack,Endpoint-level sample size and metric coverage; model rows use OOF predictions where available
