"endpoint","endpoint_display","representation_family","representation_family_display","na_reason"
"HRD_LOH","HRD LOH","UGA_geometry","UGA geometry","no measured supplementary result for this analysis family/endpoint"
"HRD_LOH","HRD LOH","channel_KME","Channel KME","no measured supplementary result for this analysis family/endpoint"
"HRD_LOH","HRD LOH","COSMIC_NNLS_exposures","COSMIC NNLS exposures","no measured supplementary result for this analysis family/endpoint"
"HRD_LOH","HRD LOH","supplementary_check","Mechanistic controls","no measured supplementary result for this analysis family/endpoint"
"HRD_LST","HRD LST","UGA_geometry","UGA geometry","no measured supplementary result for this analysis family/endpoint"
"HRD_LST","HRD LST","channel_KME","Channel KME","no measured supplementary result for this analysis family/endpoint"
"HRD_LST","HRD LST","COSMIC_NNLS_exposures","COSMIC NNLS exposures","no measured supplementary result for this analysis family/endpoint"
"HRD_LST","HRD LST","supplementary_check","Mechanistic controls","no measured supplementary result for this analysis family/endpoint"
"HRD_TAI","HRD TAI","UGA_geometry","UGA geometry","no measured supplementary result for this analysis family/endpoint"
"HRD_TAI","HRD TAI","channel_KME","Channel KME","no measured supplementary result for this analysis family/endpoint"
"HRD_TAI","HRD TAI","COSMIC_NNLS_exposures","COSMIC NNLS exposures","no measured supplementary result for this analysis family/endpoint"
"HRD_TAI","HRD TAI","supplementary_check","Mechanistic controls","no measured supplementary result for this analysis family/endpoint"
"PARPi7","PARPi7","UGA_geometry","UGA geometry","no measured supplementary result for this analysis family/endpoint"
"PARPi7","PARPi7","channel_KME","Channel KME","no measured supplementary result for this analysis family/endpoint"
"PARPi7","PARPi7","COSMIC_NNLS_exposures","COSMIC NNLS exposures","no measured supplementary result for this analysis family/endpoint"
"PARPi7","PARPi7","supplementary_check","Mechanistic controls","no measured supplementary result for this analysis family/endpoint"
"PFI","PFI survival","UGA_geometry","UGA geometry","no measured supplementary result for this analysis family/endpoint"
"PFI","PFI survival","channel_KME","Channel KME","no measured supplementary result for this analysis family/endpoint"
"PFI","PFI survival","COSMIC_NNLS_exposures","COSMIC NNLS exposures","no measured supplementary result for this analysis family/endpoint"
"PFI","PFI survival","supplementary_check","Mechanistic controls","no measured supplementary result for this analysis family/endpoint"
"eCARD","eCARD","UGA_geometry","UGA geometry","no measured supplementary result for this analysis family/endpoint"
"eCARD","eCARD","channel_KME","Channel KME","no measured supplementary result for this analysis family/endpoint"
"eCARD","eCARD","COSMIC_NNLS_exposures","COSMIC NNLS exposures","no measured supplementary result for this analysis family/endpoint"
"eCARD","eCARD","supplementary_check","Mechanistic controls","no measured supplementary result for this analysis family/endpoint"
