Feature,Display name,Feature family,Plain-English meaning,N top-20 samples,Nonzero samples,Nonzero percent,Mean,Median,P25,P75,P95,Max,Source feature matrix
vep_consequence_count__missense_variant,Missense mutation count,Compact VEP annotation,log1p count of mutations where VEP says one amino acid changed.,8800,8790,99.89,4.241471523613637,4.0943446,3.4011974,4.955827,6.565265,10.279421,results\cache\features\main_complete_panel_mc3_maf_stack_bio_v4_nested_fs_15d698606a129584e3f82812\features.csv.gz
vep_impact_fraction__high,High-impact fraction,Compact VEP annotation,fraction of annotated mutations with VEP HIGH impact.,8800,8501,96.6,0.09097409282507954,0.085807845,0.0625,0.11111111,0.17283951,0.9647378,results\cache\features\main_complete_panel_mc3_maf_stack_bio_v4_nested_fs_15d698606a129584e3f82812\features.csv.gz
vaf_max,Maximum allele fraction,Allele-fraction summary,largest share of tumor DNA reads carrying any mutation in the sample.,8800,8800,100.0,0.6810220600029545,0.704375175,0.5309461225,0.8548387,0.988426768,1.0,results\cache\features\main_complete_panel_mc3_maf_stack_bio_v4_nested_fs_15d698606a129584e3f82812\features.csv.gz
driver_evidence_high_or_moderate_impact_log_count__source_count_4,4-source cancer-gene hits,Evidence-confidence control,log1p count of high/moderate-impact mutations in genes named by 4+ external cancer resources.,8800,7827,88.94,1.3251297056931817,1.3862944,0.6931472,1.7917595,2.7080503,5.587249,results\cache\features\main_complete_panel_mc3_maf_stack_bio_v4_nested_fs_15d698606a129584e3f82812\features.csv.gz
driver_gene_functional_event_log_count__TP53,TP53 protein-affecting count,Exact cancer-gene identity,log1p count of TP53 mutations predicted to change or disrupt TP53 protein.,8800,3478,39.52,0.29983441154545454,0.0,0.0,0.6931472,1.0986123,1.609438,results\cache\features\main_complete_panel_mc3_maf_stack_bio_v4_nested_fs_15d698606a129584e3f82812\features.csv.gz
driver_gene_role_matched_event_log_count__TP53,TP53 cancer-role-fit count,Exact cancer-gene identity,log1p count of TP53 mutations fitting TP53's tumor-suppressor role.,8800,1205,13.69,0.09976381501136362,0.0,0.0,0.0,0.6931472,1.609438,results\cache\features\main_complete_panel_mc3_maf_stack_bio_v4_nested_fs_15d698606a129584e3f82812\features.csv.gz
cancer_hotspot_residue_log_count,Hotspot residue count,Cancer hotspot summary,log1p count of mutations hitting recurrent Cancer Hotspots protein residues.,8800,6139,69.76,0.6912441209090908,0.6931472,0.0,1.0986123,1.609438,3.295837,results\cache\features\main_complete_panel_mc3_maf_stack_bio_v4_nested_fs_15d698606a129584e3f82812\features.csv.gz
cancer_hotspot_max_vaf,Maximum hotspot allele fraction,Cancer hotspot summary,largest allele fraction among hotspot-matched mutations.,8800,6139,69.76,0.32933433002,0.32678531,0.0,0.5294118,0.8485606549999989,1.0,results\cache\features\main_complete_panel_mc3_maf_stack_bio_v4_nested_fs_15d698606a129584e3f82812\features.csv.gz
log10_id_burden,Insertion/deletion burden,Optional burden control,log10(1 + insertion/deletion event count).,8800,8013,91.06,0.76501293605,0.69897,0.47712126,1.0,1.5563025,3.6232493,results\cache\features\main_complete_panel_mc3_maf_stack_bio_v4_nested_fs_15d698606a129584e3f82812\features.csv.gz
id_fraction,Insertion/deletion fraction,Optional burden control,insertion/deletion events divided by SBS + DBS + ID events.,8800,8013,91.06,0.050664610778798864,0.037037037,0.017983591,0.066176474,0.151188766,0.994575,results\cache\features\main_complete_panel_mc3_maf_stack_bio_v4_nested_fs_15d698606a129584e3f82812\features.csv.gz
