feature,total_gain,gain_rank,mean_abs_shap,shap_rank
vep_biotype_count__protein_coding,885.4838256835938,1,0.07075448,1.0
log10_sbs_burden,775.2991943359375,2,0.057893734,2.0
residual_non_oncokb_positive_role_unique_high_or_moderate_impact_genes_log_count,737.3103637695312,3,0.04896869,3.0
id_fraction,275.4248046875,4,0.03275501,4.0
vaf_max,230.14456176757812,5,0.02775968,5.0
residual_non_oncokb_positive_role_vep_high_or_moderate_impact_log_count,202.93533325195312,6,0.016497103,8.0
vep_consequence_fraction__3_prime_utr_variant,164.3635711669922,7,0.027373495,6.0
vep_canonical_count__yes,157.64913940429688,8,0.015517812,9.0
driver_gene_role_matched_event_log_count__EGFR,152.21714782714844,9,0.011397311,13.0
driver_gene_functional_event_log_count__EGFR,143.82077026367188,10,0.0071112723,22.0
driver_gene_functional_event_log_count__TP53,138.78482055664062,11,0.02016963,7.0
vaf_mean,133.26638793945312,12,0.014329324,10.0
vaf_std,117.69465637207031,13,0.010012937,14.0
vep_consequence_fraction__frameshift_variant,104.87165832519531,14,0.0122593595,11.0
vaf_q90,102.64244842529297,15,0.007122128,21.0
driver_evidence_max_vaf_high_or_moderate_impact__source_count_4,87.15982818603516,16,0.009305277,16.0
vaf_median,86.93243408203125,17,0.009280976,17.0
vep_consequence_count__synonymous_variant,84.33222961425781,18,0.0076172412,19.0
vep_consequence_count__3_prime_utr_variant,80.28837585449219,19,0.009955252,15.0
oncokb_role_max_vaf_high_or_moderate_impact__tumor_suppressor,78.85009765625,20,0.0058286637,25.0
vep_polyphen_count__unknown,75.40093994140625,21,0.008709574,18.0
oncokb_role_unique_high_or_moderate_impact_genes_log_count__oncogene,73.31251525878906,22,0.0072127935,20.0
residual_non_oncokb_positive_role_max_vaf_high_or_moderate_impact,67.02604675292969,23,0.012162016,12.0
vep_impact_count__low,52.629032135009766,24,0.004683165,27.0
vep_sift_count__deleterious,46.98051452636719,25,0.00644063,23.0
driver_evidence_high_or_moderate_impact_log_count__source_count_3,41.65410232543945,26,0.0060232347,24.0
vep_consequence_fraction__splice_acceptor_variant,39.13423156738281,27,0.0014587381,48.0
