feature,mean_abs_shap
vep_biotype_count__protein_coding,0.07075448
log10_sbs_burden,0.057893734
residual_non_oncokb_positive_role_unique_high_or_moderate_impact_genes_log_count,0.04896869
id_fraction,0.03275501
vaf_max,0.02775968
vep_consequence_fraction__3_prime_utr_variant,0.027373495
driver_gene_functional_event_log_count__TP53,0.02016963
residual_non_oncokb_positive_role_vep_high_or_moderate_impact_log_count,0.016497103
vep_canonical_count__yes,0.015517812
vaf_mean,0.014329324
vep_consequence_fraction__frameshift_variant,0.0122593595
residual_non_oncokb_positive_role_max_vaf_high_or_moderate_impact,0.012162016
driver_gene_role_matched_event_log_count__EGFR,0.011397311
vaf_std,0.010012937
vep_consequence_count__3_prime_utr_variant,0.009955252
driver_evidence_max_vaf_high_or_moderate_impact__source_count_4,0.009305277
vaf_median,0.009280976
vep_polyphen_count__unknown,0.008709574
vep_consequence_count__synonymous_variant,0.0076172412
oncokb_role_unique_high_or_moderate_impact_genes_log_count__oncogene,0.0072127935
vaf_q90,0.007122128
driver_gene_functional_event_log_count__EGFR,0.0071112723
vep_sift_count__deleterious,0.00644063
driver_evidence_high_or_moderate_impact_log_count__source_count_3,0.0060232347
oncokb_role_max_vaf_high_or_moderate_impact__tumor_suppressor,0.0058286637
vep_consequence_count__stop_gained,0.0055478932
vep_impact_count__low,0.004683165
vep_biotype_count__other,0.004540382
vep_impact_fraction__modifier,0.0043281387
driver_evidence_high_or_moderate_impact_log_count__source_count_4,0.0042833705
cancer_hotspot_max_vaf,0.004174196
vep_consequence_fraction__5_prime_utr_variant,0.0034617055
vep_consequence_fraction__inframe_deletion,0.0032016754
oncokb_role_vep_high_or_moderate_impact_log_count__oncogene,0.0030114702
vep_consequence_count__splice_acceptor_variant,0.0029988398
oncokb_role_max_vaf_high_or_moderate_impact__oncogene,0.002923292
vep_consequence_fraction__intron_variant,0.002755818
vep_consequence_fraction__synonymous_variant,0.0023935817
vep_consequence_count__5_prime_utr_variant,0.0023683205
vep_impact_fraction__high,0.0019916988
vep_impact_fraction__moderate,0.0019306476
driver_evidence_high_or_moderate_impact_log_count__source_count_1,0.0018112739
vep_consequence_count__stop_lost,0.0016948205
vep_consequence_fraction__missense_variant,0.001692848
vep_impact_count__moderate,0.0016464165
oncokb_role_vep_high_impact_log_count__tumor_suppressor,0.0016124838
driver_evidence_max_vaf_high_or_moderate_impact__source_count_3,0.0014626208
vep_consequence_fraction__splice_acceptor_variant,0.0014587381
driver_gene_role_matched_event_log_count__APC,0.0014091996
vep_biotype_fraction__protein_coding,0.0013635464
oncokb_role_vep_high_or_moderate_impact_log_count__tumor_suppressor,0.0013148807
driver_gene_functional_event_log_count__KAT6A,0.001229798
driver_evidence_unique_high_or_moderate_genes_log_count__source_count_4,0.0012139293
vep_polyphen_fraction__benign,0.0011141893
driver_evidence_max_vaf_high_or_moderate_impact__source_count_1,0.0010551506
vep_polyphen_count__benign,0.0010023578
vep_polyphen_fraction__probably_damaging,0.00096175604
driver_gene_functional_event_log_count__APC,0.00092444255
driver_gene_functional_event_log_count__IDH1,0.0008121717
driver_gene_role_matched_event_log_count__TP53,0.0007837369
driver_gene_functional_event_log_count__KMT2D,0.0007665311
vep_consequence_fraction__splice_region_variant,0.00075620547
vep_consequence_fraction__downstream_gene_variant,0.0007395526
driver_gene_functional_event_log_count__PTEN,0.0006934586
cancer_hotspot_exact_variant_log_count,0.00065629376
oncokb_role_max_vaf_high_or_moderate_impact__oncogene_and_tumor_suppressor,0.0006499793
vep_consequence_fraction__splice_donor_variant,0.0006281674
vep_consequence_count__downstream_gene_variant,0.000627695
vep_consequence_fraction__upstream_gene_variant,0.0006023167
vep_sift_fraction__tolerated,0.00059820054
log10_id_burden,0.00057894574
vep_sift_fraction__deleterious,0.0005682082
vep_consequence_count__non_coding_transcript_exon_variant,0.00049199344
vep_polyphen_count__probably_damaging,0.00044622176
vep_sift_count__unknown,0.0004314571
vep_consequence_fraction__stop_retained_variant,0.00042453632
vep_polyphen_fraction__unknown,0.00041306124
driver_gene_role_matched_event_log_count__KMT2D,0.00040703098
driver_gene_functional_event_log_count__CREBBP,0.00039702983
driver_evidence_max_vaf_high_or_moderate_impact__source_count_2,0.00037948205
vep_sift_fraction__unknown,0.00037639082
vep_sift_fraction__tolerated_low_confidence,0.00034949993
vep_biotype_count__processed_transcript,0.00034939602
vep_consequence_count__inframe_deletion,0.00034719036
driver_evidence_unique_high_or_moderate_genes_log_count__source_count_2,0.0003308404
oncokb_role_unique_high_or_moderate_impact_genes_log_count__tumor_suppressor,0.0003021357
vep_sift_count__deleterious_low_confidence,0.00025652352
vep_consequence_fraction__stop_gained,0.00022416314
driver_gene_role_matched_event_log_count__IDH1,0.00021926778
vep_consequence_fraction__non_coding_transcript_exon_variant,0.00021065628
vep_polyphen_fraction__possibly_damaging,0.00017032711
vep_consequence_count__splice_region_variant,8.658016e-05
driver_gene_functional_event_log_count__NTRK2,0.0
driver_gene_role_matched_event_log_count__NTRK2,0.0
driver_gene_role_matched_event_log_count__NRAS,0.0
driver_gene_functional_event_log_count__NRAS,0.0
driver_gene_role_matched_event_log_count__NPM1,0.0
driver_gene_role_matched_event_log_count__NTRK3,0.0
driver_gene_role_matched_event_log_count__PMS2,0.0
driver_gene_role_matched_event_log_count__POLD1,0.0
driver_gene_role_matched_event_log_count__NTRK1,0.0
driver_gene_functional_event_log_count__NRG1,0.0
driver_gene_functional_event_log_count__NTRK1,0.0
driver_gene_role_matched_event_log_count__NSD3,0.0
driver_gene_functional_event_log_count__NSD3,0.0
driver_gene_role_matched_event_log_count__NRG1,0.0
driver_gene_functional_event_log_count__NSD1,0.0
driver_gene_role_matched_event_log_count__NSD2,0.0
driver_gene_functional_event_log_count__NSD2,0.0
driver_gene_role_matched_event_log_count__NSD1,0.0
driver_gene_functional_event_log_count__NPM1,0.0
driver_gene_role_matched_event_log_count__MYD88,0.0
