feature,mean_abs_shap
vep_consequence_fraction__3_prime_utr_variant,0.28957054
vep_impact_fraction__modifier,0.26250228
driver_gene_functional_event_log_count__TP53,0.17608055
id_fraction,0.130858
residual_non_oncokb_positive_role_unique_high_or_moderate_impact_genes_log_count,0.12380317
cancer_hotspot_max_vaf,0.1005303
vaf_std,0.09495249
vaf_median,0.08958467
vaf_max,0.08749896
vep_consequence_fraction__frameshift_variant,0.08534585
vep_impact_count__modifier,0.06865527
log10_id_burden,0.065861605
vaf_mean,0.06329409
vep_biotype_fraction__protein_coding,0.06325096
vep_consequence_count__3_prime_utr_variant,0.062174972
vep_consequence_fraction__splice_acceptor_variant,0.061335817
vep_consequence_fraction__splice_region_variant,0.06118565
vep_consequence_fraction__stop_gained,0.06110791
driver_gene_functional_event_log_count__BRAF,0.0606939
vep_consequence_fraction__synonymous_variant,0.06017862
driver_evidence_max_vaf_high_or_moderate_impact__source_count_4,0.05955911
vep_impact_fraction__low,0.057851996
vaf_q90,0.051882237
vep_impact_fraction__high,0.050677583
oncokb_role_max_vaf_high_or_moderate_impact__oncogene,0.048957635
driver_gene_functional_event_log_count__PTEN,0.048781462
vep_consequence_fraction__5_prime_utr_variant,0.048686154
vep_polyphen_fraction__probably_damaging,0.048360065
vep_consequence_fraction__downstream_gene_variant,0.04813441
residual_non_oncokb_positive_role_max_vaf_high_or_moderate_impact,0.04605087
oncokb_role_max_vaf_high_or_moderate_impact__tumor_suppressor,0.045676634
vep_consequence_count__synonymous_variant,0.045663506
vep_sift_fraction__deleterious,0.044606883
vep_polyphen_fraction__benign,0.04358799
cancer_hotspot_unique_gene_log_count,0.043083027
driver_gene_functional_event_log_count__PIK3CA,0.04199402
vep_consequence_count__frameshift_variant,0.04181794
vep_biotype_fraction__other,0.039361726
vep_consequence_fraction__intron_variant,0.038431745
vep_impact_count__low,0.03808711
driver_gene_role_matched_event_log_count__IDH1,0.036426324
vep_sift_fraction__deleterious_low_confidence,0.03623127
driver_gene_role_matched_event_log_count__APC,0.036142766
cancer_hotspot_exact_variant_log_count,0.035823993
vep_consequence_fraction__splice_donor_variant,0.03507006
vep_biotype_count__protein_coding,0.03332974
vep_polyphen_fraction__possibly_damaging,0.033253886
driver_evidence_max_vaf_high_or_moderate_impact__source_count_3,0.03316855
vep_polyphen_fraction__unknown,0.03302202
vep_sift_fraction__tolerated,0.03244387
driver_evidence_max_vaf_high_or_moderate_impact__source_count_1,0.032020118
cancer_hotspot_residue_log_count,0.031687483
vep_sift_count__unknown,0.03143228
driver_evidence_max_vaf_high_or_moderate_impact__source_count_2,0.031079099
vep_sift_fraction__unknown,0.02974635
vep_polyphen_count__benign,0.029117653
vep_sift_count__deleterious,0.028970458
vep_impact_fraction__moderate,0.027532393
residual_non_oncokb_positive_role_vep_high_impact_log_count,0.02740453
driver_evidence_unique_high_or_moderate_genes_log_count__source_count_4,0.027403433
vep_sift_fraction__tolerated_low_confidence,0.027120713
vep_polyphen_count__probably_damaging,0.026993537
vep_consequence_fraction__missense_variant,0.026915574
vep_consequence_fraction__inframe_deletion,0.026507555
vep_biotype_fraction__lncrna,0.026313351
vep_canonical_count__yes,0.02630899
oncokb_role_vep_high_or_moderate_impact_log_count__tumor_suppressor,0.02552125
driver_evidence_high_or_moderate_impact_log_count__source_count_4,0.024946194
vep_consequence_count__stop_gained,0.024252731
vep_polyphen_count__unknown,0.02411167
oncokb_role_vep_high_impact_log_count__tumor_suppressor,0.023946289
residual_non_oncokb_positive_role_vep_high_or_moderate_impact_log_count,0.023830308
driver_gene_functional_event_log_count__IDH1,0.022809869
vep_biotype_count__other,0.022653814
log10_sbs_burden,0.022087011
oncokb_role_unique_high_or_moderate_impact_genes_log_count__tumor_suppressor,0.021792585
driver_gene_functional_event_log_count__VHL,0.021544203
vep_consequence_fraction__non_coding_transcript_exon_variant,0.021099579
vep_consequence_fraction__upstream_gene_variant,0.02054688
vep_sift_count__tolerated,0.019666385
vep_consequence_count__missense_variant,0.01953907
oncokb_role_unique_high_or_moderate_impact_genes_log_count__oncogene,0.019372873
driver_evidence_high_impact_log_count__source_count_4,0.018062979
oncokb_role_max_vaf_high_or_moderate_impact__oncogene_and_tumor_suppressor,0.017545955
vep_impact_count__high,0.017334867
driver_gene_role_matched_event_log_count__EGFR,0.017150864
vep_polyphen_count__possibly_damaging,0.01714266
driver_gene_functional_event_log_count__APC,0.016783549
vep_impact_count__moderate,0.016058581
driver_gene_role_matched_event_log_count__KRAS,0.015964935
driver_gene_role_matched_event_log_count__ARID1A,0.015733756
driver_evidence_high_or_moderate_impact_log_count__source_count_1,0.015680462
vep_biotype_fraction__processed_transcript,0.015192491
vep_canonical_fraction__yes,0.015002999
driver_evidence_unique_high_or_moderate_genes_log_count__source_count_1,0.014660901
driver_gene_functional_event_log_count__KRAS,0.014643468
vep_sift_count__deleterious_low_confidence,0.013879205
driver_gene_functional_event_log_count__NRAS,0.013054629
vep_consequence_count__5_prime_utr_variant,0.013001975
vep_sift_count__tolerated_low_confidence,0.012799181
vep_consequence_count__splice_acceptor_variant,0.012562841
vep_consequence_count__splice_donor_variant,0.01210429
oncokb_role_vep_high_or_moderate_impact_log_count__oncogene,0.011333837
driver_gene_functional_event_log_count__PIK3R1,0.011244818
driver_gene_functional_event_log_count__CTNNB1,0.011073691
driver_gene_functional_event_log_count__NF1,0.010999711
driver_gene_functional_event_log_count__LRP1B,0.0108802365
vep_consequence_count__intron_variant,0.010145976
driver_evidence_high_or_moderate_impact_log_count__source_count_2,0.0097760055
driver_gene_functional_event_log_count__EGFR,0.0093848435
vep_biotype_fraction__nmd,0.008993121
driver_gene_functional_event_log_count__ARID1A,0.008963941
vep_consequence_count__splice_region_variant,0.008953059
driver_gene_functional_event_log_count__KMT2D,0.008858714
vep_consequence_count__inframe_deletion,0.008835183
driver_gene_role_matched_event_log_count__ATRX,0.008809446
driver_gene_functional_event_log_count__PBRM1,0.008735011
driver_gene_functional_event_log_count__SPOP,0.008617596
vep_canonical_fraction__unknown,0.008166896
driver_gene_role_matched_event_log_count__RB1,0.008064458
driver_evidence_high_or_moderate_impact_log_count__source_count_3,0.007839697
driver_gene_role_matched_event_log_count__TP53,0.0075379577
driver_evidence_unique_high_or_moderate_genes_log_count__source_count_2,0.007382589
driver_gene_role_matched_event_log_count__KMT2D,0.0073571308
driver_gene_functional_event_log_count__KEAP1,0.007229496
driver_gene_functional_event_log_count__ATRX,0.0071896277
oncokb_role_vep_high_or_moderate_impact_log_count__oncogene_and_tumor_suppressor,0.0067418218
vep_consequence_fraction__start_lost,0.006740626
driver_gene_functional_event_log_count__NOTCH1,0.006735181
driver_gene_functional_event_log_count__CDKN2A,0.006729995
driver_gene_role_matched_event_log_count__PTEN,0.0066200853
driver_evidence_unique_high_or_moderate_genes_log_count__source_count_3,0.0065364637
vep_consequence_count__downstream_gene_variant,0.0065302528
driver_gene_functional_event_log_count__CIC,0.0063774176
driver_gene_functional_event_log_count__NFE2L2,0.005882705
driver_gene_functional_event_log_count__PPP2R1A,0.005528209
driver_evidence_high_impact_log_count__source_count_1,0.0053402847
vep_consequence_count__non_coding_transcript_exon_variant,0.0052011255
driver_gene_role_matched_event_log_count__NF1,0.005160027
driver_gene_functional_event_log_count__CDH1,0.0051332596
driver_gene_functional_event_log_count__RB1,0.0048794276
vep_biotype_count__lncrna,0.0047140084
oncokb_role_vep_high_impact_log_count__oncogene,0.0046595614
vep_consequence_count__upstream_gene_variant,0.0044143833
driver_evidence_high_impact_log_count__source_count_2,0.004408188
