benchmark,endpoint,task,representation,learner,metric,score,auroc,macro_auroc,micro_auroc,c_index,auprc,balanced_accuracy,accuracy,macro_f1,cohen_kappa,top3_accuracy,top5_accuracy,mae,r2,n_samples,n_classes,n_features,n_folds,folds,repeats,oof_aggregate,primary_metric_scope,split_strategy,tuning,linear_solver,arm
mc3_main,HRD_Score,regression,signatures_plus_MAF_stack__full,xgboost,spearman,0.7604317937483466,,,,,,,,,,,,9.198023376687203,0.6480769448308497,772,85,1130,5,5,1,True,pooled_global_oof,5 outer KFold; inner validation split,outer_train_inner_validation_randomized_search,,full
mc3_main,HRD_Score,regression,signatures_plus_MAF_stack__no_hrd_genes,xgboost,spearman,0.7627733527125503,,,,,,,,,,,,9.113025342244558,0.6528705204567595,772,85,1098,5,5,1,True,pooled_global_oof,5 outer KFold; inner validation split,outer_train_inner_validation_randomized_search,,no_hrd_genes
mc3_main,HRD_Score,regression,signatures_plus_MAF_stack__no_vaf,xgboost,spearman,0.7468047580123967,,,,,,,,,,,,9.217813944878356,0.6455920305988787,772,85,1116,5,5,1,True,pooled_global_oof,5 outer KFold; inner validation split,outer_train_inner_validation_randomized_search,,no_vaf
mc3_main,hrd_binary_24,binary,signatures_plus_MAF_stack__full,xgboost,auroc,0.8633398013616664,0.8633398013616664,,,,0.8557529393440539,0.7976329720702874,0.7992227979274611,0.7976990507104879,0.5953987854524798,,,,,772,2,1130,5,5,1,True,pooled_global_oof,5 outer stratified folds; inner stratified validation split,outer_train_inner_validation_randomized_search,,full
mc3_main,hrd_binary_24,binary,signatures_plus_MAF_stack__no_hrd_genes,xgboost,auroc,0.851440432163454,0.851440432163454,,,,0.831781435570211,0.8012129243375905,0.8031088082901554,0.8014766090775591,0.6029639654880731,,,,,772,2,1098,5,5,1,True,pooled_global_oof,5 outer stratified folds; inner stratified validation split,outer_train_inner_validation_randomized_search,,no_hrd_genes
mc3_main,hrd_binary_24,binary,signatures_plus_MAF_stack__no_vaf,xgboost,auroc,0.8690122847464962,0.8690122847464962,,,,0.8627385537533512,0.8041235370874942,0.8069948186528497,0.8049523266914571,0.610016409227139,,,,,772,2,1116,5,5,1,True,pooled_global_oof,5 outer stratified folds; inner stratified validation split,outer_train_inner_validation_randomized_search,,no_vaf
mc3_main,hrd_binary_33,binary,signatures_plus_MAF_stack__full,xgboost,auroc,0.899517046357195,0.899517046357195,,,,0.8022894904536928,0.8076684777428271,0.832901554404145,0.8043300147949048,0.6087223008015087,,,,,772,2,1130,5,5,1,True,pooled_global_oof,5 outer stratified folds; inner stratified validation split,outer_train_inner_validation_randomized_search,,full
mc3_main,hrd_binary_33,binary,signatures_plus_MAF_stack__no_hrd_genes,xgboost,auroc,0.898079306071871,0.898079306071871,,,,0.8028588687172107,0.8024656054395831,0.8290155440414507,0.7995467850061373,0.5991440349938635,,,,,772,2,1098,5,5,1,True,pooled_global_oof,5 outer stratified folds; inner stratified validation split,outer_train_inner_validation_randomized_search,,no_hrd_genes
mc3_main,hrd_binary_33,binary,signatures_plus_MAF_stack__no_vaf,xgboost,auroc,0.8741659517681822,0.8741659517681822,,,,0.7708138449208158,0.8016236138912718,0.8160621761658031,0.7899923371647509,0.5808069992963993,,,,,772,2,1116,5,5,1,True,pooled_global_oof,5 outer stratified folds; inner stratified validation split,outer_train_inner_validation_randomized_search,,no_vaf
mc3_main,hrd_binary_42,binary,signatures_plus_MAF_stack__full,xgboost,auroc,0.8965809217577706,0.8965809217577706,,,,0.7429969921076602,0.8201607717041801,0.8691709844559585,0.8022937094144524,0.6051170893768738,,,,,772,2,1130,5,5,1,True,pooled_global_oof,5 outer stratified folds; inner stratified validation split,outer_train_inner_validation_randomized_search,,full
mc3_main,hrd_binary_42,binary,signatures_plus_MAF_stack__no_hrd_genes,xgboost,auroc,0.8976098606645231,0.8976098606645231,,,,0.7453703898855112,0.8293569131832798,0.8717616580310881,0.8079500652077225,0.6166024560558633,,,,,772,2,1098,5,5,1,True,pooled_global_oof,5 outer stratified folds; inner stratified validation split,outer_train_inner_validation_randomized_search,,no_hrd_genes
mc3_main,hrd_binary_42,binary,signatures_plus_MAF_stack__no_vaf,xgboost,auroc,0.9017792068595928,0.9017792068595928,,,,0.7517396250502271,0.8368274383708467,0.8756476683937824,0.8141848523748395,0.6290987708691997,,,,,772,2,1116,5,5,1,True,pooled_global_oof,5 outer stratified folds; inner stratified validation split,outer_train_inner_validation_randomized_search,,no_vaf
