benchmark,endpoint,task,representation,learner,metric,score,macro_auroc,micro_auroc,accuracy,balanced_accuracy,macro_f1,cohen_kappa,top3_accuracy,top5_accuracy,n_samples,n_classes,n_features,n_folds,primary_metric_scope,validation_protocol,canonical_split_source,canonical_split_signature,comparison_note
mc3_main,HRD_Score,regression,standard_sbs96_id83,linear,spearman,0.4305840299522571,,,,,,,,,772,85,182.0,5,pooled_global_oof,,,,Existing main-panel tabular result
mc3_main,HRD_Score,regression,standard_sbs96_id83,xgboost,spearman,0.7041263728795075,,,,,,,,,772,85,182.0,5,pooled_global_oof,,,,Existing main-panel tabular result
mc3_main,HRD_Score,regression,MAF_stack_only,linear,spearman,0.7098422629709749,,,,,,,,,772,85,948.0,5,pooled_global_oof,,,,Existing main-panel tabular result
mc3_main,HRD_Score,regression,MAF_stack_only,xgboost,spearman,0.7312465589900982,,,,,,,,,772,85,948.0,5,pooled_global_oof,,,,Existing main-panel tabular result
mc3_main,HRD_Score,regression,signatures_plus_MAF_stack,linear,spearman,0.7325519412628615,,,,,,,,,772,85,1130.0,5,pooled_global_oof,,,,Existing main-panel tabular result
mc3_main,HRD_Score,regression,signatures_plus_MAF_stack,xgboost,spearman,0.7809855446598942,,,,,,,,,772,85,1130.0,5,pooled_global_oof,,,,Existing main-panel tabular result
mc3_main,hrd_binary_33,binary,burden_only,linear,auroc,0.788437708512058,,,0.7370466321243523,0.7244066342579354,0.7075970363404663,0.4189678184784221,,,772,2,3.0,5,pooled_global_oof,,,,Existing main-panel tabular result
mc3_main,hrd_binary_33,binary,burden_only,xgboost,auroc,0.8109014075556829,,,0.7577720207253886,0.7730832777301179,0.7393958758680697,0.4878529870867035,,,772,2,3.0,5,pooled_global_oof,,,,Existing main-panel tabular result
mc3_main,hrd_binary_33,binary,standard_sbs96_id83,linear,auroc,0.773623423251676,,,0.7487046632124352,0.7303561783115686,0.7171092894110536,0.4364709069564432,,,772,2,182.0,5,pooled_global_oof,,,,Existing main-panel tabular result
mc3_main,hrd_binary_33,binary,standard_sbs96_id83,xgboost,auroc,0.8449027738061196,,,0.7979274611398963,0.771709083976742,0.7657821652780695,0.53185931523463,,,772,2,182.0,5,pooled_global_oof,,,,Existing main-panel tabular result
mc3_main,hrd_binary_33,binary,MAF_stack_only,linear,auroc,0.830402249547231,,,0.7733160621761658,0.7806135417659581,0.7526796093399604,0.5112297762727562,,,772,2,948.0,5,pooled_global_oof,,,,Existing main-panel tabular result
mc3_main,hrd_binary_33,binary,MAF_stack_only,xgboost,auroc,0.8567343437231912,,,0.7901554404145078,0.7866584056175134,0.7664398246020303,0.5357959438192238,,,772,2,948.0,5,pooled_global_oof,,,,Existing main-panel tabular result
mc3_main,hrd_binary_33,binary,signatures_plus_MAF_stack,linear,auroc,0.8463842023321576,,,0.7862694300518135,0.7874924538493311,0.7640302696294101,0.5319527322966577,,,772,2,1130.0,5,pooled_global_oof,,,,Existing main-panel tabular result
mc3_main,hrd_binary_33,binary,signatures_plus_MAF_stack,xgboost,auroc,0.86669923426429,,,0.8186528497409327,0.8083118863788008,0.7942226994752755,0.5895737764680864,,,772,2,1130.0,5,pooled_global_oof,,,,Existing main-panel tabular result
mc3_main,HRD_Score,regression,burden_only,linear,spearman,0.4973007995395391,,,,,,,,,772,85,3.0,5,pooled_global_oof,,,,Existing main-panel tabular result
mc3_main,HRD_Score,regression,burden_only,xgboost,spearman,0.5959593538275412,,,,,,,,,772,85,3.0,5,pooled_global_oof,,,,Existing main-panel tabular result
tcga_mc3_wes,HRD_Score,regression,MuAt-compatible reimplementation,muat_compatible_qkv_attention,spearman,0.503205929376541,,,,,,,,,772,1,,5,pooled_global_oof,outer_train_inner_validation_architecture_and_epoch_selection,${REPRO_ROOT}\results\tables\main_manuscript_complete_panel_oof_predictions.csv,a07245eddf973a26267d12ae093acb0cb9b54e097516b2dfaa140db745b6fc42,"MuAt-compatible direct comparator on canonical endpoint-specific outer folds; balanced accuracy is primary for cancer_type_top20, while accuracy/top-5 columns are retained for MuAt-paper TCGA-WES reference"
tcga_mc3_wes,hrd_binary_33,binary,MuAt-compatible reimplementation,muat_compatible_qkv_attention,auroc,0.727429066183713,,0.727429066183713,0.7370466321243523,0.6398897467670702,0.6499992183295031,0.31010741327698543,1.0,1.0,772,2,,5,pooled_global_oof,outer_train_inner_validation_architecture_and_epoch_selection,${REPRO_ROOT}\results\tables\main_manuscript_complete_panel_oof_predictions.csv,07445330444faf718c6e0f07cf4f97f73391ce27c426516164d278ab3895f72e,"MuAt-compatible direct comparator on canonical endpoint-specific outer folds; balanced accuracy is primary for cancer_type_top20, while accuracy/top-5 columns are retained for MuAt-paper TCGA-WES reference"
