tumour_type,n_patients,status,reason,n_run_patients,n_run_events
BRCA,1020,included,,1020,135030
UCEC,530,included,,530,945103
LUAD,515,included,,515,224883
LGG,511,included,,511,42727
HNSC,507,included,,507,125764
PRAD,497,included,,497,34438
THCA,492,included,,492,12185
LUSC,485,included,,485,209373
SKCM,466,included,,466,572902
STAD,439,included,,439,245354
BLCA,411,included,,411,155232
OV,411,included,,411,53384
COAD,404,included,,404,277114
GBM,390,included,,390,69853
KIRC,369,included,,369,32002
LIHC,363,included,,363,61063
CESC,289,included,,289,104076
KIRP,281,included,,281,35447
SARC,236,included,,236,31857
ESCA,184,included,,184,48360
PCPG,179,excluded,eligible_but_outside_top_20,0,0
PAAD,177,excluded,eligible_but_outside_top_20,0,0
READ,150,excluded,eligible_but_outside_top_20,0,0
TGCT,129,excluded,eligible_but_outside_top_20,0,0
THYM,123,excluded,eligible_but_outside_top_20,0,0
ACC,92,excluded,n_le_100,0,0
MESO,82,excluded,n_le_100,0,0
UVM,80,excluded,n_le_100,0,0
KICH,66,excluded,n_le_100,0,0
UCS,57,excluded,n_le_100,0,0
DLBC,37,excluded,n_le_100,0,0
CHOL,36,excluded,n_le_100,0,0
