endpoint,endpoint_display,representation_family,representation_family_display,model_family,model_display,calibration_mode,calibration_mode_display,bin,bin_left,bin_right,mean_predicted,observed_frequency,n_samples
damage_class,Kucab damage class,signatures_plus_MAF_stack,Signatures + MAF stack,XGBoost,XGBoost,multiclass_confidence_accuracy,Confidence versus correctness,2,0.1,0.2,0.1924524711269332,0.0,1
damage_class,Kucab damage class,signatures_plus_MAF_stack,Signatures + MAF stack,XGBoost,XGBoost,multiclass_confidence_accuracy,Confidence versus correctness,3,0.2,0.30000000000000004,0.2644632552448502,0.0,44
damage_class,Kucab damage class,signatures_plus_MAF_stack,Signatures + MAF stack,XGBoost,XGBoost,multiclass_confidence_accuracy,Confidence versus correctness,4,0.30000000000000004,0.4,0.3460912402262399,0.0,66
damage_class,Kucab damage class,signatures_plus_MAF_stack,Signatures + MAF stack,XGBoost,XGBoost,multiclass_confidence_accuracy,Confidence versus correctness,5,0.4,0.5,0.440933050959497,0.0,50
damage_class,Kucab damage class,signatures_plus_MAF_stack,Signatures + MAF stack,XGBoost,XGBoost,multiclass_confidence_accuracy,Confidence versus correctness,6,0.5,0.6000000000000001,0.5470587130528111,0.0,41
damage_class,Kucab damage class,signatures_plus_MAF_stack,Signatures + MAF stack,XGBoost,XGBoost,multiclass_confidence_accuracy,Confidence versus correctness,7,0.6000000000000001,0.7000000000000001,0.6377873907354183,0.0,20
damage_class,Kucab damage class,signatures_plus_MAF_stack,Signatures + MAF stack,XGBoost,XGBoost,multiclass_confidence_accuracy,Confidence versus correctness,8,0.7000000000000001,0.8,0.7587145860674029,0.0,17
damage_class,Kucab damage class,signatures_plus_MAF_stack,Signatures + MAF stack,XGBoost,XGBoost,multiclass_confidence_accuracy,Confidence versus correctness,9,0.8,0.9,0.8454288196226608,0.0,15
damage_class,Kucab damage class,signatures_plus_MAF_stack,Signatures + MAF stack,XGBoost,XGBoost,multiclass_confidence_accuracy,Confidence versus correctness,10,0.9,1.0,0.9144904130316884,0.0,5
hrd_binary_33,HRD33 high/low,signatures_plus_MAF_stack,Signatures + MAF stack,XGBoost,XGBoost,binary_positive_probability,Positive-class probability,1,0.0,0.1,0.0460876665482542,0.02390438247011952,251
hrd_binary_33,HRD33 high/low,signatures_plus_MAF_stack,Signatures + MAF stack,XGBoost,XGBoost,binary_positive_probability,Positive-class probability,2,0.1,0.2,0.1446165447251512,0.06422018348623854,109
