run_id,endpoint,endpoint_display,endpoint_tier,endpoint_tier_display,endpoint_family,task,task_display,representation,representation_display,representation_family,representation_family_display,atlas_status,atlas_status_display,model_family,model_display,model_label,model_label_display,metric,metric_display,primary_score,auroc,auprc,accuracy,f1,balanced_accuracy,delta_vs_signatures,ci_low,ci_high,p_value,q_value,n_samples,n_features,folds,repeats,xgb_estimators,optuna_trials_completed,kme_version,kme_config_id,landmark_mode,sigma_multiplier,sigma_strategy,modality_strategy,landmark_sampling,kernel_weighting,cache_key,oof_prediction_file,fold_metrics_file,na_reason,split_strategy,experiment_id,source_file,bundle_table,source_priority,analysis_family,analysis_family_display,display_model,display_model_display,status,selection_policy
20260524T194601Z,HRD_LOH,HRD LOH,supplement,Supplement,main,regression,Regression,locked_uga_sbs,Locked UGA SBS,UGA_geometry,UGA geometry,uses UGA channel atlas for SBS/DBS; ID payload encoder for ID83,UGA channel atlas,unspecified,Source model,locked_uga_sbs,Locked UGA SBS,spearman,Spearman r,0.6007397669102327,,,,,,,,,,,154.0,,5.0,1.0,,,,,,,,,,,,,,,5-fold OOF CV where available,unified_locked,data\hrd\all_fold_metrics.tsv,unified_locked_endpoint_results.csv,25,Alternative geometry,Alternative geometry,locked_uga_sbs,Locked UGA SBS,measured,best measured supplementary row for endpoint and representation family; selected model shown
20260524T194601Z,HRD_LOH,HRD LOH,supplement,Supplement,hrd,regression,Regression,uga_rbf_kernel_mean,UGA kernel mean,channel_KME,Channel KME,uses UGA channel atlas for SBS/DBS; ID payload encoder for ID83,UGA channel atlas,XGBoost,XGBoost,XGBRegressor(lightweight),Xgbregressor(lightweight),spearman,Spearman r,0.5433013686953824,,,,,,-0.0500091979155797,,,,,772.0,182.0,5.0,1.0,160.0,,,,,,,,,,,,,,5-fold KFold,uga_kme_data_xgboost,uga_kme_data_xgboost_endpoint_results.csv,uga_kme_data_xgboost_endpoint_results.csv,0,Alternative geometry,Alternative geometry,XGBoost,XGBoost,measured,best measured supplementary row for endpoint and representation family; selected model shown
20260524T194601Z,HRD_LST,HRD LST,supplement,Supplement,main,regression,Regression,locked_uga_sbs_id_separate,Locked UGA SBS+ID separate,UGA_geometry,UGA geometry,uses UGA channel atlas for SBS/DBS; ID payload encoder for ID83,UGA channel atlas,unspecified,Source model,locked_uga_sbs_id_separate,Locked UGA SBS+ID separate,spearman,Spearman r,0.7493503747266037,,,,,,,,,,,155.0,,5.0,1.0,,,,,,,,,,,,,,,5-fold OOF CV where available,unified_locked,data\hrd\all_fold_metrics.tsv,unified_locked_endpoint_results.csv,25,Alternative geometry,Alternative geometry,locked_uga_sbs_id_separate,Locked UGA SBS+ID separate,measured,best measured supplementary row for endpoint and representation family; selected model shown
20260524T194601Z,HRD_LST,HRD LST,supplement,Supplement,hrd,regression,Regression,uga_rbf_kernel_mean,UGA kernel mean,channel_KME,Channel KME,uses UGA channel atlas for SBS/DBS; ID payload encoder for ID83,UGA channel atlas,XGBoost,XGBoost,XGBRegressor(lightweight),Xgbregressor(lightweight),spearman,Spearman r,0.6179014665931183,,,,,,-0.0611201494732356,,,,,772.0,182.0,5.0,1.0,160.0,,,,,,,,,,,,,,5-fold KFold,uga_kme_data_xgboost,uga_kme_data_xgboost_endpoint_results.csv,uga_kme_data_xgboost_endpoint_results.csv,0,Alternative geometry,Alternative geometry,XGBoost,XGBoost,measured,best measured supplementary row for endpoint and representation family; selected model shown
20260524T194601Z,HRD_TAI,HRD TAI,supplement,Supplement,main,regression,Regression,locked_uga_sbs,Locked UGA SBS,UGA_geometry,UGA geometry,uses UGA channel atlas for SBS/DBS; ID payload encoder for ID83,UGA channel atlas,unspecified,Source model,locked_uga_sbs,Locked UGA SBS,spearman,Spearman r,0.7209211852831688,,,,,,,,,,,154.0,,5.0,1.0,,,,,,,,,,,,,,,5-fold OOF CV where available,unified_locked,data\hrd\all_fold_metrics.tsv,unified_locked_endpoint_results.csv,25,Alternative geometry,Alternative geometry,locked_uga_sbs,Locked UGA SBS,measured,best measured supplementary row for endpoint and representation family; selected model shown
20260524T194601Z,HRD_TAI,HRD TAI,supplement,Supplement,hrd,regression,Regression,uga_rbf_kernel_mean,UGA kernel mean,channel_KME,Channel KME,uses UGA channel atlas for SBS/DBS; ID payload encoder for ID83,UGA channel atlas,XGBoost,XGBoost,XGBRegressor(lightweight),Xgbregressor(lightweight),spearman,Spearman r,0.6282973936023245,,,,,,-0.0468357664310733,,,,,772.0,182.0,5.0,1.0,160.0,,,,,,,,,,,,,,5-fold KFold,uga_kme_data_xgboost,uga_kme_data_xgboost_endpoint_results.csv,uga_kme_data_xgboost_endpoint_results.csv,0,Alternative geometry,Alternative geometry,XGBoost,XGBoost,measured,best measured supplementary row for endpoint and representation family; selected model shown
20260524T194601Z,PARPi7,PARPi7,supplement,Supplement,main,regression,Regression,locked_uga_sbs,Locked UGA SBS,UGA_geometry,UGA geometry,uses UGA channel atlas for SBS/DBS; ID payload encoder for ID83,UGA channel atlas,unspecified,Source model,locked_uga_sbs,Locked UGA SBS,spearman,Spearman r,0.2857667679650299,,,,,,,,,,,155.0,,5.0,1.0,,,,,,,,,,,,,,,5-fold OOF CV where available,unified_locked,data\hrd\all_fold_metrics.tsv,unified_locked_endpoint_results.csv,25,Alternative geometry,Alternative geometry,locked_uga_sbs,Locked UGA SBS,measured,best measured supplementary row for endpoint and representation family; selected model shown
20260524T194601Z,PARPi7,PARPi7,supplement,Supplement,hrd,regression,Regression,uga_rbf_kernel_mean,UGA kernel mean,channel_KME,Channel KME,uses UGA channel atlas for SBS/DBS; ID payload encoder for ID83,UGA channel atlas,elastic_net,Elastic net,"ElasticNet(alpha=0.01, l1_ratio=0.5, max_iter=5000, random_state=0)","Elasticnet(alpha=0.01, L1 Ratio=0.5, Max Iter=5000, Random State=0)",spearman,Spearman r,0.197788685068537,,,,,,0.0285938764417273,,,,,772.0,182.0,5.0,1.0,,,,,,,,,,,,,,,5-fold KFold,uga_kme_data,uga_kme_data_endpoint_results.csv,uga_kme_data_endpoint_results.csv,0,Alternative geometry,Alternative geometry,elastic_net,Elastic net,measured,best measured supplementary row for endpoint and representation family; selected model shown
20260524T194601Z,brca_gene_mutated,BRCA-pathway mutated,supplement,Supplement,tcga_mc3,binary,Binary classification,locked_uga_sbs_id_exposure,Locked UGA SBS+ID exposures,UGA_geometry,UGA geometry,uses UGA channel atlas for SBS/DBS; ID payload encoder for ID83,UGA channel atlas,unspecified,Source model,unified_locked,Unified locked model,auroc,AUROC,0.8170576289176772,0.8170576289176772,0.3797144218713568,,,0.6451725999958626,,,,,,10224.0,125.0,5.0,1.0,,,,,,,,,,,,,,,5-fold OOF CV where available,unified_locked,data\tcga_signature_endpoints\signature_exposure_endpoint_metrics.csv,unified_locked_endpoint_results.csv,25,Alternative geometry,Alternative geometry,unified_locked,Unified locked model,measured,best measured supplementary row for endpoint and representation family; selected model shown
20260524T194601Z,eCARD,eCARD,supplement,Supplement,main,regression,Regression,locked_uga_sbs,Locked UGA SBS,UGA_geometry,UGA geometry,uses UGA channel atlas for SBS/DBS; ID payload encoder for ID83,UGA channel atlas,unspecified,Source model,locked_uga_sbs,Locked UGA SBS,spearman,Spearman r,0.4153878379684831,,,,,,,,,,,155.0,,5.0,1.0,,,,,,,,,,,,,,,5-fold OOF CV where available,unified_locked,data\hrd\all_fold_metrics.tsv,unified_locked_endpoint_results.csv,25,Alternative geometry,Alternative geometry,locked_uga_sbs,Locked UGA SBS,measured,best measured supplementary row for endpoint and representation family; selected model shown
