source_table,rows,columns
maf_event_gene_locus_data_full_panel_confirmation_results.csv,32,15
maf_event_gene_locus_data_full_panel_confirmation_results__id_plus_best_gene_locus_multiscale_stack.csv,16,15
maf_event_gene_locus_data_full_panel_confirmation_results__maf_only_best_gene_locus_multiscale_stack.csv,16,15
maf_event_gene_locus_data_full_panel_confirmation_summary.csv,6,8
maf_event_gene_locus_data_full_panel_confirmation_summary__id_plus_best_gene_locus_multiscale_stack.csv,3,8
maf_event_gene_locus_data_full_panel_confirmation_summary__maf_only_best_gene_locus_multiscale_stack.csv,3,8
maf_event_gene_locus_summary.csv,4,7
main_manuscript_complete_panel_feature_manifest.csv,8,6
main_manuscript_complete_panel_fold_metrics.csv,200,9
main_manuscript_complete_panel_oof_predictions.csv,139232,19
main_manuscript_complete_panel_summary.csv,1,3
mechanistic_representation_exp024_shared_space_tables_cross_modality_retrieval_by_pair.csv,24,7
mechanistic_representation_exp024_shared_space_tables_cross_modality_retrieval_process_detail.csv,216,8
mechanistic_representation_exp024_shared_space_tables_exposure_recovery_patient_metrics.csv,4680,10
mechanistic_representation_exp024_shared_space_tables_heldout_imputation_patient_metrics.csv,1248,6
mechanistic_representation_exp024_shared_space_tables_table1_experiment_design.csv,8,2
mechanistic_representation_exp024_shared_space_tables_table2_exposure_recovery_summary.csv,9,9
mechanistic_representation_exp024_shared_space_tables_table3_cross_modality_retrieval_summary.csv,4,5
mechanistic_representation_exp024_shared_space_tables_table4_heldout_imputation_summary.csv,8,7
mechanistic_representation_exp025_payload_absence_tables_mixture_patient_metrics.csv,2400,7
mechanistic_representation_exp025_payload_absence_tables_mixture_recovery_summary.csv,5,9
mechanistic_representation_exp025_payload_absence_tables_payload_candidate_summary.csv,5,26
mechanistic_representation_exp025_payload_absence_tables_payload_collision_detail.csv,112,7
mechanistic_representation_exp025_payload_absence_tables_payload_dimension_efficiency.csv,10,11
mechanistic_representation_exp025_payload_absence_tables_signature_geometry.csv,5,7
mechanistic_representation_summary.csv,2,3
one_hot_event_kme_scout_event_qc.csv,2,16
one_hot_event_kme_scout_feature_manifest.csv,14,8
one_hot_event_kme_scout_fold_metrics.csv,140,9
one_hot_event_kme_scout_grid_results.csv,90,35
one_hot_event_kme_scout_oof_predictions.csv,103906,19
one_hot_event_kme_scout_selected_params.csv,14,10
one_hot_event_kme_scout_summary.csv,1,2
uga_kme_data_feature_manifest.csv,6,9
uga_kme_data_kernel_basis_diagnostics.csv,436,5
uga_kme_data_oof_predictions_checkpoint.csv,128664,10
uga_kme_data_oof_probabilities_long_checkpoint.csv,365286,9
uga_kme_data_xgboost_oof_predictions_checkpoint.csv,128664,10
uga_kme_data_xgboost_oof_probabilities_long_checkpoint.csv,365286,9
uga_kme_summary.csv,4,6
uga_kme_tables_family_summary.csv,4,9
uga_kme_tables_model_sensitivity_summary.csv,17,19
uga_kme_tables_xgboost_family_summary.csv,4,9
unified_locked_data_hrd_all_fold_metrics_checkpoint.csv,300,18
unified_locked_data_hrd_all_metrics_checkpoint.csv,60,18
unified_locked_data_hrd_all_oof_predictions_checkpoint.csv,46320,8
unified_locked_data_kucab_processed_downsampled_fold_metrics.csv,12,13
unified_locked_data_kucab_processed_downsampled_fold_metrics_checkpoint.csv,12,13
unified_locked_data_kucab_processed_downsampled_predictions_checkpoint.csv,3060,13
unified_locked_data_mc3_clinical_locked_mc3_clinical_endpoint_summary.csv,5,10
unified_locked_data_mc3_clinical_locked_mc3_clinical_feature_summary.csv,30,10
unified_locked_data_mc3_clinical_locked_mc3_clinical_feature_summary_checkpoint.csv,30,10
unified_locked_data_mc3_clinical_locked_mc3_clinical_outer_fold_metrics.csv,150,8
unified_locked_data_mc3_clinical_locked_mc3_clinical_outer_fold_metrics_checkpoint.csv,150,8
unified_locked_data_mc3_clinical_table1_locked_mc3_clinical_endpoint_summary.csv,5,10
unified_locked_data_mc3_driver_locked_mc3_luad_kmt2c_feature_summary.csv,6,14
unified_locked_data_mc3_driver_locked_mc3_luad_kmt2c_feature_summary_checkpoint.csv,6,14
unified_locked_data_mc3_driver_locked_mc3_luad_kmt2c_fold_metrics.csv,30,12
unified_locked_data_mc3_driver_locked_mc3_luad_kmt2c_fold_metrics_checkpoint.csv,30,12
unified_locked_data_mc3_driver_locked_mc3_luad_kmt2c_oof_predictions_checkpoint.csv,3090,7
unified_locked_data_mc3_driver_table1_locked_mc3_luad_kmt2c_feature_summary.csv,6,14
unified_locked_data_pcawg_signature_attribution_pairwise_tests.csv,6,12
unified_locked_data_pcawg_signature_attribution_patient_metrics.csv,11660,9
unified_locked_data_pcawg_signature_attribution_patient_metrics_checkpoint.csv,11660,9
unified_locked_data_pcawg_signature_attribution_summary_metrics.csv,6,14
unified_locked_data_tcga_signature_endpoints_signature_exposure_endpoint_metrics.csv,90,17
unified_locked_data_tcga_signature_endpoints_signature_exposure_endpoint_metrics_checkpoint.csv,90,17
unified_locked_data_tcga_signature_endpoints_signature_exposure_endpoint_summary.csv,18,14
unified_locked_data_tcga_signature_endpoints_signature_exposure_fold_metrics.csv,450,12
unified_locked_data_tcga_signature_endpoints_signature_exposure_fold_metrics_checkpoint.csv,450,12
unified_locked_data_tcga_signature_endpoints_signature_exposure_pairwise_tests.csv,90,15
unified_locked_data_tcga_signature_endpoints_signature_exposure_predictions_checkpoint.csv,923180,9
unified_locked_data_tcga_signature_endpoints_table1_signature_exposure_endpoint_summary.csv,18,14
unified_locked_data_tcga_signature_endpoints_table2_signature_exposure_pairwise_tests.csv,90,15
unified_locked_summary.csv,7,5
unified_locked_tables_kucab_table1_low_burden_performance.csv,12,15
unified_locked_tables_kucab_table2_uga_minus_standard_deltas.csv,18,14
unified_locked_tables_kucab_table3_damage_class_dataset_summary.csv,8,7
unified_locked_tables_kucab_table4_primary_standard_vs_uga_summary.csv,6,20
