Endpoint,N,Task,Source,Metric(s),Representation families
BRCA-pathway mutated,"10,224",Binary classification,Regenerated benchmark output,AUROC,COSMIC NNLS exposures; UGA geometry
Ever smoker,"2,798",Binary classification,TCGA MC3 clinical endpoint panel,AUROC; Balanced accuracy,COSMIC NNLS exposures; Channel KME; Event-level MAF stack; Mutational burden; Mutational signatures; Signatures + MAF stack; UGA geometry
HRD LOH,772,Regression,TCGA-BRCA HRD labels with MC3 mutation features,Spearman r,COSMIC NNLS exposures; Channel KME; Event-level MAF stack; Mutational burden; Mutational signatures; Signatures + MAF stack; UGA geometry
HRD LST,772,Regression,TCGA-BRCA HRD labels with MC3 mutation features,Spearman r,COSMIC NNLS exposures; Channel KME; Event-level MAF stack; Mutational burden; Mutational signatures; Signatures + MAF stack; UGA geometry
HRD TAI,772,Regression,TCGA-BRCA HRD labels with MC3 mutation features,Spearman r,COSMIC NNLS exposures; Channel KME; Event-level MAF stack; Mutational burden; Mutational signatures; Signatures + MAF stack; UGA geometry
HRD24 high/low,772,Binary classification; Classification,TCGA-BRCA HRD labels with MC3 mutation features,AUROC,COSMIC NNLS exposures; Channel KME; Event-level MAF stack; Mutational burden; Mutational signatures; Signatures + MAF stack; UGA geometry
HRD42 high/low,772,Binary classification; Classification,TCGA-BRCA HRD labels with MC3 mutation features,AUROC,COSMIC NNLS exposures; Channel KME; Event-level MAF stack; Mutational burden; Mutational signatures; Signatures + MAF stack; UGA geometry
High stage,"6,404",Binary classification,TCGA MC3 clinical endpoint panel,AUROC; Balanced accuracy,COSMIC NNLS exposures; Channel KME; Event-level MAF stack; Mutational burden; Mutational signatures; Signatures + MAF stack; UGA geometry
High tumor purity,"9,591",Binary classification,TCGA MC3 clinical endpoint panel,AUROC; Balanced accuracy,COSMIC NNLS exposures; Channel KME; Event-level MAF stack; Mutational burden; Mutational signatures; Signatures + MAF stack; UGA geometry
LUAD KMT2C mutated,515,Binary classification,TCGA MC3 LUAD driver endpoint,AUROC,Channel KME; Event-level MAF stack; Mutational burden; Mutational signatures; Signatures + MAF stack; UGA geometry
Low-burden Kucab,259,Multiclass classification,Kucab mutagen-treated clone mutation catalogues,Balanced accuracy,Mechanistic controls; Mutational signatures
MMR-pathway mutated,"10,224",Binary classification,Regenerated benchmark output,AUROC,COSMIC NNLS exposures; UGA geometry
Original Kucab,259,Multiclass classification,Kucab mutagen-treated clone mutation catalogues,Balanced accuracy,Mechanistic controls; Mutational signatures
PARPi7,772,Regression,TCGA-BRCA HRD labels with MC3 mutation features,Spearman r,COSMIC NNLS exposures; Channel KME; Event-level MAF stack; Mutational burden; Mutational signatures; Signatures + MAF stack; UGA geometry
PARPi7 binary,772,Binary classification; Classification,TCGA-BRCA HRD labels with MC3 mutation features,AUROC,COSMIC NNLS exposures; Channel KME; Event-level MAF stack; Mutational burden; Mutational signatures; Signatures + MAF stack; UGA geometry
POLE/POLD1 mutated,"10,224",Binary classification,Regenerated benchmark output,AUROC,COSMIC NNLS exposures; UGA geometry
eCARD,772,Regression,TCGA-BRCA HRD labels with MC3 mutation features,Spearman r,COSMIC NNLS exposures; Channel KME; Event-level MAF stack; Mutational burden; Mutational signatures; Signatures + MAF stack; UGA geometry
