endpoint_display,endpoint_tier_display,task_display,n_samples_max,assay_or_source,label_definition,splitting_scheme,endpoint,endpoint_tier,task
HRD LOH,Supplement,Regression,772,TCGA-BRCA HRD labels with MC3 mutation features,see regenerated source table and experiment manifest,single 5-fold CV with aggregated out-of-fold test predictions where model-based,HRD_LOH,supplement,regression
HRD LST,Supplement,Regression,772,TCGA-BRCA HRD labels with MC3 mutation features,see regenerated source table and experiment manifest,single 5-fold CV with aggregated out-of-fold test predictions where model-based,HRD_LST,supplement,regression
HRD score,Main,Regression,772,TCGA-BRCA HRD labels with MC3 mutation features,continuous HRD score,single 5-fold CV with aggregated out-of-fold test predictions where model-based,HRD_Score,main,regression
HRD TAI,Supplement,Regression,772,TCGA-BRCA HRD labels with MC3 mutation features,see regenerated source table and experiment manifest,single 5-fold CV with aggregated out-of-fold test predictions where model-based,HRD_TAI,supplement,regression
Low-burden Kucab,Supplement,,259,Regenerated benchmark output,see regenerated source table and experiment manifest,single 5-fold CV with aggregated out-of-fold test predictions where model-based,Low-burden downsample,supplement,
Original Kucab,Supplement,,259,Regenerated benchmark output,see regenerated source table and experiment manifest,single 5-fold CV with aggregated out-of-fold test predictions where model-based,Original data,supplement,
PARPi7,Supplement,Regression,772,TCGA-BRCA HRD labels with MC3 mutation features,see regenerated source table and experiment manifest,single 5-fold CV with aggregated out-of-fold test predictions where model-based,PARPi7,supplement,regression
BRCA-pathway mutated,Supplement,Binary classification,10224,Regenerated benchmark output,see regenerated source table and experiment manifest,single 5-fold CV with aggregated out-of-fold test predictions where model-based,brca_gene_mutated,supplement,binary
Cancer type (top 10),Main,Multiclass classification,5462,TCGA MC3 clinical endpoint panel,top-10 TCGA cancer type classification,single 5-fold CV with aggregated out-of-fold test predictions where model-based,cancer_type_top10,main,multiclass
Kucab damage class,Main,Grouped multiclass,259,Kucab mutagen-treated clone mutation catalogues,curated DNA damage class from Kucab treatment metadata,single 5-fold CV with aggregated out-of-fold test predictions where model-based,damage_class,main,multiclass_grouped
eCARD,Supplement,Regression,772,TCGA-BRCA HRD labels with MC3 mutation features,see regenerated source table and experiment manifest,single 5-fold CV with aggregated out-of-fold test predictions where model-based,eCARD,supplement,regression
High tumor purity,Supplement,Binary classification,9591,TCGA MC3 clinical endpoint panel,see regenerated source table and experiment manifest,single 5-fold CV with aggregated out-of-fold test predictions where model-based,high_purity,supplement,binary
High stage,Supplement,Binary classification,6404,TCGA MC3 clinical endpoint panel,see regenerated source table and experiment manifest,single 5-fold CV with aggregated out-of-fold test predictions where model-based,high_stage,supplement,binary
HRD24 high/low,Supplement,Binary classification,772,TCGA-BRCA HRD labels with MC3 mutation features,see regenerated source table and experiment manifest,single 5-fold CV with aggregated out-of-fold test predictions where model-based,hrd_binary_24,supplement,binary; classification
HRD33 high/low,Main,Binary classification,772,TCGA-BRCA HRD labels with MC3 mutation features,HRD-high versus HRD-low at threshold 33,single 5-fold CV with aggregated out-of-fold test predictions where model-based,hrd_binary_33,main,binary
HRD42 high/low,Supplement,Binary classification,772,TCGA-BRCA HRD labels with MC3 mutation features,see regenerated source table and experiment manifest,single 5-fold CV with aggregated out-of-fold test predictions where model-based,hrd_binary_42,supplement,binary; classification
LUAD KMT2C mutated,Supplement,,515,TCGA MC3 LUAD driver endpoint,see regenerated source table and experiment manifest,single 5-fold CV with aggregated out-of-fold test predictions where model-based,kmt2c_mutated,supplement,
LUAD KMT2C mutated,Supplement,Binary classification,515,TCGA MC3 LUAD driver endpoint,see regenerated source table and experiment manifest,single 5-fold CV with aggregated out-of-fold test predictions where model-based,luad_kmt2c_mutated,supplement,binary
MMR-pathway mutated,Supplement,Binary classification,10224,Regenerated benchmark output,see regenerated source table and experiment manifest,single 5-fold CV with aggregated out-of-fold test predictions where model-based,mmr_gene_mutated,supplement,binary
Overall survival event,Main,Binary classification,10139,TCGA MC3 clinical endpoint panel,overall-survival event indicator,single 5-fold CV with aggregated out-of-fold test predictions where model-based,os_event,main,binary
PARPi7 binary,Supplement,Binary classification,772,TCGA-BRCA HRD labels with MC3 mutation features,see regenerated source table and experiment manifest,single 5-fold CV with aggregated out-of-fold test predictions where model-based,parpi7_binary,supplement,binary; classification
POLE/POLD1 mutated,Supplement,Binary classification,10224,Regenerated benchmark output,see regenerated source table and experiment manifest,single 5-fold CV with aggregated out-of-fold test predictions where model-based,pole_pold1_mutated,supplement,binary
Ever smoker,Supplement,Binary classification,2798,TCGA MC3 clinical endpoint panel,see regenerated source table and experiment manifest,single 5-fold CV with aggregated out-of-fold test predictions where model-based,smoking_ever,supplement,binary
