endpoint_display,endpoint_tier_display,task_display,representation_family_display,representation_display,atlas_status_display,model_display,metric_display,primary_score,auroc,auprc,accuracy,f1,balanced_accuracy,p_value,q_value,delta_vs_signatures,ci_low,ci_high,n_samples,n_features,folds,repeats,xgb_estimators,optuna_trials_completed,na_reason,split_strategy,endpoint,endpoint_tier,task,representation_family,representation,atlas_status,model_family,metric,run_id,cache_key,oof_prediction_file,fold_metrics_file,experiment_id,source_file
HRD score,Main,Regression,Event-level MAF stack,Event-level MAF stack,No UGA atlas,XGBoost,Spearman r,0.719911710034744,,,,,,,,,,,772.0,1823.0,5.0,1.0,,0.0,,5-fold KFold,HRD_Score,main,regression,MAF_stack_only,MAF_stack_only,no UGA atlas,XGBoost,spearman,20260524T162414Z,main_complete_panel_mc3_maf_only_best_gene_locus_multiscale_stack_b5085709af81c8c99858e079,main_manuscript_complete_panel_oof_predictions.csv,main_manuscript_complete_panel_fold_metrics.csv,main_manuscript_complete_panel,main_manuscript_complete_panel_endpoint_results.csv
HRD score,Main,Regression,Event-level MAF stack,Event-level MAF stack,No UGA atlas,Elastic net,Spearman r,0.4646573381618634,,,,,,,,,,,772.0,1823.0,5.0,1.0,,0.0,,5-fold KFold,HRD_Score,main,regression,MAF_stack_only,MAF_stack_only,no UGA atlas,elastic_net,spearman,20260524T162414Z,main_complete_panel_mc3_maf_only_best_gene_locus_multiscale_stack_7227b5f529e2757d5f9718ef,main_manuscript_complete_panel_oof_predictions.csv,main_manuscript_complete_panel_fold_metrics.csv,main_manuscript_complete_panel,main_manuscript_complete_panel_endpoint_results.csv
HRD score,Main,Regression,Mutational burden,Mutational burden,No UGA atlas,XGBoost,Spearman r,0.6148868436828168,,,,,,,,,,,772.0,3.0,5.0,1.0,,0.0,,5-fold KFold,HRD_Score,main,regression,burden_only,burden_only,no UGA atlas,XGBoost,spearman,20260524T162414Z,main_complete_panel_mc3_standard_features_5e7df4e23554036559289881,main_manuscript_complete_panel_oof_predictions.csv,main_manuscript_complete_panel_fold_metrics.csv,main_manuscript_complete_panel,main_manuscript_complete_panel_endpoint_results.csv
HRD score,Main,Regression,Mutational burden,Mutational burden,No UGA atlas,Elastic net,Spearman r,0.547778426978492,,,,,,,,,,,772.0,3.0,5.0,1.0,,0.0,,5-fold KFold,HRD_Score,main,regression,burden_only,burden_only,no UGA atlas,elastic_net,spearman,20260524T162414Z,main_complete_panel_mc3_standard_features_ac69638a19f207d649d56302,main_manuscript_complete_panel_oof_predictions.csv,main_manuscript_complete_panel_fold_metrics.csv,main_manuscript_complete_panel,main_manuscript_complete_panel_endpoint_results.csv
HRD score,Main,Regression,One-hot sequence KME,One-hot sequence KME,GRCh37 FASTA windows,XGBoost,Spearman r,0.6789934530306153,,,,,,,,-0.0063620721869982,,,772.0,132.0,5.0,1.0,,10.0,,5-fold KFold,HRD_Score,main,regression,one_hot_event_KME,one_hot_event_kme_oracle,uses GRCh37 FASTA windows; no UGA atlas,XGBoost,spearman,20260524T162414Z,one_hot_event_kme_features_624af94e39608d9a4346484b,one_hot_event_kme_scout_oof_predictions.csv,one_hot_event_kme_scout_fold_metrics.csv,one_hot_event_kme_scout,one_hot_event_kme_scout_endpoint_results.csv
HRD score,Main,Regression,One-hot sequence KME,One-hot sequence KME,GRCh37 FASTA windows,Elastic net,Spearman r,0.5997029914403073,,,,,,,,0.0710494941063186,,,772.0,68.0,5.0,1.0,,10.0,,5-fold KFold,HRD_Score,main,regression,one_hot_event_KME,one_hot_event_kme_oracle,uses GRCh37 FASTA windows; no UGA atlas,elastic_net,spearman,20260524T162414Z,one_hot_event_kme_features_59d5fde3eed8e8bf06e7d41e,one_hot_event_kme_scout_oof_predictions.csv,one_hot_event_kme_scout_fold_metrics.csv,one_hot_event_kme_scout,one_hot_event_kme_scout_endpoint_results.csv
HRD score,Main,Regression,Mutational signatures,SBS96 + ID83 spectra,No UGA atlas,XGBoost,Spearman r,0.6939169227386798,,,,,,,,,,,772.0,182.0,5.0,1.0,,0.0,,5-fold KFold,HRD_Score,main,regression,signatures_only,standard_sbs96_id83,no UGA atlas,XGBoost,spearman,20260524T162414Z,main_complete_panel_mc3_standard_features_5e7df4e23554036559289881,main_manuscript_complete_panel_oof_predictions.csv,main_manuscript_complete_panel_fold_metrics.csv,main_manuscript_complete_panel,main_manuscript_complete_panel_endpoint_results.csv
HRD score,Main,Regression,Mutational signatures,SBS96 + ID83 spectra,No UGA atlas,Elastic net,Spearman r,0.5102084408630586,,,,,,,,,,,772.0,182.0,5.0,1.0,,0.0,,5-fold KFold,HRD_Score,main,regression,signatures_only,standard_sbs96_id83,no UGA atlas,elastic_net,spearman,20260524T162414Z,main_complete_panel_mc3_standard_features_ac69638a19f207d649d56302,main_manuscript_complete_panel_oof_predictions.csv,main_manuscript_complete_panel_fold_metrics.csv,main_manuscript_complete_panel,main_manuscript_complete_panel_endpoint_results.csv
HRD score,Main,Regression,Signatures + MAF stack,Signatures + MAF stack,No UGA atlas,XGBoost,Spearman r,0.7754081836542706,,,,,,,,,,,772.0,2005.0,5.0,1.0,,0.0,,5-fold KFold,HRD_Score,main,regression,signatures_plus_MAF_stack,signatures_plus_MAF_stack,no UGA atlas,XGBoost,spearman,20260524T162414Z,main_complete_panel_mc3_id_plus_best_gene_locus_multiscale_stack_50c42e19315da43c5ae12c89,main_manuscript_complete_panel_oof_predictions.csv,main_manuscript_complete_panel_fold_metrics.csv,main_manuscript_complete_panel,main_manuscript_complete_panel_endpoint_results.csv
HRD score,Main,Regression,Signatures + MAF stack,Signatures + MAF stack,No UGA atlas,Elastic net,Spearman r,0.5623836079065417,,,,,,,,,,,772.0,2005.0,5.0,1.0,,0.0,,5-fold KFold,HRD_Score,main,regression,signatures_plus_MAF_stack,signatures_plus_MAF_stack,no UGA atlas,elastic_net,spearman,20260524T162414Z,main_complete_panel_mc3_id_plus_best_gene_locus_multiscale_stack_6f61039a7324d547d6e57b91,main_manuscript_complete_panel_oof_predictions.csv,main_manuscript_complete_panel_fold_metrics.csv,main_manuscript_complete_panel,main_manuscript_complete_panel_endpoint_results.csv
