representation_family_display,atlas_status_display,model_display,rows,median_features,max_features,folds,repeats,xgb_estimators,linear_model,tuning,representation_family,atlas_status,model_family
COSMIC NNLS exposures,COSMIC reference signatures,Source model,84,100.0,125.0,5.0,1.0,,,10 Optuna trials where endpoint-specific tuning is used; otherwise frozen settings,COSMIC_NNLS_exposures,uses COSMIC reference signatures; no UGA atlas for standard exposures,unspecified
Event-level MAF stack,No UGA atlas,XGBoost,29,1823.0,2255.0,5.0,1.0,160.0,,10 Optuna trials where endpoint-specific tuning is used; otherwise frozen settings,MAF_stack_only,no UGA atlas,XGBoost
Event-level MAF stack,No UGA atlas,Elastic net,5,1823.0,2255.0,5.0,1.0,,elastic-net linear model,10 Optuna trials where endpoint-specific tuning is used; otherwise frozen settings,MAF_stack_only,no UGA atlas,elastic_net
UGA geometry,UGA channel atlas,XGBoost,12,73.0,73.0,5.0,1.0,160.0,,10 Optuna trials where endpoint-specific tuning is used; otherwise frozen settings,UGA_geometry,uses UGA channel atlas for SBS/DBS; ID payload encoder for ID83,XGBoost
UGA geometry,UGA channel atlas,Elastic net,12,73.0,73.0,5.0,1.0,,elastic-net linear model,10 Optuna trials where endpoint-specific tuning is used; otherwise frozen settings,UGA_geometry,uses UGA channel atlas for SBS/DBS; ID payload encoder for ID83,elastic_net
UGA geometry,UGA channel atlas,Source model,371,100.0,143.0,5.0,1.0,250.0,,10 Optuna trials where endpoint-specific tuning is used; otherwise frozen settings,UGA_geometry,uses UGA channel atlas for SBS/DBS; ID payload encoder for ID83,unspecified
Mutational burden,No UGA atlas,XGBoost,5,3.0,3.0,5.0,1.0,,,10 Optuna trials where endpoint-specific tuning is used; otherwise frozen settings,burden_only,no UGA atlas,XGBoost
Mutational burden,No UGA atlas,Elastic net,5,3.0,3.0,5.0,1.0,,elastic-net linear model,10 Optuna trials where endpoint-specific tuning is used; otherwise frozen settings,burden_only,no UGA atlas,elastic_net
Mutational burden,No UGA atlas,Source model,105,3.0,3.0,5.0,1.0,250.0,,10 Optuna trials where endpoint-specific tuning is used; otherwise frozen settings,burden_only,no UGA atlas,unspecified
Channel KME,UGA channel atlas,XGBoost,12,182.0,182.0,5.0,1.0,160.0,,10 Optuna trials where endpoint-specific tuning is used; otherwise frozen settings,channel_KME,uses UGA channel atlas for SBS/DBS; ID payload encoder for ID83,XGBoost
Channel KME,UGA channel atlas,Elastic net,12,182.0,182.0,5.0,1.0,,elastic-net linear model,10 Optuna trials where endpoint-specific tuning is used; otherwise frozen settings,channel_KME,uses UGA channel atlas for SBS/DBS; ID payload encoder for ID83,elastic_net
Mechanistic controls,Not applicable,Source model,12,143.0,143.0,5.0,1.0,,,10 Optuna trials where endpoint-specific tuning is used; otherwise frozen settings,mechanistic_control,not applicable,unspecified
One-hot sequence KME,GRCh37 FASTA windows,XGBoost,5,132.0,132.0,5.0,1.0,,,10 Optuna trials where endpoint-specific tuning is used; otherwise frozen settings,one_hot_event_KME,uses GRCh37 FASTA windows; no UGA atlas,XGBoost
One-hot sequence KME,GRCh37 FASTA windows,Elastic net,5,68.0,132.0,5.0,1.0,,elastic-net linear model,10 Optuna trials where endpoint-specific tuning is used; otherwise frozen settings,one_hot_event_KME,uses GRCh37 FASTA windows; no UGA atlas,elastic_net
Mutational signatures,No UGA atlas,XGBoost,17,182.0,261.0,5.0,1.0,160.0,,10 Optuna trials where endpoint-specific tuning is used; otherwise frozen settings,signatures_only,no UGA atlas,XGBoost
Mutational signatures,No UGA atlas,Elastic net,17,182.0,261.0,5.0,1.0,,elastic-net linear model,10 Optuna trials where endpoint-specific tuning is used; otherwise frozen settings,signatures_only,no UGA atlas,elastic_net
Mutational signatures,No UGA atlas,Source model,222,182.0,257.0,5.0,1.0,250.0,,10 Optuna trials where endpoint-specific tuning is used; otherwise frozen settings,signatures_only,no UGA atlas,unspecified
Signatures + MAF stack,No UGA atlas,XGBoost,29,2005.0,2516.0,5.0,1.0,160.0,,10 Optuna trials where endpoint-specific tuning is used; otherwise frozen settings,signatures_plus_MAF_stack,no UGA atlas,XGBoost
Signatures + MAF stack,No UGA atlas,Elastic net,5,2005.0,2516.0,5.0,1.0,,elastic-net linear model,10 Optuna trials where endpoint-specific tuning is used; otherwise frozen settings,signatures_plus_MAF_stack,no UGA atlas,elastic_net
