endpoint,endpoint_display,endpoint_tier,endpoint_tier_display,n_samples_max,task,task_display,assay_or_source,label_definition,splitting_scheme
HRD_LOH,HRD LOH,supplement,Supplement,772,regression,Regression,TCGA-BRCA HRD labels with MC3 mutation features,see regenerated source table and experiment manifest,single 5-fold CV with aggregated out-of-fold test predictions where model-based
HRD_LST,HRD LST,supplement,Supplement,772,regression,Regression,TCGA-BRCA HRD labels with MC3 mutation features,see regenerated source table and experiment manifest,single 5-fold CV with aggregated out-of-fold test predictions where model-based
HRD_Score,HRD score,main,Main,772,regression,Regression,TCGA-BRCA HRD labels with MC3 mutation features,continuous HRD score,single 5-fold CV with aggregated out-of-fold test predictions where model-based
HRD_TAI,HRD TAI,supplement,Supplement,772,regression,Regression,TCGA-BRCA HRD labels with MC3 mutation features,see regenerated source table and experiment manifest,single 5-fold CV with aggregated out-of-fold test predictions where model-based
Low-burden downsample,Low-burden Kucab,supplement,Supplement,259,,,Regenerated benchmark output,see regenerated source table and experiment manifest,single 5-fold CV with aggregated out-of-fold test predictions where model-based
Original data,Original Kucab,supplement,Supplement,259,,,Regenerated benchmark output,see regenerated source table and experiment manifest,single 5-fold CV with aggregated out-of-fold test predictions where model-based
PARPi7,PARPi7,supplement,Supplement,772,regression,Regression,TCGA-BRCA HRD labels with MC3 mutation features,see regenerated source table and experiment manifest,single 5-fold CV with aggregated out-of-fold test predictions where model-based
brca_gene_mutated,BRCA-pathway mutated,supplement,Supplement,10224,binary,Binary classification,Regenerated benchmark output,see regenerated source table and experiment manifest,single 5-fold CV with aggregated out-of-fold test predictions where model-based
cancer_type_top10,Cancer type (top 10),main,Main,5462,multiclass,Multiclass classification,TCGA MC3 clinical endpoint panel,top-10 TCGA cancer type classification,single 5-fold CV with aggregated out-of-fold test predictions where model-based
damage_class,Kucab damage class,main,Main,259,multiclass_grouped,Grouped multiclass,Kucab mutagen-treated clone mutation catalogues,curated DNA damage class from Kucab treatment metadata,single 5-fold CV with aggregated out-of-fold test predictions where model-based
eCARD,eCARD,supplement,Supplement,772,regression,Regression,TCGA-BRCA HRD labels with MC3 mutation features,see regenerated source table and experiment manifest,single 5-fold CV with aggregated out-of-fold test predictions where model-based
high_purity,High tumor purity,supplement,Supplement,9591,binary,Binary classification,TCGA MC3 clinical endpoint panel,see regenerated source table and experiment manifest,single 5-fold CV with aggregated out-of-fold test predictions where model-based
high_stage,High stage,supplement,Supplement,6404,binary,Binary classification,TCGA MC3 clinical endpoint panel,see regenerated source table and experiment manifest,single 5-fold CV with aggregated out-of-fold test predictions where model-based
hrd_binary_24,HRD24 high/low,supplement,Supplement,772,binary; classification,Binary classification,TCGA-BRCA HRD labels with MC3 mutation features,see regenerated source table and experiment manifest,single 5-fold CV with aggregated out-of-fold test predictions where model-based
hrd_binary_33,HRD33 high/low,main,Main,772,binary,Binary classification,TCGA-BRCA HRD labels with MC3 mutation features,HRD-high versus HRD-low at threshold 33,single 5-fold CV with aggregated out-of-fold test predictions where model-based
hrd_binary_42,HRD42 high/low,supplement,Supplement,772,binary; classification,Binary classification,TCGA-BRCA HRD labels with MC3 mutation features,see regenerated source table and experiment manifest,single 5-fold CV with aggregated out-of-fold test predictions where model-based
kmt2c_mutated,LUAD KMT2C mutated,supplement,Supplement,515,,,TCGA MC3 LUAD driver endpoint,see regenerated source table and experiment manifest,single 5-fold CV with aggregated out-of-fold test predictions where model-based
luad_kmt2c_mutated,LUAD KMT2C mutated,supplement,Supplement,515,binary,Binary classification,TCGA MC3 LUAD driver endpoint,see regenerated source table and experiment manifest,single 5-fold CV with aggregated out-of-fold test predictions where model-based
mmr_gene_mutated,MMR-pathway mutated,supplement,Supplement,10224,binary,Binary classification,Regenerated benchmark output,see regenerated source table and experiment manifest,single 5-fold CV with aggregated out-of-fold test predictions where model-based
os_event,Overall survival event,main,Main,10139,binary,Binary classification,TCGA MC3 clinical endpoint panel,overall-survival event indicator,single 5-fold CV with aggregated out-of-fold test predictions where model-based
parpi7_binary,PARPi7 binary,supplement,Supplement,772,binary; classification,Binary classification,TCGA-BRCA HRD labels with MC3 mutation features,see regenerated source table and experiment manifest,single 5-fold CV with aggregated out-of-fold test predictions where model-based
pole_pold1_mutated,POLE/POLD1 mutated,supplement,Supplement,10224,binary,Binary classification,Regenerated benchmark output,see regenerated source table and experiment manifest,single 5-fold CV with aggregated out-of-fold test predictions where model-based
smoking_ever,Ever smoker,supplement,Supplement,2798,binary,Binary classification,TCGA MC3 clinical endpoint panel,see regenerated source table and experiment manifest,single 5-fold CV with aggregated out-of-fold test predictions where model-based
