representation_family,representation_family_display,model_family,model_display,atlas_status,atlas_status_display,rows,median_features,max_features,folds,repeats,xgb_estimators,linear_model,tuning
COSMIC_NNLS_exposures,COSMIC NNLS exposures,unspecified,Source model,uses COSMIC reference signatures; no UGA atlas for standard exposures,COSMIC reference signatures,84,100.0,125.0,5.0,1.0,,,10 Optuna trials where endpoint-specific tuning is used; otherwise frozen settings
MAF_stack_only,Event-level MAF stack,XGBoost,XGBoost,no UGA atlas,No UGA atlas,29,1823.0,2255.0,5.0,1.0,160.0,,10 Optuna trials where endpoint-specific tuning is used; otherwise frozen settings
MAF_stack_only,Event-level MAF stack,elastic_net,Elastic net,no UGA atlas,No UGA atlas,5,1823.0,2255.0,5.0,1.0,,elastic-net linear model,10 Optuna trials where endpoint-specific tuning is used; otherwise frozen settings
UGA_geometry,UGA geometry,XGBoost,XGBoost,uses UGA channel atlas for SBS/DBS; ID payload encoder for ID83,UGA channel atlas,12,73.0,73.0,5.0,1.0,160.0,,10 Optuna trials where endpoint-specific tuning is used; otherwise frozen settings
UGA_geometry,UGA geometry,elastic_net,Elastic net,uses UGA channel atlas for SBS/DBS; ID payload encoder for ID83,UGA channel atlas,12,73.0,73.0,5.0,1.0,,elastic-net linear model,10 Optuna trials where endpoint-specific tuning is used; otherwise frozen settings
UGA_geometry,UGA geometry,unspecified,Source model,uses UGA channel atlas for SBS/DBS; ID payload encoder for ID83,UGA channel atlas,371,100.0,143.0,5.0,1.0,250.0,,10 Optuna trials where endpoint-specific tuning is used; otherwise frozen settings
burden_only,Mutational burden,XGBoost,XGBoost,no UGA atlas,No UGA atlas,5,3.0,3.0,5.0,1.0,,,10 Optuna trials where endpoint-specific tuning is used; otherwise frozen settings
burden_only,Mutational burden,elastic_net,Elastic net,no UGA atlas,No UGA atlas,5,3.0,3.0,5.0,1.0,,elastic-net linear model,10 Optuna trials where endpoint-specific tuning is used; otherwise frozen settings
burden_only,Mutational burden,unspecified,Source model,no UGA atlas,No UGA atlas,105,3.0,3.0,5.0,1.0,250.0,,10 Optuna trials where endpoint-specific tuning is used; otherwise frozen settings
channel_KME,Channel KME,XGBoost,XGBoost,uses UGA channel atlas for SBS/DBS; ID payload encoder for ID83,UGA channel atlas,12,182.0,182.0,5.0,1.0,160.0,,10 Optuna trials where endpoint-specific tuning is used; otherwise frozen settings
channel_KME,Channel KME,elastic_net,Elastic net,uses UGA channel atlas for SBS/DBS; ID payload encoder for ID83,UGA channel atlas,12,182.0,182.0,5.0,1.0,,elastic-net linear model,10 Optuna trials where endpoint-specific tuning is used; otherwise frozen settings
mechanistic_control,Mechanistic controls,unspecified,Source model,not applicable,Not applicable,12,143.0,143.0,5.0,1.0,,,10 Optuna trials where endpoint-specific tuning is used; otherwise frozen settings
one_hot_event_KME,One-hot sequence KME,XGBoost,XGBoost,uses GRCh37 FASTA windows; no UGA atlas,GRCh37 FASTA windows,5,132.0,132.0,5.0,1.0,,,10 Optuna trials where endpoint-specific tuning is used; otherwise frozen settings
one_hot_event_KME,One-hot sequence KME,elastic_net,Elastic net,uses GRCh37 FASTA windows; no UGA atlas,GRCh37 FASTA windows,5,68.0,132.0,5.0,1.0,,elastic-net linear model,10 Optuna trials where endpoint-specific tuning is used; otherwise frozen settings
signatures_only,Mutational signatures,XGBoost,XGBoost,no UGA atlas,No UGA atlas,17,182.0,261.0,5.0,1.0,160.0,,10 Optuna trials where endpoint-specific tuning is used; otherwise frozen settings
signatures_only,Mutational signatures,elastic_net,Elastic net,no UGA atlas,No UGA atlas,17,182.0,261.0,5.0,1.0,,elastic-net linear model,10 Optuna trials where endpoint-specific tuning is used; otherwise frozen settings
signatures_only,Mutational signatures,unspecified,Source model,no UGA atlas,No UGA atlas,222,182.0,257.0,5.0,1.0,250.0,,10 Optuna trials where endpoint-specific tuning is used; otherwise frozen settings
signatures_plus_MAF_stack,Signatures + MAF stack,XGBoost,XGBoost,no UGA atlas,No UGA atlas,29,2005.0,2516.0,5.0,1.0,160.0,,10 Optuna trials where endpoint-specific tuning is used; otherwise frozen settings
signatures_plus_MAF_stack,Signatures + MAF stack,elastic_net,Elastic net,no UGA atlas,No UGA atlas,5,2005.0,2516.0,5.0,1.0,,elastic-net linear model,10 Optuna trials where endpoint-specific tuning is used; otherwise frozen settings
