model_id,endpoint,endpoint_family,metric,standard_score,candidate_score,delta_vs_standard,delta_ci_low,delta_ci_high,p_value,n,folds,repeats,n_estimators,q_value
id_plus_best_gene_locus_multiscale_stack,HRD_LOH,hrd,spearman,0.5838453266018023,0.6738596328100667,0.0900143062082643,0.0547231590488198,0.1260540683429014,0.0,772,5,1,160,0.0
id_plus_best_gene_locus_multiscale_stack,HRD_LST,hrd,spearman,0.6886395655730461,0.733377477108942,0.0447379115358959,0.0191154680832083,0.0693415801358865,0.0,772,5,1,160,0.0
id_plus_best_gene_locus_multiscale_stack,HRD_Score,hrd,spearman,0.6981097755360663,0.7696024192312152,0.0714926436951488,0.0459696978083363,0.0977020749085108,0.0,772,5,1,160,0.0
id_plus_best_gene_locus_multiscale_stack,HRD_TAI,hrd,spearman,0.6748574220491835,0.7591561827326269,0.0842987606834433,0.0547499785144177,0.1120465780013551,0.0,772,5,1,160,0.0
id_plus_best_gene_locus_multiscale_stack,PARPi7,hrd,spearman,0.1811519472189091,0.2896270887045867,0.1084751414856775,0.0498898245374586,0.1615937546987632,0.0,772,5,1,160,0.0
id_plus_best_gene_locus_multiscale_stack,cancer_type_top10,mc3_clinical,macro_auroc,0.9324920363351014,0.9644910817764364,0.0319990454413349,0.0296541596628462,0.034677028958385,0.0,5462,5,1,160,0.0
id_plus_best_gene_locus_multiscale_stack,eCARD,hrd,spearman,0.440466539599185,0.5419971407794687,0.1015306011802836,0.0563136761382511,0.1434782765829848,0.0,772,5,1,160,0.0
id_plus_best_gene_locus_multiscale_stack,high_purity,mc3_clinical,auroc,0.6416166675757015,0.9225849184247792,0.2809682508490777,0.2705327479022318,0.293454816877527,0.0,9591,5,1,160,0.0
id_plus_best_gene_locus_multiscale_stack,high_stage,mc3_clinical,auroc,0.6307381604571248,0.6392468247731319,0.008508664316007,0.0020951792062263,0.0157941630292628,0.0,6404,5,1,160,0.0
id_plus_best_gene_locus_multiscale_stack,hrd_binary_24,hrd,auroc,0.837735874569831,0.8785723461364235,0.0408364715665925,0.021876591552348,0.0654740693072867,0.0,772,5,1,160,0.0
id_plus_best_gene_locus_multiscale_stack,hrd_binary_33,hrd,auroc,0.8736138912718838,0.8997235725860261,0.0261096813141422,0.0077422551990398,0.0465450328550345,0.0,772,5,1,160,0.0
id_plus_best_gene_locus_multiscale_stack,hrd_binary_42,hrd,auroc,0.9222829581993568,0.9335476956055734,0.0112647374062164,-0.0010796825005179,0.0253894933609699,0.08,772,5,1,160,0.08
id_plus_best_gene_locus_multiscale_stack,luad_kmt2c_mutated,mc3_kmt2c_supportive,auroc,0.6840351812366737,0.7078558102345416,0.0238206289978678,-0.0199923733532727,0.063753528330077,0.34,515,5,1,160,0.34
id_plus_best_gene_locus_multiscale_stack,os_event,mc3_clinical,auroc,0.657032215151689,0.670466577027458,0.013434361875769,0.0068450278462919,0.0195998370556708,0.0,10139,5,1,160,0.0
id_plus_best_gene_locus_multiscale_stack,parpi7_binary,hrd,auroc,0.6496015129001756,0.697780179206628,0.0481786663064524,0.0111711504658166,0.0932479163024257,0.01,772,5,1,160,0.011111111111111112
id_plus_best_gene_locus_multiscale_stack,smoking_ever,mc3_clinical,auroc,0.7680532019967943,0.7806035341908673,0.0125503321940729,0.0047548822781431,0.0211184612471352,0.02,2798,5,1,160,0.02
maf_only_best_gene_locus_multiscale_stack,HRD_LOH,hrd,spearman,0.5838453266018023,0.6417851982435016,0.0579398716416992,0.0168532287689287,0.1080178945617673,0.0,772,5,1,160,0.0
maf_only_best_gene_locus_multiscale_stack,HRD_LST,hrd,spearman,0.6886395655730461,0.6758341846594114,-0.0128053809136347,-0.0557630415485807,0.0184175017297121,0.54,772,5,1,160,0.6000000000000001
maf_only_best_gene_locus_multiscale_stack,HRD_Score,hrd,spearman,0.6981097755360663,0.7252840427756504,0.027174267239584,-0.0127091906570827,0.0649444109638717,0.2,772,5,1,160,0.2857142857142857
maf_only_best_gene_locus_multiscale_stack,HRD_TAI,hrd,spearman,0.6748574220491835,0.736107931692128,0.0612505096429444,0.0260102868262472,0.0980680200951402,0.0,772,5,1,160,0.0
maf_only_best_gene_locus_multiscale_stack,PARPi7,hrd,spearman,0.1811519472189091,0.2902748719138701,0.1091229246949609,0.0263616320075285,0.181330641185042,0.01,772,5,1,160,0.025
maf_only_best_gene_locus_multiscale_stack,cancer_type_top10,mc3_clinical,macro_auroc,0.9324920363351014,0.9439616679225976,0.0114696315874963,0.0083044394821121,0.015022644652466,0.0,5462,5,1,160,0.0
