model_id,endpoint,endpoint_family,metric,standard_score,candidate_score,delta_vs_standard,delta_ci_low,delta_ci_high,p_value,n,folds,repeats,n_estimators,q_value
maf_only_best_gene_locus_multiscale_stack,HRD_LOH,hrd,spearman,0.5838453266018023,0.6417851982435016,0.0579398716416992,0.0168532287689287,0.1080178945617673,0.0,772,5,1,160,0.0
maf_only_best_gene_locus_multiscale_stack,HRD_LST,hrd,spearman,0.6886395655730461,0.6758341846594114,-0.0128053809136347,-0.0557630415485807,0.0184175017297121,0.54,772,5,1,160,0.6000000000000001
maf_only_best_gene_locus_multiscale_stack,HRD_Score,hrd,spearman,0.6981097755360663,0.7252840427756504,0.027174267239584,-0.0127091906570827,0.0649444109638717,0.2,772,5,1,160,0.2857142857142857
maf_only_best_gene_locus_multiscale_stack,HRD_TAI,hrd,spearman,0.6748574220491835,0.736107931692128,0.0612505096429444,0.0260102868262472,0.0980680200951402,0.0,772,5,1,160,0.0
maf_only_best_gene_locus_multiscale_stack,PARPi7,hrd,spearman,0.1811519472189091,0.2902748719138701,0.1091229246949609,0.0263616320075285,0.181330641185042,0.01,772,5,1,160,0.025
maf_only_best_gene_locus_multiscale_stack,cancer_type_top10,mc3_clinical,macro_auroc,0.9324920363351014,0.9439616679225976,0.0114696315874963,0.0083044394821121,0.015022644652466,0.0,5462,5,1,160,0.0
maf_only_best_gene_locus_multiscale_stack,eCARD,hrd,spearman,0.440466539599185,0.5105499791955599,0.0700834395963748,0.0245406542565356,0.1152509998818619,0.02,772,5,1,160,0.04
maf_only_best_gene_locus_multiscale_stack,high_purity,mc3_clinical,auroc,0.6416166675757015,0.9209102935712794,0.2792936259955779,0.2696891943472475,0.2898093028319823,0.0,9591,5,1,160,0.0
maf_only_best_gene_locus_multiscale_stack,high_stage,mc3_clinical,auroc,0.6307381604571248,0.6007197538122959,-0.0300184066448289,-0.0448253349345762,-0.0165433451485632,0.0,6404,5,1,160,0.0
maf_only_best_gene_locus_multiscale_stack,hrd_binary_24,hrd,auroc,0.837735874569831,0.856883041370591,0.01914716680076,-0.0068366590643275,0.0461998907224309,0.16,772,5,1,160,0.26666666666666666
maf_only_best_gene_locus_multiscale_stack,hrd_binary_33,hrd,auroc,0.8736138912718838,0.8686652050964319,-0.0049486861754519,-0.0309408728384329,0.0210763098597888,0.78,772,5,1,160,0.78
maf_only_best_gene_locus_multiscale_stack,hrd_binary_42,hrd,auroc,0.9222829581993568,0.8913719185423367,-0.0309110396570202,-0.0515777368044971,-0.0100582300255577,0.0,772,5,1,160,0.0
maf_only_best_gene_locus_multiscale_stack,luad_kmt2c_mutated,mc3_kmt2c_supportive,auroc,0.6840351812366737,0.7202158848614072,0.0361807036247334,-0.0188840484871964,0.0844609617382417,0.25,515,5,1,160,0.25
maf_only_best_gene_locus_multiscale_stack,os_event,mc3_clinical,auroc,0.657032215151689,0.6573518044577887,0.0003195893060997,-0.0088271557620162,0.0105468882197341,1.0,10139,5,1,160,1.0
maf_only_best_gene_locus_multiscale_stack,parpi7_binary,hrd,auroc,0.6496015129001756,0.6744713104297055,0.0248697975295298,-0.0325138708072837,0.0835390152666543,0.4,772,5,1,160,0.5
maf_only_best_gene_locus_multiscale_stack,smoking_ever,mc3_clinical,auroc,0.7680532019967943,0.7607298398985682,-0.007323362098226,-0.0235202584632369,0.0106003126056738,0.43,2798,5,1,160,0.5375
