benchmark,endpoint,representation,learner,repeat,fold,metric,score,n_test
mc3_main,HRD_Score,burden_only,xgboost,1,1,spearman,0.6864856827770703,155
mc3_main,HRD_Score,burden_only,xgboost,1,2,spearman,0.6136000775132917,155
mc3_main,HRD_Score,burden_only,xgboost,1,3,spearman,0.6537525141985462,154
mc3_main,HRD_Score,burden_only,xgboost,1,4,spearman,0.5194506492391088,154
mc3_main,HRD_Score,burden_only,xgboost,1,5,spearman,0.6075033459103226,154
mc3_main,HRD_Score,standard_sbs96_id83,xgboost,1,1,spearman,0.7005112041732071,155
mc3_main,HRD_Score,standard_sbs96_id83,xgboost,1,2,spearman,0.6821849569588108,155
mc3_main,HRD_Score,standard_sbs96_id83,xgboost,1,3,spearman,0.7096267413385201,154
mc3_main,HRD_Score,standard_sbs96_id83,xgboost,1,4,spearman,0.622978705903676,154
mc3_main,HRD_Score,standard_sbs96_id83,xgboost,1,5,spearman,0.7261681715221028,154
mc3_main,HRD_Score,MAF_stack_only,xgboost,1,1,spearman,0.7313766218463044,155
mc3_main,HRD_Score,MAF_stack_only,xgboost,1,2,spearman,0.7129006487744797,155
mc3_main,HRD_Score,MAF_stack_only,xgboost,1,3,spearman,0.7251534883708481,154
mc3_main,HRD_Score,MAF_stack_only,xgboost,1,4,spearman,0.7011148788619309,154
mc3_main,HRD_Score,MAF_stack_only,xgboost,1,5,spearman,0.7541808422961415,154
mc3_main,HRD_Score,signatures_plus_MAF_stack,xgboost,1,1,spearman,0.7886928159911094,155
mc3_main,HRD_Score,signatures_plus_MAF_stack,xgboost,1,2,spearman,0.7797933162615764,155
mc3_main,HRD_Score,signatures_plus_MAF_stack,xgboost,1,3,spearman,0.766750444086016,154
mc3_main,HRD_Score,signatures_plus_MAF_stack,xgboost,1,4,spearman,0.7223268616076722,154
mc3_main,HRD_Score,signatures_plus_MAF_stack,xgboost,1,5,spearman,0.8091493810216591,154
mc3_main,hrd_binary_33,burden_only,xgboost,1,1,auroc,0.9104609929078014,155
mc3_main,hrd_binary_33,burden_only,xgboost,1,2,auroc,0.7976753349093775,155
mc3_main,hrd_binary_33,burden_only,xgboost,1,3,auroc,0.7776771336553945,154
mc3_main,hrd_binary_33,burden_only,xgboost,1,4,auroc,0.8513620998210379,154
mc3_main,hrd_binary_33,burden_only,xgboost,1,5,auroc,0.8089083316762777,154
mc3_main,hrd_binary_33,standard_sbs96_id83,xgboost,1,1,auroc,0.9631599684791174,155
mc3_main,hrd_binary_33,standard_sbs96_id83,xgboost,1,2,auroc,0.8731284475965327,155
mc3_main,hrd_binary_33,standard_sbs96_id83,xgboost,1,3,auroc,0.8333333333333333,154
mc3_main,hrd_binary_33,standard_sbs96_id83,xgboost,1,4,auroc,0.8946112547226088,154
mc3_main,hrd_binary_33,standard_sbs96_id83,xgboost,1,5,auroc,0.857426923841718,154
