experiment_id,source_file,Source,Target,Coordinate_System,Top1_Accuracy,MRR,Median_True_Rank,Note,Source_Process,Nearest_Process,True_Process_Rank,True_Process_Distance,Nearest_Distance,Sample,Modality,Method,Burden,MAE,Cosine,Top_Process_Truth,Top_Process_Pred,Top1_Process_Match,Modal_Mass_Error,Target_Modality,Element,Specification,N,Median_Burden,Mean_MAE,Median_MAE,Mean_Cosine,Top1_Process_Accuracy,Mean_Modal_Mass_Error,Pairs,Mean_Top1_Accuracy,Mean_MRR,Candidate,Reconstruction_Error,Label,Mean_Reconstruction_Error,Runtime_Sec,Payload_Block_Dim,Payload_Pair_Dim,Full_UGA_Dim_Selected,Exact_Enumerative_Min_Pair_Dim,Slot_Local_Min_Pair_Dim,Direct_Length_Min_Pair_Dim,Payload_States,Unique_Payload_Vectors,Collision_Count,Collision_Groups,Max_Collision_Bucket,Block_States,Unique_Block_Vectors,Block_Collision_Count,Block_Collision_Groups,Min_Nonzero_Pair_Distance,Empty_To_A_Distance,Empty_To_C_Distance,Empty_To_G_Distance,Empty_To_T_Distance,Binary_Features,Bounded_0_1,Admissible_UGA_Binary_Minimal,Notes,Collision_Group,Bucket_Size,States,Contains_Empty_Ref,Contains_Empty_Alt,Contains_G_Payload,d_payload,Payload_Block_States,Legacy_Pair_Dim,Masked_Pair_Dim,Length_Coded_Pair_Dim,Legacy_Full_UGA_Dim,Masked_Full_UGA_Dim,Length_Coded_Full_UGA_Dim,Length_Saves_Dim_vs_Masked,Length_Over_Exact_Pair_Bits,Signature_Count,Feature_Dim,Signature_Matrix_Rank,Rank_Deficit,Min_Signature_Distance,Min_Nonzero_Signature_Distance
mechanistic_representation,tables\cross_modality_retrieval_by_pair.csv,SBS,DBS,UGA full 48D,1.0,1.0,1.0,direct cross-modality distances,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mechanistic_representation,tables\cross_modality_retrieval_by_pair.csv,SBS,DBS,UGA clean context 40D,1.0,1.0,1.0,direct cross-modality distances,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mechanistic_representation,tables\cross_modality_retrieval_by_pair.csv,SBS,DBS,UGA payload 8D,0.1666666666666666,0.3300925925925926,5.0,direct cross-modality distances,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mechanistic_representation,tables\cross_modality_retrieval_by_pair.csv,SBS,DBS,Standard separate catalogs,0.0833333333333333,0.2586008898508898,6.5,undefined across unequal SBS/DBS/ID axes; chance/tie expectation shown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mechanistic_representation,tables\cross_modality_retrieval_by_pair.csv,SBS,ID,UGA full 48D,1.0,1.0,1.0,direct cross-modality distances,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mechanistic_representation,tables\cross_modality_retrieval_by_pair.csv,SBS,ID,UGA clean context 40D,1.0,1.0,1.0,direct cross-modality distances,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mechanistic_representation,tables\cross_modality_retrieval_by_pair.csv,SBS,ID,UGA payload 8D,0.0833333333333333,0.262073112073112,6.5,direct cross-modality distances,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mechanistic_representation,tables\cross_modality_retrieval_by_pair.csv,SBS,ID,Standard separate catalogs,0.0833333333333333,0.2586008898508898,6.5,undefined across unequal SBS/DBS/ID axes; chance/tie expectation shown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mechanistic_representation,tables\cross_modality_retrieval_by_pair.csv,DBS,SBS,UGA full 48D,1.0,1.0,1.0,direct cross-modality distances,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mechanistic_representation,tables\cross_modality_retrieval_by_pair.csv,DBS,SBS,UGA clean context 40D,1.0,1.0,1.0,direct cross-modality distances,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
