Sample,Modality,Method,Burden,MAE,Cosine,Top_Process_Truth,Top_Process_Pred,Top1_Process_Match,Modal_Mass_Error
SIM-0001,SBS,Separate categorical NNLS,1289,0.01017900287035352,0.9934024861776479,6,6,1.0,
SIM-0001,SBS,Separate UGA NNLS,1289,0.0007492015266074718,0.9999856765168847,6,6,1.0,
SIM-0001,DBS,Separate categorical NNLS,22,0.009829564610122654,0.9966391434282857,6,6,1.0,
SIM-0001,DBS,Separate UGA NNLS,22,0.009003726144822437,0.9987731340474999,6,6,1.0,
SIM-0001,ID,Separate categorical NNLS,144,0.006235290274713989,0.9986452145634533,6,6,1.0,
SIM-0001,ID,Separate UGA NNLS,144,0.005253681062597518,0.9993412051515184,6,6,1.0,
SIM-0001,SBS,Naive pooled UGA NNLS,1289,0.007391494491718935,0.9972275694587698,6,6,1.0,0.016096348240911218
SIM-0001,DBS,Naive pooled UGA NNLS,22,0.11363636363636365,0.39637402401448135,6,2,0.0,3.670256559091048e-05
SIM-0001,ID,Naive pooled UGA NNLS,144,0.04372607678621553,0.8701589808132957,6,2,0.0,0.016059645675320408
SIM-0002,SBS,Separate categorical NNLS,1204,0.0019069386625309092,0.9999643858751743,1,1,1.0,
SIM-0002,SBS,Separate UGA NNLS,1204,0.001404641159055111,0.9999729163271872,1,1,1.0,
SIM-0002,DBS,Separate categorical NNLS,48,0.008052823004755204,0.9986352885764397,1,1,1.0,
SIM-0002,DBS,Separate UGA NNLS,48,0.004091727653516807,0.9996223902242999,1,1,1.0,
SIM-0002,ID,Separate categorical NNLS,62,0.014371572413220382,0.992780621809682,1,1,1.0,
SIM-0002,ID,Separate UGA NNLS,62,0.0049644686658168275,0.999308796068896,1,1,1.0,
SIM-0002,SBS,Naive pooled UGA NNLS,1204,0.002482363644874387,0.9998918561074693,1,1,1.0,0.022083911454294003
SIM-0002,DBS,Naive pooled UGA NNLS,48,0.042412500009993546,0.9545549533504016,1,1,1.0,0.0024497055931696765
SIM-0002,ID,Naive pooled UGA NNLS,62,0.015488958275099449,0.9945143179613078,1,1,1.0,0.02453361704746386
SIM-0003,SBS,Separate categorical NNLS,1246,0.002203566059630901,0.9997724276785491,9,9,1.0,
