Sample,Target_Modality,Method,MAE,Cosine,Top1_Process_Match
SIM-0515,DBS,UGA unsupervised bridge,0.007569207939392809,0.9977260290941987,1.0
SIM-0515,DBS,Oracle label bridge,0.007569207939392809,0.9977260290941987,1.0
SIM-0515,DBS,Standard no-bridge cohort mean,0.13338052793981026,0.44659358534361165,0.0
SIM-0515,DBS,Standard random bridge,0.08901700343278164,0.5259792056493204,0.0
SIM-0155,DBS,UGA unsupervised bridge,0.008271969672808927,0.9990801642193096,1.0
SIM-0155,DBS,Oracle label bridge,0.008271969672808946,0.9990801642193097,1.0
SIM-0155,DBS,Standard no-bridge cohort mean,0.1357622066310291,0.30398250927959375,0.0
SIM-0155,DBS,Standard random bridge,0.158839130786174,0.009707839874758373,0.0
SIM-0168,DBS,UGA unsupervised bridge,0.02171189413229345,0.9856483550737539,1.0
SIM-0168,DBS,Oracle label bridge,0.021711894132293467,0.9856483550737538,1.0
SIM-0168,DBS,Standard no-bridge cohort mean,0.09652467769332075,0.5727351756953342,0.0
SIM-0168,DBS,Standard random bridge,0.1572740102543771,0.008814181003644641,0.0
SIM-0426,DBS,UGA unsupervised bridge,0.021611913123698215,0.9740863522333842,1.0
SIM-0426,DBS,Oracle label bridge,0.021611913123698215,0.9740863522333842,1.0
SIM-0426,DBS,Standard no-bridge cohort mean,0.13235391594252752,0.3788088237023929,0.0
SIM-0426,DBS,Standard random bridge,0.1602462895609806,0.050722692846094077,0.0
SIM-0400,DBS,UGA unsupervised bridge,0.020961417889491834,0.9904074660533109,1.0
SIM-0400,DBS,Oracle label bridge,0.020961417889491834,0.9904074660533109,1.0
SIM-0400,DBS,Standard no-bridge cohort mean,0.11070358562836452,0.38684709032096803,0.0
SIM-0400,DBS,Standard random bridge,0.13961929965978148,0.19021038468424675,0.0
SIM-0212,DBS,UGA unsupervised bridge,0.027255077111492557,0.9660131272968567,1.0
SIM-0212,DBS,Oracle label bridge,0.027255077111492554,0.9660131272968567,1.0
SIM-0212,DBS,Standard no-bridge cohort mean,0.11028344311776966,0.5540972304686859,1.0
SIM-0212,DBS,Standard random bridge,0.12894570576079878,0.2956116419838432,0.0
SIM-0284,DBS,UGA unsupervised bridge,0.01153801414007898,0.9959855193560301,1.0
SIM-0284,DBS,Oracle label bridge,0.01153801414007898,0.9959855193560301,1.0
SIM-0284,DBS,Standard no-bridge cohort mean,0.10959306148641862,0.4403740545222492,0.0
SIM-0284,DBS,Standard random bridge,0.16088480536623068,0.031112529180767304,0.0
SIM-0026,DBS,UGA unsupervised bridge,0.01143994677770682,0.9959308907782388,1.0
SIM-0026,DBS,Oracle label bridge,0.01143994677770682,0.9959308907782388,1.0
SIM-0026,DBS,Standard no-bridge cohort mean,0.11539870208614654,0.4897536252284302,0.0
SIM-0026,DBS,Standard random bridge,0.07640251913926392,0.7414010548213986,0.0
SIM-0138,DBS,UGA unsupervised bridge,0.028175191848445563,0.9459268161673308,1.0
SIM-0138,DBS,Oracle label bridge,0.028175191848445576,0.9459268161673309,1.0
SIM-0138,DBS,Standard no-bridge cohort mean,0.11410940652225282,0.5013972908319134,0.0
SIM-0138,DBS,Standard random bridge,0.12267566679403097,0.35203089496793233,0.0
SIM-0102,DBS,UGA unsupervised bridge,0.00575947636033607,0.9993492517510661,1.0
SIM-0102,DBS,Oracle label bridge,0.00575947636033607,0.9993492517510661,1.0
SIM-0102,DBS,Standard no-bridge cohort mean,0.12986629561062016,0.3731263008718001,0.0
SIM-0102,DBS,Standard random bridge,0.1607863773301836,0.03881039051231441,0.0
SIM-0518,DBS,UGA unsupervised bridge,0.004090460694427296,0.9994417428532018,1.0
SIM-0518,DBS,Oracle label bridge,0.004090460694427296,0.9994417428532018,1.0
SIM-0518,DBS,Standard no-bridge cohort mean,0.1265611357501635,0.42069069460089564,0.0
SIM-0518,DBS,Standard random bridge,0.1566844455657503,0.03288583619909806,0.0
SIM-0257,DBS,UGA unsupervised bridge,0.008017608446422514,0.9980709684782842,1.0
SIM-0257,DBS,Oracle label bridge,0.008017608446422514,0.9980709684782842,1.0
SIM-0257,DBS,Standard no-bridge cohort mean,0.13902324713731937,0.3553543891759878,0.0
SIM-0257,DBS,Standard random bridge,0.16579439764102596,8.618713780083656e-05,0.0
SIM-0042,DBS,UGA unsupervised bridge,0.015500415867487778,0.9875939709741778,1.0
SIM-0042,DBS,Oracle label bridge,0.015500415867487792,0.9875939709741778,1.0
SIM-0042,DBS,Standard no-bridge cohort mean,0.12095497071786283,0.3719261365360328,0.0
SIM-0042,DBS,Standard random bridge,0.13266861927936338,0.25094685411412004,0.0
SIM-0449,DBS,UGA unsupervised bridge,0.007858415786043156,0.9993923771977786,1.0
SIM-0449,DBS,Oracle label bridge,0.00785841578604314,0.9993923771977786,1.0
SIM-0449,DBS,Standard no-bridge cohort mean,0.1391182133757343,0.33188301244289103,0.0
SIM-0449,DBS,Standard random bridge,0.16506697870056186,0.004150532626765459,0.0
SIM-0421,DBS,UGA unsupervised bridge,0.013055665402393625,0.9939286958371634,1.0
SIM-0421,DBS,Oracle label bridge,0.013055665402393625,0.9939286958371634,1.0
SIM-0421,DBS,Standard no-bridge cohort mean,0.1288128296947461,0.3536989599904559,0.0
SIM-0421,DBS,Standard random bridge,0.16419977320724977,0.017919342534253205,0.0
SIM-0388,DBS,UGA unsupervised bridge,0.018595466141247692,0.9734687237192106,0.0
SIM-0388,DBS,Oracle label bridge,0.01859546614124768,0.9734687237192106,0.0
SIM-0388,DBS,Standard no-bridge cohort mean,0.10838680785716863,0.5498200606993912,0.0
SIM-0388,DBS,Standard random bridge,0.12053609660140736,0.2983055190346023,0.0
SIM-0305,DBS,UGA unsupervised bridge,0.013704500299246731,0.9939421902136937,1.0
SIM-0305,DBS,Oracle label bridge,0.013704500299246731,0.9939421902136937,1.0
SIM-0305,DBS,Standard no-bridge cohort mean,0.13796860994175422,0.37950831915816213,0.0
SIM-0305,DBS,Standard random bridge,0.1638363006436638,0.010583789013071093,0.0
SIM-0401,DBS,UGA unsupervised bridge,0.018377930128072994,0.9783746394524828,0.0
SIM-0401,DBS,Oracle label bridge,0.018377930128072994,0.9783746394524828,0.0
SIM-0401,DBS,Standard no-bridge cohort mean,0.12137685913195095,0.4578165887881994,0.0
SIM-0401,DBS,Standard random bridge,0.14163917369981288,0.1542762535237098,0.0
SIM-0210,DBS,UGA unsupervised bridge,0.011561244532632515,0.9980680983591497,1.0
SIM-0210,DBS,Oracle label bridge,0.011561244532632515,0.9980680983591497,1.0
SIM-0210,DBS,Standard no-bridge cohort mean,0.1406092780549006,0.26573943585096244,0.0
SIM-0210,DBS,Standard random bridge,0.14435207083072257,0.1524162321799725,0.0
SIM-0100,DBS,UGA unsupervised bridge,0.007952377760772527,0.9987312781271062,1.0
