d_payload,Payload_Block_States,Legacy_Pair_Dim,Masked_Pair_Dim,Length_Coded_Pair_Dim,Exact_Enumerative_Min_Pair_Dim,Legacy_Full_UGA_Dim,Masked_Full_UGA_Dim,Length_Coded_Full_UGA_Dim,Length_Saves_Dim_vs_Masked,Length_Over_Exact_Pair_Bits
1,5,4,6,8,5,44,46,48,-2,3
2,21,8,12,12,9,48,52,52,0,3
3,85,12,18,18,13,52,58,58,0,5
4,341,16,24,22,17,56,64,62,2,5
5,1365,20,30,26,21,60,70,66,4,5
6,5461,24,36,30,25,64,76,70,6,5
7,21845,28,42,36,29,68,82,76,6,7
8,87381,32,48,40,33,72,88,80,8,7
9,349525,36,54,44,37,76,94,84,10,7
10,1398101,40,60,48,41,80,100,88,12,7
