benchmark,endpoint,learner,score,delta_vs_standard,kme_version,kme_config_id,landmark_mode,n_landmarks,base_sigma,sigma_multiplier,sigma_strategy,sigma_multipliers_selected,kernel_sigma,modality_strategy,landmark_sampling,kernel_weighting,optuna_study_name,optuna_trials_completed
kucab_damage_class,damage_class,linear,0.6178806835807056,0.0344634806451598,v2,kme_6e2428148b00286a757afae9,128.0,384.0,6.323236624399821,1.0,single,1.0,6.323236624399821,stratified,frequency_tail,center_weighted,one_hot_kme__8e7ae1bc8187b4f8f68c77b9,10.0
mc3_main,HRD_Score,linear,0.5791622455662914,0.0505087482323027,v2,kme_638c1e3ba83192a3d3db7a67,128.0,128.0,6.164413928985596,2.0,single,2.0,12.328827857971191,mixed,random_unique,center_weighted,one_hot_kme__ec6d76b1389f78d7a648c545,10.0
mc3_main,HRD_Score,xgboost,0.6945894390203975,0.0092339138027839,v2,kme_d143b9365a58b8adca046610,256.0,256.0,6.164413928985596,1.0,single,1.0,6.164413928985596,mixed,frequency_tail,center_weighted,one_hot_kme__0a9ba4b0152444351a9ba24f,10.0
mc3_main,cancer_type_top10,linear,0.8612185566934778,-0.0152255153029244,v2,kme_e3d99edf320791daea1057fd,128.0,128.0,6.164413928985596,0.5,single,0.5,3.082206964492798,mixed,frequency_tail,center_weighted,one_hot_kme__50331cc384603c3aaa2c3819,10.0
mc3_main,cancer_type_top10,xgboost,0.9346565077311748,0.0109749288565755,v2,kme_b373107c693a13a4759981ee,512.0,1024.0,6.244484663009644,0.25,single,0.25,1.5611211657524109,stratified,frequency_tail,center_weighted,one_hot_kme__adc6bde22b179ba1427f1f12,10.0
mc3_main,hrd_binary_33,linear,0.7640874718012265,0.0332944110825151,v2,kme_d143b9365a58b8adca046610,256.0,256.0,6.164413928985596,1.0,single,1.0,6.164413928985596,mixed,frequency_tail,center_weighted,one_hot_kme__6bac9fe23d59555858dff800,10.0
mc3_main,hrd_binary_33,xgboost,0.8757268134591555,-0.0082610491532424,v2,kme_d143b9365a58b8adca046610,256.0,256.0,6.164413928985596,1.0,single,1.0,6.164413928985596,mixed,frequency_tail,center_weighted,one_hot_kme__c84fbbeabdd89a76b363ef71,10.0
mc3_main,os_event,linear,0.560103698542572,-0.0197987579003026,v2,kme_6fe7a0575f68adb76ce9cee0,128.0,128.0,,0.25,single,0.25,,stratified,frequency_tail,uniform,one_hot_kme__afc9ad9bf459b38524007fea,10.0
mc3_main,os_event,xgboost,0.651464971729572,0.0016598948696607,v2,kme_4421cdce242346bec2ffd6fb,128.0,256.0,6.244484663009644,1.0,multiscale_0.5_1_2,"0.5,1.0,2.0",6.244484663009644,stratified,random_unique,center_weighted,one_hot_kme__57d4f078cbee0d9f4a1d9c18,10.0
kucab_damage_class,damage_class,xgboost,0.6296094509698335,-0.0216155756652219,v2,kme_eb84095a9e1943c1b6378af1,512.0,512.0,6.164413928985596,1.0,single,1.0,6.164413928985596,mixed,frequency_tail,uniform,one_hot_kme__4ba3feff7720c3d2aac6fd04,10.0
