benchmark,endpoint,family,task,representation,metric,score,n_samples,n_classes,n_features,n_folds,model,split_strategy,tuning,balanced_accuracy_at_0p5,balanced_accuracy_argmax,accuracy,macro_f1,delta_vs_standard,delta_vs_previous_uga_mean
kucab_damage_class,damage_class,kucab,multiclass_grouped,previous_uga_mean_unified,macro_auroc,0.6760409991031784,259,8.0,143,5,"LogisticRegression(L2,C=1.0,class_weight=balanced)",5-fold StratifiedGroupKFold grouped by agent_core,none,,0.3526036474291204,0.3822393822393822,0.3502264366633169,0.021222485678970893,0.0
kucab_damage_class,damage_class,kucab,multiclass_grouped,standard_sbs96_dbs78_id83,macro_auroc,0.6548185134242075,259,8.0,257,5,"LogisticRegression(L2,C=1.0,class_weight=balanced)",5-fold StratifiedGroupKFold grouped by agent_core,none,,0.2880224936367904,0.3590733590733591,0.291841496253404,0.0,-0.021222485678970893
kucab_damage_class,damage_class,kucab,multiclass_grouped,uga_rbf_kernel_mean,macro_auroc,0.6284397406320446,259,8.0,257,5,"LogisticRegression(L2,C=1.0,class_weight=balanced)",5-fold StratifiedGroupKFold grouped by agent_core,none,,0.3020060832879579,0.3397683397683397,0.2947285036420057,-0.02637877279216294,-0.047601258471133834
mc3_hrd_kmt2c,HRD_LOH,hrd,regression,previous_uga_mean_pooled,spearman,0.4760308798375217,772,,73,5,"ElasticNet(alpha=0.01, l1_ratio=0.5, max_iter=5000, random_state=0)",5-fold KFold,none,,,,,0.06363393642091786,0.0
mc3_hrd_kmt2c,HRD_LOH,hrd,regression,standard_sbs96_id83,spearman,0.4123969434166038,772,,182,5,"ElasticNet(alpha=0.01, l1_ratio=0.5, max_iter=5000, random_state=0)",5-fold KFold,none,,,,,0.0,-0.06363393642091786
mc3_hrd_kmt2c,HRD_LOH,hrd,regression,uga_rbf_kernel_mean,spearman,0.4801420275242805,772,,182,5,"ElasticNet(alpha=0.01, l1_ratio=0.5, max_iter=5000, random_state=0)",5-fold KFold,none,,,,,0.06774508410767666,0.004111147686758798
mc3_hrd_kmt2c,HRD_LST,hrd,regression,previous_uga_mean_pooled,spearman,0.553649479584001,772,,73,5,"ElasticNet(alpha=0.01, l1_ratio=0.5, max_iter=5000, random_state=0)",5-fold KFold,none,,,,,0.042389138249686154,0.0
mc3_hrd_kmt2c,HRD_LST,hrd,regression,standard_sbs96_id83,spearman,0.5112603413343149,772,,182,5,"ElasticNet(alpha=0.01, l1_ratio=0.5, max_iter=5000, random_state=0)",5-fold KFold,none,,,,,0.0,-0.042389138249686154
mc3_hrd_kmt2c,HRD_LST,hrd,regression,uga_rbf_kernel_mean,spearman,0.5608351402064652,772,,182,5,"ElasticNet(alpha=0.01, l1_ratio=0.5, max_iter=5000, random_state=0)",5-fold KFold,none,,,,,0.04957479887215033,0.007185660622464174
mc3_hrd_kmt2c,HRD_Score,hrd,regression,previous_uga_mean_pooled,spearman,0.5670007745112181,772,,73,5,"ElasticNet(alpha=0.01, l1_ratio=0.5, max_iter=5000, random_state=0)",5-fold KFold,none,,,,,0.06389840616183196,0.0
