benchmark,endpoint,family,task,representation,metric,score,n_samples,n_classes,n_features,n_folds,model,split_strategy,tuning,n_estimators,max_depth,learning_rate,tree_method,balanced_accuracy_at_0p5,balanced_accuracy_argmax,accuracy,macro_f1,delta_vs_standard,delta_vs_previous_uga_mean
kucab_damage_class,damage_class,kucab,multiclass_grouped,previous_uga_mean_unified,macro_auroc,0.6271165465810979,259,8.0,143,5,XGBClassifier(lightweight),5-fold StratifiedGroupKFold grouped by agent_core,none,160,2,0.05,gpu_hist,,0.2592613866016555,0.3436293436293436,0.2522976968843511,-0.01380040193700205,0.0
kucab_damage_class,damage_class,kucab,multiclass_grouped,standard_sbs96_dbs78_id83,macro_auroc,0.6409169485181,259,8.0,257,5,XGBClassifier(lightweight),5-fold StratifiedGroupKFold grouped by agent_core,none,160,2,0.05,gpu_hist,,0.2502448253265927,0.3629343629343629,0.2321412731046135,0.0,0.01380040193700205
kucab_damage_class,damage_class,kucab,multiclass_grouped,uga_rbf_kernel_mean,macro_auroc,0.605590753110412,259,8.0,257,5,XGBClassifier(lightweight),5-fold StratifiedGroupKFold grouped by agent_core,none,160,2,0.05,gpu_hist,,0.1954406087662176,0.2934362934362934,0.1752452943972076,-0.035326195407688,-0.02152579347068595
mc3_hrd_kmt2c,HRD_LOH,hrd,regression,previous_uga_mean_pooled,spearman,0.533946253906103,772,,73,5,XGBRegressor(lightweight),5-fold KFold,none,160,2,0.05,gpu_hist,,,,,-0.0593643127048592,0.0
mc3_hrd_kmt2c,HRD_LOH,hrd,regression,standard_sbs96_id83,spearman,0.5933105666109622,772,,182,5,XGBRegressor(lightweight),5-fold KFold,none,160,2,0.05,gpu_hist,,,,,0.0,0.0593643127048592
mc3_hrd_kmt2c,HRD_LOH,hrd,regression,uga_rbf_kernel_mean,spearman,0.5433013686953824,772,,182,5,XGBRegressor(lightweight),5-fold KFold,none,160,2,0.05,gpu_hist,,,,,-0.050009197915579784,0.009355114789279417
mc3_hrd_kmt2c,HRD_LST,hrd,regression,previous_uga_mean_pooled,spearman,0.6321915627577189,772,,73,5,XGBRegressor(lightweight),5-fold KFold,none,160,2,0.05,gpu_hist,,,,,-0.04683005330863499,0.0
mc3_hrd_kmt2c,HRD_LST,hrd,regression,standard_sbs96_id83,spearman,0.6790216160663539,772,,182,5,XGBRegressor(lightweight),5-fold KFold,none,160,2,0.05,gpu_hist,,,,,0.0,0.04683005330863499
mc3_hrd_kmt2c,HRD_LST,hrd,regression,uga_rbf_kernel_mean,spearman,0.6179014665931183,772,,182,5,XGBRegressor(lightweight),5-fold KFold,none,160,2,0.05,gpu_hist,,,,,-0.06112014947323563,-0.01429009616460064
mc3_hrd_kmt2c,HRD_Score,hrd,regression,previous_uga_mean_pooled,spearman,0.6518584376772764,772,,73,5,XGBRegressor(lightweight),5-fold KFold,none,160,2,0.05,gpu_hist,,,,,-0.03805072903690987,0.0
mc3_hrd_kmt2c,HRD_Score,hrd,regression,standard_sbs96_id83,spearman,0.6899091667141862,772,,182,5,XGBRegressor(lightweight),5-fold KFold,none,160,2,0.05,gpu_hist,,,,,0.0,0.03805072903690987
mc3_hrd_kmt2c,HRD_Score,hrd,regression,uga_rbf_kernel_mean,spearman,0.6303476659276666,772,,182,5,XGBRegressor(lightweight),5-fold KFold,none,160,2,0.05,gpu_hist,,,,,-0.05956150078651967,-0.021510771749609803
mc3_hrd_kmt2c,HRD_TAI,hrd,regression,previous_uga_mean_pooled,spearman,0.6283705324567922,772,,73,5,XGBRegressor(lightweight),5-fold KFold,none,160,2,0.05,gpu_hist,,,,,-0.04676262757660565,0.0
mc3_hrd_kmt2c,HRD_TAI,hrd,regression,standard_sbs96_id83,spearman,0.6751331600333978,772,,182,5,XGBRegressor(lightweight),5-fold KFold,none,160,2,0.05,gpu_hist,,,,,0.0,0.04676262757660565
mc3_hrd_kmt2c,HRD_TAI,hrd,regression,uga_rbf_kernel_mean,spearman,0.6282973936023245,772,,182,5,XGBRegressor(lightweight),5-fold KFold,none,160,2,0.05,gpu_hist,,,,,-0.046835766431073345,-7.313885446769142e-05
mc3_hrd_kmt2c,PARPi7,hrd,regression,previous_uga_mean_pooled,spearman,0.2385993154069489,772,,73,5,XGBRegressor(lightweight),5-fold KFold,none,160,2,0.05,gpu_hist,,,,,0.05287604577527269,0.0
mc3_hrd_kmt2c,PARPi7,hrd,regression,standard_sbs96_id83,spearman,0.1857232696316762,772,,182,5,XGBRegressor(lightweight),5-fold KFold,none,160,2,0.05,gpu_hist,,,,,0.0,-0.05287604577527269
mc3_hrd_kmt2c,PARPi7,hrd,regression,uga_rbf_kernel_mean,spearman,0.1825666136861415,772,,182,5,XGBRegressor(lightweight),5-fold KFold,none,160,2,0.05,gpu_hist,,,,,-0.0031566559455347143,-0.056032701720807404
mc3_hrd_kmt2c,cancer_type_top10,mc3_clinical,multiclass,previous_uga_mean_pooled,macro_auroc,0.9072897870945338,5462,10.0,73,5,XGBClassifier(lightweight),5-fold StratifiedKFold,none,160,2,0.05,gpu_hist,,0.573664795232843,,,-0.018198169075365866,0.0
mc3_hrd_kmt2c,cancer_type_top10,mc3_clinical,multiclass,standard_sbs96_id83,macro_auroc,0.9254879561698997,5462,10.0,182,5,XGBClassifier(lightweight),5-fold StratifiedKFold,none,160,2,0.05,gpu_hist,,0.6357679717902041,,,0.0,0.018198169075365866
mc3_hrd_kmt2c,cancer_type_top10,mc3_clinical,multiclass,uga_rbf_kernel_mean,macro_auroc,0.8783017968149262,5462,10.0,182,5,XGBClassifier(lightweight),5-fold StratifiedKFold,none,160,2,0.05,gpu_hist,,0.4894984438754864,,,-0.0471861593549735,-0.028987990279607634
mc3_hrd_kmt2c,eCARD,hrd,regression,previous_uga_mean_pooled,spearman,0.3282230485693376,772,,73,5,XGBRegressor(lightweight),5-fold KFold,none,160,2,0.05,gpu_hist,,,,,-0.09104824441389309,0.0
mc3_hrd_kmt2c,eCARD,hrd,regression,standard_sbs96_id83,spearman,0.4192712929832307,772,,182,5,XGBRegressor(lightweight),5-fold KFold,none,160,2,0.05,gpu_hist,,,,,0.0,0.09104824441389309
