analysis_set,budget_mutations,budget_label,resample,representation,classifier_C,feature_dimension,n_samples,n_classes,n_agents,accuracy,balanced_accuracy,macro_f1
Low-burden downsample,20,20,0,Standard_SBS96_DBS78_ID83_C0p5,0.5,257,259,8,70,0.2162162162162162,0.1515393902735771,0.1509676349026391
Low-burden downsample,20,20,0,UGA_unified_d10dp5_IDpayload_unweighted_frac_C0p1,0.1,143,259,8,70,0.1737451737451737,0.1435096718512515,0.1229587448844088
Low-burden downsample,25,25,0,Standard_SBS96_DBS78_ID83_C0p5,0.5,257,259,8,70,0.2239382239382239,0.1744499970743864,0.1721317942215043
Low-burden downsample,25,25,0,UGA_unified_d10dp5_IDpayload_unweighted_frac_C0p1,0.1,143,259,8,70,0.2432432432432432,0.1897549246993857,0.1898649667915267
Low-burden downsample,50,50,0,Standard_SBS96_DBS78_ID83_C0p5,0.5,257,258,8,70,0.2480620155038759,0.1844802720667611,0.1825913374589053
Low-burden downsample,50,50,0,UGA_unified_d10dp5_IDpayload_unweighted_frac_C0p1,0.1,143,258,8,70,0.2403100775193798,0.2141849828241377,0.1914667767955299
Low-burden downsample,100,100,0,Standard_SBS96_DBS78_ID83_C0p5,0.5,257,258,8,70,0.2945736434108527,0.1998771859627099,0.2018243620256924
Low-burden downsample,100,100,0,UGA_unified_d10dp5_IDpayload_unweighted_frac_C0p1,0.1,143,258,8,70,0.2829457364341085,0.2337455656268574,0.2146057908638136
Low-burden downsample,250,250,0,Standard_SBS96_DBS78_ID83_C0p5,0.5,257,237,8,67,0.2995780590717299,0.2392195987040254,0.2535649292228239
Low-burden downsample,250,250,0,UGA_unified_d10dp5_IDpayload_unweighted_frac_C0p1,0.1,143,237,8,67,0.2742616033755274,0.25470720440461286,0.24823694482680658
Original data,0,Original data,0,Standard_SBS96_DBS78_ID83_C0p5,0.5,257,259,8,70,0.3629343629343629,0.3013937104704869,0.3026177098350944
Original data,0,Original data,0,UGA_unified_d10dp5_IDpayload_unweighted_frac_C0p1,0.1,143,259,8,70,0.3088803088803089,0.3034885248189278,0.2868767608123309
