endpoint,endpoint_type,feature_set,n,n_classes,n_features,outer_folds,n_estimators,oof_aggregate_auroc,oof_balanced_accuracy
cancer_type_top10,multiclass,burden_only,5462,10,3,5,250,0.8399495907670195,0.4294717888887728
cancer_type_top10,multiclass,locked_uga_sbs,5462,10,73,5,250,0.9237585227742948,0.6242720689809118
cancer_type_top10,multiclass,locked_uga_sbs_id_pooled,5462,10,73,5,250,0.9178482184626284,0.6133759066415677
cancer_type_top10,multiclass,locked_uga_sbs_id_separate,5462,10,143,5,250,0.9246272939536744,0.6386877837860675
cancer_type_top10,multiclass,standard_sbs,5462,10,99,5,250,0.9354548943254688,0.665094878424435
cancer_type_top10,multiclass,standard_sbs_id,5462,10,182,5,250,0.9371352537029314,0.670632586907664
high_purity,binary,burden_only,9591,2,3,5,250,0.6039725779419085,0.5743501336020249
high_purity,binary,locked_uga_sbs,9591,2,73,5,250,0.6297733571717934,0.5919170579213513
high_purity,binary,locked_uga_sbs_id_pooled,9591,2,73,5,250,0.6389616551706381,0.5970320099438843
high_purity,binary,locked_uga_sbs_id_separate,9591,2,143,5,250,0.6399004619897737,0.5990055071853333
high_purity,binary,standard_sbs,9591,2,99,5,250,0.640084400187931,0.5967822645823759
high_purity,binary,standard_sbs_id,9591,2,182,5,250,0.6391512041580037,0.5954405030607508
high_stage,binary,burden_only,6404,2,3,5,250,0.5744364155038657,0.5402443377795683
high_stage,binary,locked_uga_sbs,6404,2,73,5,250,0.6212687943434345,0.5573415211394454
high_stage,binary,locked_uga_sbs_id_pooled,6404,2,73,5,250,0.6223997141668947,0.5550541383841336
high_stage,binary,locked_uga_sbs_id_separate,6404,2,143,5,250,0.6309075461209175,0.5708762992520291
high_stage,binary,standard_sbs,6404,2,99,5,250,0.631195179209096,0.5767851329328909
high_stage,binary,standard_sbs_id,6404,2,182,5,250,0.6209939588207636,0.5654577267798839
os_event,binary,burden_only,10139,2,3,5,250,0.619287378368272,0.5658855511647937
os_event,binary,locked_uga_sbs,10139,2,73,5,250,0.6563252254369911,0.5822967769275347
os_event,binary,locked_uga_sbs_id_pooled,10139,2,73,5,250,0.6523254467563071,0.5769439365927489
os_event,binary,locked_uga_sbs_id_separate,10139,2,143,5,250,0.6599975825261806,0.5846708067547095
os_event,binary,standard_sbs,10139,2,99,5,250,0.6538213445624794,0.58471553322657
os_event,binary,standard_sbs_id,10139,2,182,5,250,0.6525668506169734,0.5836767935521329
smoking_ever,binary,burden_only,2798,2,3,5,250,0.7131687423622111,0.6217028154187976
smoking_ever,binary,locked_uga_sbs,2798,2,73,5,250,0.7709395618846386,0.6985423962168149
smoking_ever,binary,locked_uga_sbs_id_pooled,2798,2,73,5,250,0.7667961309722815,0.7037891075496221
smoking_ever,binary,locked_uga_sbs_id_separate,2798,2,143,5,250,0.7736890067419508,0.7032443130909236
smoking_ever,binary,standard_sbs,2798,2,99,5,250,0.7762101537460271,0.7112573448545739
smoking_ever,binary,standard_sbs_id,2798,2,182,5,250,0.7739641104312059,0.7122469539589777
