fold,n_train,n_test,fold_auroc,fold_balanced_accuracy,endpoint,endpoint_type,feature_set
1,4369,1093,0.8402869438709193,0.436614869812136,cancer_type_top10,multiclass,burden_only
2,4369,1093,0.836705834945856,0.4323644076895568,cancer_type_top10,multiclass,burden_only
3,4370,1092,0.8436382134674109,0.4249493829096044,cancer_type_top10,multiclass,burden_only
4,4370,1092,0.8417564900912163,0.4243266845228547,cancer_type_top10,multiclass,burden_only
5,4370,1092,0.8428245934082197,0.4289378231384076,cancer_type_top10,multiclass,burden_only
1,4369,1093,0.926903676801602,0.6419540192809842,cancer_type_top10,multiclass,locked_uga_sbs
2,4369,1093,0.9293967404685748,0.630429511866951,cancer_type_top10,multiclass,locked_uga_sbs
3,4370,1092,0.9086373552400784,0.5773741402474951,cancer_type_top10,multiclass,locked_uga_sbs
4,4370,1092,0.922333534475235,0.6087859648404107,cancer_type_top10,multiclass,locked_uga_sbs
5,4370,1092,0.9330478834245216,0.6626319042713972,cancer_type_top10,multiclass,locked_uga_sbs
1,4369,1093,0.9122287022586246,0.5795646613843765,cancer_type_top10,multiclass,locked_uga_sbs_id_pooled
2,4369,1093,0.9220258725092252,0.6100115044307566,cancer_type_top10,multiclass,locked_uga_sbs_id_pooled
3,4370,1092,0.9117879945736302,0.610414746866062,cancer_type_top10,multiclass,locked_uga_sbs_id_pooled
4,4370,1092,0.924107536396184,0.6308655775304965,cancer_type_top10,multiclass,locked_uga_sbs_id_pooled
5,4370,1092,0.921371377600267,0.635915491395842,cancer_type_top10,multiclass,locked_uga_sbs_id_pooled
1,4369,1093,0.923208016228997,0.6154051960737428,cancer_type_top10,multiclass,locked_uga_sbs_id_separate
2,4369,1093,0.9248190391516042,0.6480214818906667,cancer_type_top10,multiclass,locked_uga_sbs_id_separate
3,4370,1092,0.9233190757035704,0.6390794358326366,cancer_type_top10,multiclass,locked_uga_sbs_id_separate
4,4370,1092,0.9235781100763856,0.6359926082687363,cancer_type_top10,multiclass,locked_uga_sbs_id_separate
5,4370,1092,0.9299797097962668,0.6549129971388984,cancer_type_top10,multiclass,locked_uga_sbs_id_separate
1,4369,1093,0.9293970705668696,0.6498758230613408,cancer_type_top10,multiclass,standard_sbs
2,4369,1093,0.9329900016830428,0.6615372535216638,cancer_type_top10,multiclass,standard_sbs
3,4370,1092,0.9355637369431584,0.6656072937651827,cancer_type_top10,multiclass,standard_sbs
4,4370,1092,0.937791156633438,0.6677207621036633,cancer_type_top10,multiclass,standard_sbs
5,4370,1092,0.94273064805083,0.680895058899164,cancer_type_top10,multiclass,standard_sbs
1,4369,1093,0.9467418708901432,0.6875443849381621,cancer_type_top10,multiclass,standard_sbs_id
2,4369,1093,0.9336928194710874,0.6581442944877368,cancer_type_top10,multiclass,standard_sbs_id
3,4370,1092,0.9338110690048892,0.655237482145358,cancer_type_top10,multiclass,standard_sbs_id
4,4370,1092,0.9439478365306484,0.6849673059579768,cancer_type_top10,multiclass,standard_sbs_id
5,4370,1092,0.9288352710430692,0.667291034927629,cancer_type_top10,multiclass,standard_sbs_id
1,7672,1919,0.6237731277772345,0.5869164412285562,high_purity,binary,burden_only
