fold,n_train,n_test,fold_auroc,fold_balanced_accuracy,repeat,scenario,endpoint,cancer_type,feature_set,repeat_auroc,repeat_balanced_accuracy
1,412,103,0.558974358974359,0.5923076923076923,1,within_cancer_type_LUAD,kmt2c_mutated,LUAD,burden_only,0.6955623667377399,0.6428238272921108
2,412,103,0.7512820512820513,0.7188034188034188,1,within_cancer_type_LUAD,kmt2c_mutated,LUAD,burden_only,0.6955623667377399,0.6428238272921108
3,412,103,0.72991452991453,0.7025641025641025,1,within_cancer_type_LUAD,kmt2c_mutated,LUAD,burden_only,0.6955623667377399,0.6428238272921108
4,412,103,0.7564205457463884,0.6978330658105939,1,within_cancer_type_LUAD,kmt2c_mutated,LUAD,burden_only,0.6955623667377399,0.6428238272921108
5,412,103,0.6914125200642054,0.5060192616372391,1,within_cancer_type_LUAD,kmt2c_mutated,LUAD,burden_only,0.6955623667377399,0.6428238272921108
1,412,103,0.6094017094017093,0.5816239316239316,1,within_cancer_type_LUAD,kmt2c_mutated,LUAD,locked_uga_sbs,0.7161847014925373,0.6475712953091685
2,412,103,0.7880341880341881,0.7025641025641025,1,within_cancer_type_LUAD,kmt2c_mutated,LUAD,locked_uga_sbs,0.7161847014925373,0.6475712953091685
3,412,103,0.6811965811965812,0.5324786324786325,1,within_cancer_type_LUAD,kmt2c_mutated,LUAD,locked_uga_sbs,0.7161847014925373,0.6475712953091685
4,412,103,0.6765650080256822,0.723916532905297,1,within_cancer_type_LUAD,kmt2c_mutated,LUAD,locked_uga_sbs,0.7161847014925373,0.6475712953091685
5,412,103,0.853932584269663,0.6882022471910112,1,within_cancer_type_LUAD,kmt2c_mutated,LUAD,locked_uga_sbs,0.7161847014925373,0.6475712953091685
1,412,103,0.8290598290598291,0.5820512820512821,1,within_cancer_type_LUAD,kmt2c_mutated,LUAD,locked_uga_sbs_id_pooled,0.7408715351812366,0.6203025053304905
2,412,103,0.7393162393162394,0.6478632478632479,1,within_cancer_type_LUAD,kmt2c_mutated,LUAD,locked_uga_sbs_id_pooled,0.7408715351812366,0.6203025053304905
3,412,103,0.7324786324786324,0.5927350427350427,1,within_cancer_type_LUAD,kmt2c_mutated,LUAD,locked_uga_sbs_id_pooled,0.7408715351812366,0.6203025053304905
4,412,103,0.7319422150882825,0.6412520064205457,1,within_cancer_type_LUAD,kmt2c_mutated,LUAD,locked_uga_sbs_id_pooled,0.7408715351812366,0.6203025053304905
5,412,103,0.6757624398073836,0.6336276083467095,1,within_cancer_type_LUAD,kmt2c_mutated,LUAD,locked_uga_sbs_id_pooled,0.7408715351812366,0.6203025053304905
1,412,103,0.6324786324786326,0.5269230769230769,1,within_cancer_type_LUAD,kmt2c_mutated,LUAD,locked_uga_sbs_id_separate,0.7021255330490405,0.6262993070362474
2,412,103,0.8025641025641026,0.7192307692307692,1,within_cancer_type_LUAD,kmt2c_mutated,LUAD,locked_uga_sbs_id_separate,0.7021255330490405,0.6262993070362474
3,412,103,0.6914529914529914,0.5427350427350428,1,within_cancer_type_LUAD,kmt2c_mutated,LUAD,locked_uga_sbs_id_separate,0.7021255330490405,0.6262993070362474
4,412,103,0.7817014446227929,0.7050561797752809,1,within_cancer_type_LUAD,kmt2c_mutated,LUAD,locked_uga_sbs_id_separate,0.7021255330490405,0.6262993070362474
5,412,103,0.637239165329053,0.6336276083467095,1,within_cancer_type_LUAD,kmt2c_mutated,LUAD,locked_uga_sbs_id_separate,0.7021255330490405,0.6262993070362474
1,412,103,0.6726495726495727,0.5106837606837606,1,within_cancer_type_LUAD,kmt2c_mutated,LUAD,standard_sbs,0.7094549573560768,0.5717617270788913
2,412,103,0.670940170940171,0.532051282051282,1,within_cancer_type_LUAD,kmt2c_mutated,LUAD,standard_sbs,0.7094549573560768,0.5717617270788913
3,412,103,0.7085470085470086,0.5435897435897437,1,within_cancer_type_LUAD,kmt2c_mutated,LUAD,standard_sbs,0.7094549573560768,0.5717617270788913
4,412,103,0.6573033707865168,0.562199036918138,1,within_cancer_type_LUAD,kmt2c_mutated,LUAD,standard_sbs,0.7094549573560768,0.5717617270788913
5,412,103,0.8274478330658106,0.7030497592295345,1,within_cancer_type_LUAD,kmt2c_mutated,LUAD,standard_sbs,0.7094549573560768,0.5717617270788913
1,412,103,0.7222222222222223,0.532051282051282,1,within_cancer_type_LUAD,kmt2c_mutated,LUAD,standard_sbs_id,0.7028917910447761,0.5751099413646056
2,412,103,0.7743589743589744,0.6918803418803419,1,within_cancer_type_LUAD,kmt2c_mutated,LUAD,standard_sbs_id,0.7028917910447761,0.5751099413646056
3,412,103,0.6017094017094017,0.5435897435897437,1,within_cancer_type_LUAD,kmt2c_mutated,LUAD,standard_sbs_id,0.7028917910447761,0.5751099413646056
4,412,103,0.6990369181380418,0.5601926163723916,1,within_cancer_type_LUAD,kmt2c_mutated,LUAD,standard_sbs_id,0.7028917910447761,0.5751099413646056
5,412,103,0.7584269662921349,0.5545746388443018,1,within_cancer_type_LUAD,kmt2c_mutated,LUAD,standard_sbs_id,0.7028917910447761,0.5751099413646056
