modality,representation,algorithm,patient,mutation_burden,cosine,mae,n_active_truth_signatures,n_active_predicted_signatures
DBS,locked_uga,NNLS,SP1003,1.0,0.5440924132201413,0.0625544951232294,1,4
DBS,locked_uga,NNLS,SP10084,1.0,0.367483724723131,0.0674494662777134,3,2
DBS,locked_uga,NNLS,SP101515,1.0,0.9994452141263946,0.0029317653938408,1,2
DBS,locked_uga,NNLS,SP101523,1.0,0.1999200231174155,0.0650629795493098,3,2
DBS,locked_uga,NNLS,SP101526,1.0,0.2834977365873032,0.073270013568521,4,5
DBS,locked_uga,NNLS,SP101532,3.0,0.9520235248147596,0.0163681094759118,2,3
DBS,locked_uga,NNLS,SP101536,1.0,0.0,0.0909090909090909,1,1
DBS,locked_uga,NNLS,SP101552,1.0,0.9994452141263946,0.0029317653938408,1,2
DBS,locked_uga,NNLS,SP101580,2.0,0.2622181452967073,0.0663287345638131,2,2
DBS,locked_uga,NNLS,SP101584,1.0,0.0,0.0909090909090909,2,2
DBS,locked_uga,NNLS,SP101610,1.0,0.9994452141263946,0.0029317653938408,1,2
DBS,locked_uga,NNLS,SP101628,1.0,0.3263266710712357,0.0650629795493098,3,2
DBS,locked_uga,NNLS,SP101634,1.0,0.1612844516808908,0.0672727272727272,3,2
DBS,locked_uga,NNLS,SP101642,1.0,0.3201826973742719,0.0684931506849315,5,4
DBS,locked_uga,NNLS,SP101662,1.0,0.3726129055334305,0.058898847631242,2,3
DBS,locked_uga,NNLS,SP101670,1.0,0.3105500358239066,0.0650629795493098,2,2
DBS,locked_uga,NNLS,SP101678,2.0,0.0,0.0909090909090909,4,1
DBS,locked_uga,NNLS,SP101686,1.0,0.0037893516886698,0.090175165624812,3,4
DBS,locked_uga,NNLS,SP101690,1.0,0.0,0.0909090909090909,2,3
DBS,locked_uga,NNLS,SP101700,1.0,0.9994452141263946,0.0029317653938408,1,2
DBS,locked_uga,NNLS,SP101716,1.0,0.0,0.0909090909090909,3,1
DBS,locked_uga,NNLS,SP101740,1.0,0.0,0.0909090909090909,3,2
DBS,locked_uga,NNLS,SP101881,2.0,0.7456233471648062,0.0409330603735504,2,4
DBS,locked_uga,NNLS,SP101891,1.0,0.9994452141263946,0.0029317653938408,1,2
DBS,locked_uga,NNLS,SP101921,1.0,0.3604451120251579,0.0655594405594405,2,2
DBS,locked_uga,NNLS,SP102015,2.0,0.2698874200136817,0.0659619450317124,3,4
DBS,locked_uga,NNLS,SP102035,1.0,0.0,0.0909090909090909,3,2
DBS,locked_uga,NNLS,SP102045,3.0,0.3140762965965377,0.0669291338582677,3,4
DBS,locked_uga,NNLS,SP102064,1.0,0.1928758694387533,0.081108387626231,1,5
DBS,locked_uga,NNLS,SP102074,1.0,0.0,0.0909090909090909,3,1
