analysis_set,budget_mutations,budget_label,comparison,metric,standard_mean,uga_mean,delta_mean,delta_95ci_low,delta_95ci_high,p_value,uga_win_rate,n_resamples,q_value
Low-burden downsample,20,20,UGA_unified_d10dp5_IDpayload_unweighted_frac_C0p1 minus Standard_SBS96_DBS78_ID83_C0p5,balanced_accuracy,0.1515393902735771,0.1435096718512515,-0.00802971842232561,,,,0.0,1,
Low-burden downsample,20,20,UGA_unified_d10dp5_IDpayload_unweighted_frac_C0p1 minus Standard_SBS96_DBS78_ID83_C0p5,macro_f1,0.1509676349026391,0.1229587448844088,-0.028008890018230287,,,,0.0,1,
Low-burden downsample,20,20,UGA_unified_d10dp5_IDpayload_unweighted_frac_C0p1 minus Standard_SBS96_DBS78_ID83_C0p5,accuracy,0.2162162162162162,0.1737451737451737,-0.0424710424710425,,,,0.0,1,
Low-burden downsample,25,25,UGA_unified_d10dp5_IDpayload_unweighted_frac_C0p1 minus Standard_SBS96_DBS78_ID83_C0p5,balanced_accuracy,0.1744499970743864,0.1897549246993857,0.015304927624999298,,,,1.0,1,
Low-burden downsample,25,25,UGA_unified_d10dp5_IDpayload_unweighted_frac_C0p1 minus Standard_SBS96_DBS78_ID83_C0p5,macro_f1,0.1721317942215043,0.1898649667915267,0.01773317257002241,,,,1.0,1,
Low-burden downsample,25,25,UGA_unified_d10dp5_IDpayload_unweighted_frac_C0p1 minus Standard_SBS96_DBS78_ID83_C0p5,accuracy,0.2239382239382239,0.2432432432432432,0.019305019305019294,,,,1.0,1,
Low-burden downsample,50,50,UGA_unified_d10dp5_IDpayload_unweighted_frac_C0p1 minus Standard_SBS96_DBS78_ID83_C0p5,balanced_accuracy,0.1844802720667611,0.2141849828241377,0.0297047107573766,,,,1.0,1,
Low-burden downsample,50,50,UGA_unified_d10dp5_IDpayload_unweighted_frac_C0p1 minus Standard_SBS96_DBS78_ID83_C0p5,macro_f1,0.1825913374589053,0.1914667767955299,0.008875439336624602,,,,1.0,1,
Low-burden downsample,50,50,UGA_unified_d10dp5_IDpayload_unweighted_frac_C0p1 minus Standard_SBS96_DBS78_ID83_C0p5,accuracy,0.2480620155038759,0.2403100775193798,-0.00775193798449611,,,,0.0,1,
Low-burden downsample,100,100,UGA_unified_d10dp5_IDpayload_unweighted_frac_C0p1 minus Standard_SBS96_DBS78_ID83_C0p5,balanced_accuracy,0.1998771859627099,0.2337455656268574,0.03386837966414749,,,,1.0,1,
Low-burden downsample,100,100,UGA_unified_d10dp5_IDpayload_unweighted_frac_C0p1 minus Standard_SBS96_DBS78_ID83_C0p5,macro_f1,0.2018243620256924,0.2146057908638136,0.012781428838121195,,,,1.0,1,
Low-burden downsample,100,100,UGA_unified_d10dp5_IDpayload_unweighted_frac_C0p1 minus Standard_SBS96_DBS78_ID83_C0p5,accuracy,0.2945736434108527,0.2829457364341085,-0.011627906976744207,,,,0.0,1,
Low-burden downsample,250,250,UGA_unified_d10dp5_IDpayload_unweighted_frac_C0p1 minus Standard_SBS96_DBS78_ID83_C0p5,balanced_accuracy,0.2392195987040254,0.2547072044046128,0.015487605700587409,,,,1.0,1,
Low-burden downsample,250,250,UGA_unified_d10dp5_IDpayload_unweighted_frac_C0p1 minus Standard_SBS96_DBS78_ID83_C0p5,macro_f1,0.2535649292228239,0.2482369448268065,-0.005327984396017421,,,,0.0,1,
Low-burden downsample,250,250,UGA_unified_d10dp5_IDpayload_unweighted_frac_C0p1 minus Standard_SBS96_DBS78_ID83_C0p5,accuracy,0.2995780590717299,0.2742616033755274,-0.0253164556962025,,,,0.0,1,
Original data,0,Original data,UGA_unified_d10dp5_IDpayload_unweighted_frac_C0p1 minus Standard_SBS96_DBS78_ID83_C0p5,balanced_accuracy,0.3013937104704869,0.3034885248189278,0.0020948143484408877,,,,1.0,1,
Original data,0,Original data,UGA_unified_d10dp5_IDpayload_unweighted_frac_C0p1 minus Standard_SBS96_DBS78_ID83_C0p5,macro_f1,0.3026177098350944,0.2868767608123309,-0.015740949022763517,,,,0.0,1,
Original data,0,Original data,UGA_unified_d10dp5_IDpayload_unweighted_frac_C0p1 minus Standard_SBS96_DBS78_ID83_C0p5,accuracy,0.3629343629343629,0.3088803088803089,-0.054054054054054,,,,0.0,1,
