endpoint,sample,fold,split
damage_class,MSM0.100_s1,1,train
damage_class,MSM0.100_s2,1,train
damage_class,MSM0.101_s1,1,train
damage_class,MSM0.101_s2,1,train
damage_class,MSM0.103_s1,1,train
damage_class,MSM0.103_s5,1,train
damage_class,MSM0.103_s6,1,train
damage_class,MSM0.104_s1,1,train
damage_class,MSM0.104_s2,1,train
damage_class,MSM0.104_s3,1,train
damage_class,MSM0.106_s1,1,train
damage_class,MSM0.106_s2,1,train
damage_class,MSM0.106_s3,1,train
damage_class,MSM0.107_s1,1,train
damage_class,MSM0.107_s2,1,train
damage_class,MSM0.109_s1,1,train
damage_class,MSM0.109_s2,1,train
damage_class,MSM0.10_s1,1,train
damage_class,MSM0.10_s2,1,train
damage_class,MSM0.10_s3,1,train
damage_class,MSM0.110_s1,1,train
damage_class,MSM0.110_s2,1,train
damage_class,MSM0.110_s3,1,train
damage_class,MSM0.111_s1,1,train
damage_class,MSM0.111_s2,1,train
damage_class,MSM0.111_s3,1,train
damage_class,MSM0.112_s1,1,train
damage_class,MSM0.112_s2,1,train
damage_class,MSM0.112_s3,1,train
damage_class,MSM0.113_s1,1,train
damage_class,MSM0.113_s2,1,train
damage_class,MSM0.114_s1,1,train
damage_class,MSM0.114_s2,1,train
damage_class,MSM0.114_s5,1,train
damage_class,MSM0.115_s1,1,train
damage_class,MSM0.115_s2,1,train
damage_class,MSM0.116_s1,1,train
damage_class,MSM0.116_s2,1,train
damage_class,MSM0.116_s3,1,train
damage_class,MSM0.117_s1,1,train
damage_class,MSM0.117_s5,1,train
damage_class,MSM0.11_s1,1,train
damage_class,MSM0.11_s2,1,train
damage_class,MSM0.11_s3,1,train
damage_class,MSM0.121_s3,1,train
damage_class,MSM0.121_s4,1,train
damage_class,MSM0.121_s5,1,train
damage_class,MSM0.122_s1,1,train
damage_class,MSM0.122_s2,1,train
damage_class,MSM0.122_s4,1,train
damage_class,MSM0.123_s1,1,train
damage_class,MSM0.123_s2,1,train
damage_class,MSM0.123_s3,1,train
damage_class,MSM0.124_s1,1,train
damage_class,MSM0.124_s2,1,train
damage_class,MSM0.124_s3,1,train
damage_class,MSM0.125_s1,1,train
damage_class,MSM0.125_s2,1,train
damage_class,MSM0.125_s3,1,train
damage_class,MSM0.126_s1,1,train
damage_class,MSM0.126_s2,1,train
damage_class,MSM0.130_s1,1,train
damage_class,MSM0.130_s2,1,train
damage_class,MSM0.130_s3,1,train
damage_class,MSM0.13_s1,1,train
damage_class,MSM0.13_s2,1,train
damage_class,MSM0.13_s3,1,train
damage_class,MSM0.14_s1,1,train
damage_class,MSM0.14_s2,1,train
damage_class,MSM0.14_s3,1,train
damage_class,MSM0.15_s1,1,train
damage_class,MSM0.15_s2,1,train
damage_class,MSM0.15_s3,1,train
damage_class,MSM0.16_s1,1,train
damage_class,MSM0.16_s2,1,train
damage_class,MSM0.16_s3,1,train
damage_class,MSM0.17_s1,1,train
damage_class,MSM0.17_s2,1,train
damage_class,MSM0.18_s1,1,train
damage_class,MSM0.18_s2,1,train
damage_class,MSM0.19_s1,1,train
damage_class,MSM0.19_s2,1,train
damage_class,MSM0.22_s1,1,train
damage_class,MSM0.22_s2,1,train
damage_class,MSM0.22_s3,1,train
damage_class,MSM0.24_s1,1,train
damage_class,MSM0.24_s3,1,train
damage_class,MSM0.24_s4,1,train
damage_class,MSM0.25_s1,1,train
damage_class,MSM0.25_s2,1,train
damage_class,MSM0.26_s1,1,train
damage_class,MSM0.26_s2,1,train
damage_class,MSM0.26_s3,1,train
damage_class,MSM0.27_s1,1,train
damage_class,MSM0.27_s2,1,train
damage_class,MSM0.27_s3,1,train
damage_class,MSM0.29_s1,1,train
damage_class,MSM0.29_s2,1,train
damage_class,MSM0.2_s1,1,train
damage_class,MSM0.2_s2,1,train
damage_class,MSM0.2_s3,1,train
damage_class,MSM0.31_s4,1,train
damage_class,MSM0.31_s5,1,train
damage_class,MSM0.31_s6,1,train
damage_class,MSM0.33_s1,1,train
damage_class,MSM0.33_s2,1,train
damage_class,MSM0.34_s1,1,train
damage_class,MSM0.34_s2,1,train
damage_class,MSM0.34_s3,1,train
damage_class,MSM0.38_s1,1,train
damage_class,MSM0.38_s3,1,train
damage_class,MSM0.3_s1,1,train
damage_class,MSM0.3_s2,1,train
damage_class,MSM0.3_s3,1,train
damage_class,MSM0.40_s1,1,train
damage_class,MSM0.40_s2,1,train
damage_class,MSM0.40_s5,1,train
damage_class,MSM0.42_s1,1,train
damage_class,MSM0.42_s2,1,train
damage_class,MSM0.42_s3,1,train
damage_class,MSM0.43_s1,1,train
damage_class,MSM0.43_s2,1,train
damage_class,MSM0.48_s1,1,train
damage_class,MSM0.48_s2,1,train
damage_class,MSM0.49_s1,1,train
damage_class,MSM0.49_s2,1,train
damage_class,MSM0.50_s1,1,train
damage_class,MSM0.50_s2,1,train
damage_class,MSM0.50_s3,1,train
damage_class,MSM0.51_s1,1,train
damage_class,MSM0.51_s2,1,train
damage_class,MSM0.52_s1,1,train
damage_class,MSM0.52_s2,1,train
damage_class,MSM0.53_s2,1,train
damage_class,MSM0.53_s5,1,train
damage_class,MSM0.53_s6,1,train
damage_class,MSM0.54_s1,1,train
damage_class,MSM0.54_s2,1,train
damage_class,MSM0.54_s3,1,train
damage_class,MSM0.56_s4,1,train
damage_class,MSM0.56_s5,1,train
damage_class,MSM0.56_s6,1,train
damage_class,MSM0.57_s1,1,train
damage_class,MSM0.57_s2,1,train
damage_class,MSM0.58_s4,1,train
damage_class,MSM0.58_s5,1,train
damage_class,MSM0.58_s6,1,train
damage_class,MSM0.5_s1,1,train
damage_class,MSM0.5_s2,1,train
damage_class,MSM0.5_s3,1,train
damage_class,MSM0.62_s1,1,train
damage_class,MSM0.62_s2,1,train
damage_class,MSM0.63_s1,1,train
damage_class,MSM0.63_s2,1,train
damage_class,MSM0.63_s3,1,train
damage_class,MSM0.64_s1,1,train
damage_class,MSM0.64_s2,1,train
damage_class,MSM0.64_s3,1,train
damage_class,MSM0.65_s1,1,train
damage_class,MSM0.65_s3,1,train
damage_class,MSM0.65_s4,1,train
damage_class,MSM0.66_s1,1,train
damage_class,MSM0.66_s2,1,train
damage_class,MSM0.66_s3,1,train
damage_class,MSM0.67_s1,1,train
damage_class,MSM0.67_s2,1,train
damage_class,MSM0.67_s3,1,train
damage_class,MSM0.69_s1,1,train
damage_class,MSM0.69_s3,1,train
damage_class,MSM0.70_s1,1,train
damage_class,MSM0.70_s2,1,train
damage_class,MSM0.71_s1,1,train
damage_class,MSM0.71_s2,1,train
damage_class,MSM0.72_s1,1,train
damage_class,MSM0.72_s2,1,train
damage_class,MSM0.72_s3,1,train
damage_class,MSM0.74_s1,1,train
damage_class,MSM0.74_s2,1,train
damage_class,MSM0.74_s3,1,train
damage_class,MSM0.75_s1,1,train
damage_class,MSM0.75_s2,1,train
damage_class,MSM0.81_s1,1,train
damage_class,MSM0.81_s2,1,train
damage_class,MSM0.82_s1,1,train
damage_class,MSM0.82_s2,1,train
damage_class,MSM0.84_s1,1,train
damage_class,MSM0.84_s2,1,train
damage_class,MSM0.87_s2,1,train
damage_class,MSM0.87_s3,1,train
damage_class,MSM0.87_s4,1,train
damage_class,MSM0.91_s1,1,train
damage_class,MSM0.91_s2,1,train
damage_class,MSM0.92_s1,1,train
damage_class,MSM0.92_s2,1,train
damage_class,MSM0.92_s3,1,train
damage_class,MSM0.93_s1,1,train
damage_class,MSM0.93_s2,1,train
damage_class,MSM0.94_s1,1,train
damage_class,MSM0.94_s2,1,train
damage_class,MSM0.95_s1,1,train
damage_class,MSM0.95_s2,1,train
damage_class,MSM0.95_s3,1,train
damage_class,MSM0.96_s1,1,train
damage_class,MSM0.96_s2,1,train
